50.percentof_classified_incumbents_covered,010%,100%
34.percentof_classified_incumbents_covered,10%0,100%
4.agency_number,25.0,90
3.agency_number,25.0,40
7.agency_number,127.0,160
8.agency_name,Military Department,Corporation Commission
7.agency_name,Office of Management & Enterprise Services,"Commerce, Oklahoma Department of"
50.benchmark_market_average,$24096.78,$24906.78
4.agency_benchmark_average_salary,$36216.94,$45432.51
7.agency_benchmark_average_salary,$36216.94,$44664.02
2.agency_benchmark_average_salary,$33830.75,$38840.87
6.agency_benchmark_average_salary,$36216.94,$34276.32
6.agency_number,25.0,131
8.agency_number,127.0,185
44.percentof_classified_incumbents_covered,x100%,100%
3.agency_name,Alcoholic Beverage Laws Enforcement Commission (ABLE),"Department of Agriculture, Food and Forestry"
5.agency_benchmark_average_salary,$36216.94,$34758.71
34.benchmark_market_average,$4906.78,$24906.78
6.agency_name,Alcoholic Beverage Laws Enforcement Commission (ABLE),Department of Corrections
2.agency_number,25.0,30
5.agency_name,Military Department,Commission On Children & Youth
44.benchmark_market_average,$24096.78,$24906.78
