248.prscrbr_geo_desc,California:Sierra,Alaska:Hoonah-Angoon
121.breakout,Overall,Urban
249.prscrbr_geo_desc,Delaware,Alaska:Juneau
353.breakout,Rural,Overall
490.breakout,Urban,Overall
229.prscrbr_geo_desc,Washington,Alabama:St. Clair
239.prscrbr_geo_desc,Arkansas,Alaska:Aleutians East
189.breakout,Rural,Overall
483.breakout,Rural,Overall
94.breakout,Overall,Rural
74.prscrbr_geo_desc,National,Indiana
574.breakout,Rural,Overall
109.prscrbr_geo_desc,Missouri,Wisconsin
555.prscrbr_geo_desc,Connecticut,Florida:Walton
179.prscrbr_geo_desc,Indiana,Alabama:Calhoun
99.prscrbr_geo_desc,Hawaii,Rhode Island
416.breakout,Urban,Overall
348.prscrbr_geo_desc,Iowa,Arkansas:Sevier
314.breakout,Rural,Overall
676.breakout,Urban,Overall
153.breakout,Overall,Urban
509.breakout,Urban,Overall
544.breakout,Urban,Overall
481.breakout,Rural,Overall
446.breakout,Rural,Overall
390.breakout,Rural,Overall
665.breakout,Rural,Overall
321.breakout,Urban,Overall
672.breakout,Urban,Overall
197.prscrbr_geo_desc,Idaho,Alabama:Elmore
146.breakout,Overall,Urban
304.prscrbr_geo_desc,New Mexico,Arkansas:Faulkner
152.prscrbr_geo_desc,Alabama,Oklahoma
315.prscrbr_geo_desc,Missouri,Arkansas:Jackson
318.breakout,Rural,Overall
405.breakout,Rural,Overall
514.prscrbr_geo_desc,Hawaii,Florida:Hernando
669.breakout,Rural,Overall
583.prscrbr_geo_desc,District of Columbia,Georgia:Chattooga
441.prscrbr_geo_desc,National,Colorado:Hinsdale
205.prscrbr_geo_desc,New Jersey,Alabama:Henry
271.breakout,Urban,Overall
639.breakout,Urban,Overall
69.prscrbr_geo_lvl,Stagte,State
70.prscrbr_geo_desc,Delaware,Georgia
287.prscrbr_geo_desc,Delaware,Arkansas:Bradley
285.breakout,Urban,Overall
574.prscrbr_geo_desc,California:Yuba,Georgia:Butts
198.breakout,Urban,Overall
148.prscrbr_geo_desc,National,New York
62.breakout,Overall,Rural
492.breakout,Urban,Overall
250.prscrbr_geo_desc,New Jersey,Alaska:Kenai Peninsula
355.breakout,Rural,Overall
87.breakout,Overall,Rural
342.prscrbr_geo_desc,Idaho,Arkansas:Randolph
546.breakout,Urban,Overall
225.breakout,Rural,Overall
312.breakout,Rural,Overall
42.breakout,Urban,Overall
633.breakout,Urban,Overall
297.prscrbr_geo_desc,New Mexico,Arkansas:Craighead
221.prscrbr_geo_desc,Arizona,Alabama:Monroe
117.breakout,Overall,Urban
659.prscrbr_geo_desc,Illinois,Georgia:Morgan
451.breakout,Urban,Overall
637.prscrbr_geo_desc,Kansas,Georgia:Jenkins
407.breakout,Rural,Overall
553.prscrbr_geo_desc,New York,Florida:Volusia
452.prscrbr_geo_desc,Arizona,Colorado:Logan
523.prscrbr_geo_desc,California,Florida:Lee
521.breakout,Rural,Overall
448.breakout,Rural,Overall
535.breakout,Rural,Overall
674.breakout,Urban,Overall
153.prscrbr_geo_desc,Arkansas,Oregon
137.prscrbr_geo_desc,District of Columbia,Massachusetts
544.prscrbr_geo_desc,District of Columbia,Florida:St. Johns
532.prscrbr_geo_desc,Montana,Florida:Miami-Dade
214.prscrbr_geo_desc,Colorado,Alabama:Lowndes
627.prscrbr_geo_desc,National,Georgia:Harris
259.prscrbr_geo_desc,Alabama:Jefferson,Alaska:Petersburg
