3.fulladd,1116 Fentress Rd,441 Battlefield Blvd S
4.createduser,CpOC,COC
1.x,1.21349158382699E7,1.21414370265617E7
47.fulladd,43h16 Pamela Ct,4316 Pamela Ct
5.precinctname,CAVP,Centerville
3.x,1.21543940539641E7,1.2146232136357E7
35.indist,ES,YES
4.pollingid,1.0,62.0
35.createddate,2019/0307 19:40:57+00,2019/03/07 19:40:57+00
2.precinctname,CAVP,Bridgetown
2.createduser,CC,COC
9.y,3436493.022173,3459796.08122182
2.x,1.21579821210772E7,1.21324155511266E7
9.pollingid,1.0,55.0
46.createduser,CCO,COC
3.createduser,COgC,COC
6.createduser,CCO,COC
6.namevalue,The Mount,Taylor Bend YMCA 
3.y,3421588.20988189,3426580.56971361
5.pollingid,54.0,61.0
7.precinctname,Expressway,Clearfield
4.precinctname,CAVP,Fentress
5.fulladd,411 Cedar Rd,914 Centerville Tpke S
5.namevalue,Great Bridge Middle School,Centerville Baptist Church 
8.pollingid,54.0,58.0
47.createddate,20s19/03/07 19:40:57+00,2019/03/07 19:40:57+00
5.x,1.21459106039305E7,1.2161702220397E7
46.operhours,6:0p0 a.m. to 7:00 p.m.,6:00 a.m. to 7:00 p.m.
9.precinctname,CAVP,Georgetown East
1.namevalue,The Mount,Voter Registrar Office
8.namevalue,The Mount,Mt Olive Church
4.namevalue,Great Bridge Middle School,Centerville AME Church 
6.fulladd,411 Cedar Rd,4626 Taylor Rd
35.createduser,CC,COC
1.y,3436493.022173,3427053.4933849
46.bldgtype,Chburch,Church
2.pollingid,1.0,37.0
6.precinctname,CAVP,Pughsville
7.fulladd,411 Cedar Rd,872 Clearfield Ave
35.bldgtype,ity,City
7.pollingid,54.0,59.0
9.objectid,1059.0,1066
9.fulladd,1116 Fentress Rd,2320 Old Greenbrier Rd
8.objectid,1061.0,1065
3.precinctname,CAVP,Poplar Branch
7.namevalue,Great Bridge Middle School,Grace Community Church 
11.x,1.21349158382699E7,1.21480782119008E7
10.x,1.21543940539641E7,1.2143158870434E7
6.x,1.21459106039305E7,1.20905980133733E7
4.y,3436493.022173,3423528.05746406
8.y,3436493.022173,3439881.62158233
5.createduser,OC,COC
3.pollingid,54.0,63.0
2.y,3475775.67851987,3428809.57192454
