345.townnumber,224,150
57.objectid,1507.0,1554
73.global_id,f2f22c0a-7fc4-4b95-b841-8abdb42e180c,b777af52-8805-48ee-8448-220eed8c8657
325.townnumber,115,34
143.townname,EW MILFORD,NEW MILFORD
227.townname,NbORWICH,NORWICH
219.townname,NROWICH,NORWICH
36.objectid,1530.0,1533
170.townnumber,191,134
21.objectid,1503.0,1518
290.townname,CsHESHIRE,CHESHIRE
4.objectid,1503.0,1501
74.global_id,5568eb91-467a-401f-b9b7-0d1171357a65,459a99fb-6850-4be0-9f45-b6f14c5aaa8b
78.shape_length,4141.22180001054,76.0549598166337
101.townname,NEW LONDNO,NEW LONDON
251.townname,MANaCHESTER,MANCHESTER
297.townnumber,41,18
72.objectid,1498.0,1569
56.global_id,faa99fb9-6805-44c8-8ca3-9f4f8f3fc8cc,f9be6c59-b38c-477e-bf4e-faef35b1c9a6
34.objectid,1503.0,1531
339.townname,NORAWLK,NORWALK
232.townnumber,127,76
187.townname,BoRIDGEPORT,BRIDGEPORT
238.townname,cMANCHESTER,MANCHESTER
25.global_id,eac18a4d-ce72-4c31-8f12-c4df9f65d39d,66d6e6d7-1284-4109-90d0-578013adfe3c
193.townnumber,152,111
241.townname,NORWAKL,NORWALK
289.townnumber,62,42
51.global_id,42fea995-f578-49e4-924e-a7cdbde8a8ac,0e36a4e3-7cda-4834-b093-c401d21d7979
361.townnumber,97,25
365.townname,KILLINWGORTH,KILLINGWORTH
63.objectid,1509.0,1560
371.townnumber,198,109
76.global_id,01c7ba70-ab9e-44eb-81ad-94f8535b27c0,e5caaea8-0fec-4c6b-8e86-2c678e624e7c
99.townnumber,128,76
58.global_id,d209d152-0472-41c5-844f-9703545bf641,fdb96a9b-8460-42aa-8515-e9756f93144b
226.townname,sNEWINGTON,NEWINGTON
36.global_id,0f579294-8459-4d4a-b590-94dd52270246,869108e4-d9fa-41a8-afbd-7105c4f42e71
324.townname,SOUTHBUY,SOUTHBURY
247.townnumber,141,95
12.global_id,0f579294-8459-4d4a-b590-94dd52270246,74967325-c3fd-4a35-a16a-bcaab6e14ca2
37.townname,NEW LONDON,HARTFORD
27.townname,NORTH STONINGTON,EAST HARTFORD
9.global_id,01c7ba70-ab9e-44eb-81ad-94f8535b27c0,6a2ddb94-3fa4-414d-8043-6fe992610fe4
56.townname,NORFOLK,NORTH STONINGTON
173.townname,PUTAM,PUTNAM
64.global_id,5568eb91-467a-401f-b9b7-0d1171357a65,5ee6d57b-7733-48af-9797-0a5f8d0d2ef1
102.townname,GROqTON,GROTON
39.shape_length,1819.6875452321,1001.60978155531
16.townname,EAST HARTFORD,MIDDLETOWN
25.objectid,1504.0,1522
65.objectid,1509.0,1562
74.objectid,1540.0,1571
49.objectid,1528.0,1546
48.global_id,5568eb91-467a-401f-b9b7-0d1171357a65,24edd0c5-d858-4ace-a25a-4baaa9701135
37.objectid,1507.0,1534
311.townname,MERDIEN,MERIDEN
162.townnumber,232,149
77.shape_length,11356.4326796623,3098.64260841301
278.townnumber,17,5
56.objectid,1530.0,1553
52.objectid,1509.0,1549
114.townname,NORWCIH,NORWICH
364.townname,NOiRTH BRANFORD,NORTH BRANFORD
70.global_id,1bde42a0-d434-4c81-9595-9cc17892200c,8986e57d-e059-4f0d-a865-58c13102e068
17.shape_length,124.267706559789,454.040968686018
307.townnumber,123,92
328.townname,MDISON,MADISON
66.global_id,01c7ba70-ab9e-44eb-81ad-94f8535b27c0,41fac7d9-7026-46cb-9c5d-471d9fd1743f
24.global_id,5568eb91-467a-401f-b9b7-0d1171357a65,472b6cd0-3403-405e-ad8b-fbff395df9d8
30.objectid,1524.0,1527
