454.objectid,5201.0,5634
376.shape_length,6381.87382341404,8984.99763671708
1898.townname,HADEN,HAMDEN
114.shape_length,815.473081229889,13900.9251963593
255.global_id,609d116b-a9c6-49de-9b90-776d7f8c4628,f9345fc0-0f30-4979-9231-39cb92271a29
226.shape_length,1167.53170948455,2278.43077499292
338.townnumber,131.0,92
157.shape_length,182.45479680074,1457.81074020519
251.objectid,5195.0,5431
1551.townnumber,75,28
67.global_id,b090fd8a-8bf8-49a6-a3c3-2df9357b44a0,fde81fb6-473e-4468-9e0b-6b7ef592be89
2190.townname,EuSSEX,ESSEX
410.townnumber,50.0,69
254.shape_length,6486.97988089746,14884.1099424874
123.shape_length,6486.97988089746,2653.86812190875
193.townnumber,34.0,127
75.shape_length,1167.53170948455,708.197187366594
356.shape_length,1167.53170948455,1002.55448238517
435.objectid,5229.0,5615
106.shape_length,881.268121484844,4464.43388707082
740.townname,MANCHESETR,MANCHESTER
125.global_id,a1b99014-86ad-4ee3-8df8-f42a5af5cc69,7eaa9a35-25fa-43a2-a5b0-4badc637cf30
323.shape_length,985.689892189737,403.530788992998
43.shape_length,521.837607572804,1363.40420528603
74.global_id,b0eea965-42e2-498c-9bd7-921fb85f5be2,62c07fa0-2272-4451-8627-976b10626387
370.objectid,5182.0,5550
1118.townnumber,156,112
202.global_id,2291b6ab-f588-4f97-9709-d4decc80e00c,c37ca319-3c0b-403b-a06a-566f0ce74912
101.objectid,5188.0,5281
185.shape_length,2294.73264193745,478.439165044913
1421.townname,HAMoPTON,HAMPTON
2306.townname,qHEBRON,HEBRON
2558.townnumber,115,27
378.global_id,2291b6ab-f588-4f97-9709-d4decc80e00c,866f7c9c-ec38-4561-8b87-f578769e55da
1849.townnumber,23,3
1710.townnumber,103,76
402.shape_length,6381.87382341404,16620.7917912987
267.townnumber,7.0,42
111.global_id,b82cde8c-843f-469b-b732-e0e40493224b,a3a9a4a3-abbb-4d20-80d2-753a35587273
234.global_id,c8fc8018-c9f1-44e9-b992-589b5cbf4eaa,f031d41f-9508-4224-b410-9e7881bcc8b9
160.global_id,c8fc8018-c9f1-44e9-b992-589b5cbf4eaa,a86ef8d5-c699-4c60-b735-9a9a4c0f29e6
344.townnumber,158.0,92
361.townname,BRIDGEPORT,GROTON
113.shape_length,815.473081229889,11757.2000025141
406.townnumber,100.0,73
466.objectid,5195.0,5646
414.townnumber,156.0,53
476.global_id,609d116b-a9c6-49de-9b90-776d7f8c4628,c97ea2cf-2627-4eca-a35a-353f6f589a29
1563.stlnstlocname,EASTMAIN ST,EAST MAIN ST
153.global_id,2d203d05-6439-47d1-880f-346d26a6663d,4ee29ca8-c5eb-44eb-ac31-cb710329d0c2
288.shape_length,2966.52729141655,6373.01199760648
382.townname,BRIDGEWATER,EAST WINDSOR
2355.townname,HATRFORD,HARTFORD
1754.townname,BROOKFIEjLD,BROOKFIELD
581.townnumber,42,34
196.townname,BRIDGEWATER,CORNWALL
907.townnumber,36,7
213.global_id,8bf32e33-b965-4ada-94af-aae0bd580059,2b99c5d8-6dd3-4736-902a-92759762403c
879.townnumber,48,34
2347.townname,GULIFORD,GUILFORD
247.shape_length,6381.87382341404,7459.13335949891
63.global_id,609d116b-a9c6-49de-9b90-776d7f8c4628,ede6020f-0dd8-4c74-af23-6c63de6f95e8
314.objectid,5211.0,5494
78.global_id,fcd3df40-8b4d-4d3e-96a6-ccf93b02f9db,55354898-2ae7-4504-8c99-43f7599465a5
473.objectid,5230.0,5653
210.townnumber,15.0,76
334.shape_length,742.174291303956,526.347542476867
373.shape_length,1653.70710964296,6093.06017175329
1874.townnumber,90,23
250.shape_length,2966.52729141655,2810.44754282954
131.global_id,2d203d05-6439-47d1-880f-346d26a6663d,47374fc7-a037-437f-9885-d5b19b9ce3f4
61.global_id,8bf32e33-b965-4ada-94af-aae0bd580059,f364fa97-61ac-4a4f-b60e-c38a12a8d969
2353.townname,LASTONBURY,GLASTONBURY
362.shape_length,2907.01713087031,105.426971739616
153.shape_length,379.998339232768,21697.5306066928
174.townnumber,138.0,131
207.global_id,b82cde8c-843f-469b-b732-e0e40493224b,136d7ae9-9b94-4425-8c09-8923b2f15820
99.global_id,9465a035-2fbd-4db1-800a-5d5c8cbd4924,cd0ad94e-d7dd-48dc-a176-bce04d3b31db
1855.townname,MANsCHESTER,MANCHESTER
127.shape_length,182.45479680074,114.087446826301
479.global_id,b82cde8c-843f-469b-b732-e0e40493224b,bc88fa6c-fe8f-4b7f-9caa-92d84abe07be
295.shape_length,521.837607572804,4964.79136071499
320.shape_length,985.689892189737,4520.89489550068
30.global_id,9465a035-2fbd-4db1-800a-5d5c8cbd4924,808ce56a-2fee-447e-b3c3-8a2b2bf5c075
384.townnumber,92.0,115
471.townnumber,94.0,92
126.shape_length,14772.9620826568,20438.4186725808
415.global_id,811e683f-79db-4307-a0f9-ef6eb4d7fcac,5353bae5-7c34-434e-9137-343a2b22449f
1843.townname,CaOLCHESTER,COLCHESTER
2541.townname,FAIRIFELD,FAIRFIELD
336.townnumber,83.0,137
474.townnumber,102.0,38
1374.townname,VERNNO,VERNON
461.global_id,b82cde8c-843f-469b-b732-e0e40493224b,ece5072b-1105-4a63-af4d-64110d933dbf
37.townnumber,97.0,68
341.townname,GROTON,SOUTHINGTON
421.townnumber,89.0,155
310.shape_length,2966.52729141655,38044.9176377542
248.global_id,fcd3df40-8b4d-4d3e-96a6-ccf93b02f9db,7bd0bf4c-ba9f-48eb-92e9-0cb5af1c29b1
359.shape_length,3396.01007945106,15318.3183253849
422.objectid,5203.0,5602
238.shape_length,182.45479680074,13059.4479196319
292.global_id,9d24fb74-43c4-42d5-ab90-b8036b2a8836,d2b46a6c-c7fc-4a43-a715-8a3a642cb0cc
1672.townnumber,73,31
471.objectid,5184.0,5651
269.objectid,5196.0,5449
2316.townnumber,64,23
410.global_id,b82cde8c-843f-469b-b732-e0e40493224b,ca204817-93ed-4a25-9a71-a2f9172c091f
108.global_id,ab804522-5451-4025-916a-3501438b5477,2353fed8-1bf9-4234-9799-8ae938afc90f
222.townname,BRANFORD,EAST HARTFORD
488.objectid,5213.0,5668
355.global_id,b090fd8a-8bf8-49a6-a3c3-2df9357b44a0,020a6400-a363-40d7-ac4a-5e74817114e4
98.shape_length,2294.73264193745,19831.0818248395
472.global_id,9465a035-2fbd-4db1-800a-5d5c8cbd4924,ef7b1209-1c81-4efe-8f91-228cb056e2a6
1809.townnumber,85,9
477.global_id,ea208399-fd47-43cb-b365-8ad2be3f0a4a,261e024b-26cf-4c02-8598-4864c448ba1c
162.objectid,5188.0,5342
