objectid(long),lupaid,lupid,lupanm,adminst,lupstatus,bndryinactdt,gisacres(double precision),global_id,createdate,createby,modifydate,modifyby,idaho_planning_descriptions,shape_area(double precision),shape_length(double precision)
1,LUPA001014,LUP-ID-014,Cassia Resource Management Plan,ID,EXIST,2012/07/10 00:00:00+00,1653952.91272022,111bf799-1bfe-4f95-8ce2-742a3e000f48,2022/04/08 15:19:45.852+00,cmavencamp@blm.gov_BLM_EGIS,2022/04/08 15:19:45.852+00,cmavencamp@blm.gov_BLM_EGIS,Lemhi RMP and Challis RMP revise 1987 Lemhi RMP and 1999 Challis RMP.,6693336740.89893,391803.609610193
2,LUPA001009,LUP-ID-009,Twin Falls Management Framework Plan,ID,EXIST,2012/07/10 00:00:00+00,808980.3268857,2ddb0fb2-f641-4e71-9a39-45da95bac722,2022/04/08 15:19:45.852+00,cmavencamp@blm.gov_BLM_EGIS,2022/04/08 15:19:45.852+00,cmavencamp@blm.gov_BLM_EGIS,Lemhi RMP and Challis RMP revise 1987 Lemhi RMP and 1999 Challis RMP.,3273840327.15405,309391.39314759
3,LUPA001013,LUP-ID-013,Monument Resource Management Plan,ID,EXIST,2012/07/10 00:00:00+00,1606956.21155274,0ede9615-f371-4949-b70d-425760cc1bdb,2022/04/08 15:19:45.852+00,cmavencamp@blm.gov_BLM_EGIS,2022/04/08 15:19:45.852+00,cmavencamp@blm.gov_BLM_EGIS,Lemhi RMP and Challis RMP revise 1987 Lemhi RMP and 1999 Challis RMP.,6503147077.73633,591703.306218987
4,LUPA001011,LUP-ID-011,Bruneau Management Framework Plan,ID,EXIST,2012/07/10 00:00:00+00,1905902.73827416,f713c952-6e28-46fc-bdb6-7f6cb3fae64a,2022/04/08 15:19:45.852+00,cmavencamp@blm.gov_BLM_EGIS,2022/04/08 15:19:45.852+00,cmavencamp@blm.gov_BLM_EGIS,Bruneau RMP New replaces Bruneau MFP.,7712945589.1687,507266.602604325
5,LUPA001001,LUP-ID-001,Magic Management Framework Plan,ID,EXIST,2012/07/10 00:00:00+00,43046.99810979,99562868-8991-4126-9c76-1d3616538f15,2022/04/08 15:19:45.852+00,cmavencamp@blm.gov_BLM_EGIS,2022/04/08 15:19:45.852+00,cmavencamp@blm.gov_BLM_EGIS,Lemhi RMP and Challis RMP revise 1987 Lemhi RMP and 1999 Challis RMP.,174205717.58667,74139.5349280501
6,LUPA001002,LUP-ID-002,Bennett Hills Timmerman Hills Management Framework Plan,ID,EXIST,2012/07/10 00:00:00+00,891047.92762137,ef5a4633-88be-43b1-b08e-0537dab58be8,2022/04/08 15:19:45.852+00,cmavencamp@blm.gov_BLM_EGIS,2022/04/08 15:19:45.852+00,cmavencamp@blm.gov_BLM_EGIS,Lemhi RMP and Challis RMP revise 1987 Lemhi RMP and 1999 Challis RMP.,3605957452.55029,335462.704706693
7,LUPA001026,LUP-ID-029,Pocatello Resource Management Plan,ID,EXIST,2012/07/10 00:00:00+00,3952168.6512503,9005ecb6-e0e2-4533-9a16-1e932197a8f8,2022/04/08 15:19:45.852+00,cmavencamp@blm.gov_BLM_EGIS,2022/04/08 15:19:45.852+00,cmavencamp@blm.gov_BLM_EGIS,"Replaced Malad MFP, 1988 Pocatello RMP.",20865619696.2217,696102.538602454
8,LUPA001017,LUP-ID-017,Jarbidge Resource Management Plan,ID,EXIST,2012/07/10 00:00:00+00,595.37844255,87298846-53fc-40ee-9479-61caa06439f4,2022/04/08 15:19:45.852+00,cmavencamp@blm.gov_BLM_EGIS,2022/04/08 15:19:45.852+00,cmavencamp@blm.gov_BLM_EGIS,"EWZ, 03/01/2018: JMurgoitio said do not lump the two Jarbidge features into single multi-part feature. Added RMP year to distinguish names.",923157943.846436,286043.427194735
9,LUPA001024,LUP-ID-024,Snake River Birds of Prey National Conservation Area Resource Management Plan,ID,EXIST,2012/07/10 00:00:00+00,600555.96085168,989bd83c-42f0-4ffe-9f15-ca20a98336d6,2022/04/08 15:19:45.852+00,cmavencamp@blm.gov_BLM_EGIS,2022/04/08 15:19:45.852+00,cmavencamp@blm.gov_BLM_EGIS,"Replaced parts of the Kuna MFP, Owyhee RMP, Bruneau MFP, and Jarbidge RMP.",2432076921.44629,668138.3964135
10,LUPA001010,LUP-ID-010,Kuna Management Framework Plan,ID,EXIST,2012/07/10 00:00:00+00,536166.53385216,ad25dc70-2c70-46eb-b5d8-4e8ba60af0a7,2022/04/08 15:19:45.852+00,cmavencamp@blm.gov_BLM_EGIS,2022/04/08 15:19:45.852+00,cmavencamp@blm.gov_BLM_EGIS,Lemhi RMP and Challis RMP revise 1987 Lemhi RMP and 1999 Challis RMP.,2217356599.73486,605652.585169207
11,LUPA001005,LUP-ID-005,Big Desert Management Framework Plan,ID,EXIST,2012/07/10 00:00:00+00,1496815.36263305,26b673d5-5025-46c8-8814-4472075687d6,2022/04/08 15:19:45.852+00,cmavencamp@blm.gov_BLM_EGIS,2022/04/08 15:19:45.852+00,cmavencamp@blm.gov_BLM_EGIS,Lemhi RMP and Challis RMP revise 1987 Lemhi RMP and 1999 Challis RMP.,6057421092.67993,411529.557299239
12,LUPA001021,LUP-ID-021,Owyhee Resource Management Plan,ID,EXIST,2012/07/10 00:00:00+00,1711116.49689856,73f8e282-8ead-477d-940d-18ae97633468,2022/04/08 15:19:45.852+00,cmavencamp@blm.gov_BLM_EGIS,2022/04/08 15:19:45.852+00,cmavencamp@blm.gov_BLM_EGIS,Owyhee RMP revises 1999 RMP.,6924670484.448,653125.421551065
13,LUPA001003,LUP-ID-003,Sun Valley Management Framework Plan,ID,EXIST,2012/07/10 00:00:00+00,1475435.10686664,37936473-6aca-4525-9b94-4860b6298799,2022/04/08 15:19:45.852+00,cmavencamp@blm.gov_BLM_EGIS,2022/04/08 15:19:45.852+00,cmavencamp@blm.gov_BLM_EGIS,Lemhi RMP and Challis RMP revise 1987 Lemhi RMP and 1999 Challis RMP.,5970897921.7981,457642.927774125
14,LUPA001012,LUP-ID-012,Big Lost Management Framework Plan,ID,EXIST,2012/07/10 00:00:00+00,386462.47756607,4e51e0bc-08d7-4314-9049-c3820f5f904f,2022/04/08 15:19:45.852+00,cmavencamp@blm.gov_BLM_EGIS,2022/04/08 15:19:45.852+00,cmavencamp@blm.gov_BLM_EGIS,Lemhi RMP and Challis RMP revise 1987 Lemhi RMP and 1999 Challis RMP.,1563964416.67554,260593.099972384
15,LUPA001004,LUP-ID-004,Little Lost and Birch Creek Management Framework Plan,ID,EXIST,2012/07/10 00:00:00+00,842042.08604774,20664c79-991e-4ab8-bea8-514b735524ee,2022/04/08 15:19:45.852+00,cmavencamp@blm.gov_BLM_EGIS,2022/04/08 15:19:45.852+00,cmavencamp@blm.gov_BLM_EGIS,Lemhi RMP and Challis RMP revise 1987 Lemhi RMP and 1999 Challis RMP.,3407637052.66528,280532.737734408
16,LUPA001015,LUP-ID-015,Medicine Lodge Resource Management Plan,ID,EXIST,2012/07/10 00:00:00+00,4398831.4948415,dfab2581-c512-4730-9488-5bb99541fa4f,2022/04/08 15:19:45.852+00,cmavencamp@blm.gov_BLM_EGIS,2022/04/08 15:19:45.852+00,cmavencamp@blm.gov_BLM_EGIS,Lemhi RMP and Challis RMP revise 1987 Lemhi RMP and 1999 Challis RMP.,17839283953.6221,721359.100385739
