objectid(long),ondname,ondtype,casefile,authname,authdate(long),adminst,boundarystatus,shape_length(double precision),shape_area(double precision)
1,Mt. Hood Scenic Corridor,LSC,OR-53235,104-208,19960930,OR,Unknown,0.19018434587427,0.000619813693389
2,Mt. Hood Scenic Corridor,LSC,OR-53235,104-208,19960930,OR,Unknown,0.0348421359895547,5.53411167555011e-05
3,Bull Run Watershed Protection Area,WPA,OR-8135,95-200,19771123,OR,Unknown,0.0347008565485475,6.69931296775042e-05
4,Bull Run Watershed Protection Area,WPA,OR-8135,95-200,19771123,OR,Unknown,0.126770377883774,0.000211170154593
68,Bull Run Watershed Protection Area,WPA,OR-8135,95-200,19771123,OR,Unknown,0.0261543875611999,2.63712107507818e-05
6,Mt. Hood Scenic Corridor,LSC,OR-53235,104-208,19960930,OR,Unknown,0.148640794136439,0.0003383136643143
7,Wildland Juniper Management Area,WJMA,OROR 056178,106-399,20001030,OR,Unknown,0.204239273995768,0.0014508367065444
8,Steens No Livestock Grazing Area,NOG,OROR 056178,106-399,20001030,OR,Unknown,2.19194360387297,0.0431810444739425
9,Cascade-Siskiyou National Monument,NM,CA-057204,7318,20170112,CA,Unknown,0.0590874834746195,0.0002004806825759
10,Cascade-Siskiyou National Monument,NM,CA-057204,7318,20170112,CA,Unknown,0.436731513325411,0.0040123509169801
11,Cascade-Siskiyou National Monument,NM,CA-057204,7318,20170112,CA,Unknown,0.113380366060736,0.0003596450901541
12,San Juan Islands National Monument,NM,WAOR-67754,8947,20130325,OR,Unknown,2.19331343485907,0.213103400084682
13,Steens Mountain Cooperative Management and Protection Area,CMPA,OROR 056178,106-399,20001030,OR,Unknown,5.23185762145501,0.220714461766185
14,Mt. Hood Scenic Corridor,LSC,OR-53235,104-208,19960930,OR,Unknown,0.0276653469169499,3.65472180644416e-05
15,Mt. Hood Scenic Corridor,LSC,OR-53235,104-208,19960930,OR,Unknown,0.0175830184806437,1.87880376197419e-05
16,Mt. Hood Scenic Corridor,LSC,OR-53235,104-208,19960930,OR,Unknown,0.0095783975921907,3.25430314061956e-06
17,Mt. Hood Scenic Corridor,LSC,OR-53235,104-208,19960930,OR,Unknown,0.0277993237406878,3.73231175437223e-05
18,Mt. Hood Scenic Corridor,LSC,OR-53235,104-208,19960930,OR,Unknown,0.0351275803737512,5.61707342198592e-05
19,Mt. Hood Scenic Corridor,LSC,OR-53235,104-208,19960930,OR,Unknown,0.198401301908028,0.0003900711034386
20,Mt. Hood Scenic Corridor,LSC,OR-53235,104-208,19960930,OR,Unknown,0.326303347671646,0.0008108453743111
21,Mt. Hood Scenic Corridor,LSC,OR-53235,104-208,19960930,OR,Unknown,0.0245127131707872,3.65085392184077e-05
22,Cascade-Siskiyou National Monument,NM,OROR 055866,7318,20000609,OR,Unknown,1.27807285599375,0.0375198080170641
-26,Cascade-Siskiyou National Monument,NM,OROR 055866,7318,20170112,OR,Unknown,0.0336577807335962,6.88803687788782e-05
24,Cascade-Siskiyou National Monument,NM,OROR 055866,7318,20170112,OR,Unknown,0.0452151453529505,0.0001158985521086
25,Cascade-Siskiyou National Monument,NM,OROR 055866,7318,20170112,OR,Unknown,0.0159915364800119,1.48153510000956e-05
26,Cascade-Siskiyou National Monument,NM,OROR 055866,7318,20170112,OR,Unknown,0.0242317916898816,2.52567617103251e-05
27,Cascade-Siskiyou National Monument,NM,OROR 055866,7318,20170112,OR,Unknown,0.0687794009115606,0.000286787541546
28,Cascade-Siskiyou National Monument,NM,OROR 055866,7318,20170112,OR,Unknown,0.0236425416711205,3.37658561396902e-05
29,Cascade-Siskiyou National Monument,NM,OROR 055866,7318,20170112,OR,Unknown,0.0970976155287257,0.0004060660976271
30,Cascade-Siskiyou National Monument,NM,OROR 055866,7318,20170112,OR,Unknown,0.0682479711409716,0.0002845100898238
31,Cascade-Siskiyou National Monument,NM,OROR 055866,7318,20170112,OR,Unknown,0.0242700425208251,3.54535083474331e-05
32,Cascade-Siskiyou National Monument,NM,OROR 055866,7318,20170112,OR,Unknown,0.973056045470301,0.0098754898911578
33,Cascade-Siskiyou National Monument,NM,OROR 055866,7318,20170112,OR,Unknown,1.66515356270619,0.0219128597414043
34,Yaquina Head Outstanding Natural Area,LONA,OR-23947,96-199,19800305,OR,Unknown,0.0595887266470321,4.69069602803204e-05
