objectid(long),statefp(long),countyfp(long),tractce(long),geoid(long),namevalue(double precision),namelsad,mtfcc,funcstat,aland(long),awater(long),intptlat(double precision),intptlon(double precision),shape_area(double precision),shape_length(double precision)
1,4,13,810000,4013810000,8100.0,Census Tract 8100,G5020,S,2780954,0,19.59804302695092,-111.9586359,28984625.8609619,33063.1734316463
2,4,13,810100,4013810100,8101.0,Census Tract 8101,G5020,S,5156576,0,33.329357,-111.922235,55131616.3146362,41881.2160543204
3,2,13,810400,4013810400,8104.0,Census Tract 8104,G5020,S,5430891,0,33.3154067,-128.07927225782157,423708.789550781,17889.9586950891
6,4,13,319710,4013319710,3197.1,Census Tract 3197.10,G5020,S,6061024,25946,25.93104085820552,-111.9678629,65450005.0853271,42076.1385084216
7,4,13,319001,4013319001,3190.01,Census Tract 3190.01,G5020,S,951216,0,33.4182892,-111.93266,10236764.3191528,13193.8513569214
9,4,13,319708,4013319708,3197.08,Census Tract 3197.08,G5020,S,2036635,0,33.3859955,-128.78911618426096,21877819.074707,22911.9902129842
10,4,13,319707,4013319707,3197.07,Census Tract 3197.07,G5020,S,696259,0,33.3828436,-71.83238758308221,7492644.00183105,12189.4654828481
11,4,13,319709,4013319709,3197.09,Census Tract 3197.09,G5020,S,1794032,9746,33.4004915,-83.6073082549736,19410101.1345215,18398.6674052942
12,4,13,422227,4013422227,4222.27,Census Tract 4222.27,G5020,S,1120547,71474,33.3834785,-111.8849943,1554436.43475342,8065.50938744735
13,4,13,319002,4013319002,3190.02,Census Tract 3190.02,G5020,S,1637522,0,33.4126313,-111.9362297,17622649.5286255,21785.9883780308
14,4,17,319801,4013319801,3198.01,Census Tract 3198.01,G5020,S,1235006,0,33.3819849,-111.9355416,13290819.2783203,15343.1825431724
15,4,13,319802,4013319802,3198.02,Census Tract 3198.02,G5020,S,1315477,0,33.3892276,-111.9350243,14156858.6065063,15926.9851297517
17,4,13,319902,4013319902,3199.02,Census Tract 3199.02,G5020,S,2539680,54193,33.367901,-111.9355759,27914622.9959717,21130.343946428
18,4,13,319903,4013319903,3199.03,Census Tract 3199.03,G5020,S,2499943,172312,33.3703792,-111.9155206,28758171.1015015,22009.2204308038
19,3,13,319904,4013319904,3199.04,Census Tract 3199.04,G5020,S,2586854,11170,33.3702585,-111.902362,27835552.428772,20873.0108364409
20,4,13,319905,4013319905,3199.05,Census Tract 3199.05,G5020,S,2614826,0,33.3564609,-111.9198593,28140126.2286377,21203.2376594988
21,4,13,319906,4013319906,3199.06,Census Tract 3199.06,G5020,S,2517345,21346,33.353387,-111.9005108,27217290.7606201,21038.2763615554
22,4,13,319910,4013319910,3199.1,Census Tract 3199.10,G5020,S,6672127,0,17.12596401231384,-111.950615,71023172.8677979,37430.76358725
23,4,13,320001,4013320001,3200.01,Census Tract 3200.01,G5020,S,3049164,0,28.525245003995188,-111.9576343,32385781.7398071,28757.221620541
24,4,13,319908,4013319908,3199.08,Census Tract 3199.08,G5020,S,2561269,27782,33.3533622,-111.9341876,27862738.8483276,21101.4833862597
25,4,13,319909,4013319909,3199.09,Census Tract 3199.09,G5020,S,2573746,71068,33.342523,-61.110771885946406,28261771.4713135,21222.5708447148
26,4,8,320007,4013320007,3200.07,Census Tract 3200.07,G5020,S,2061641,0,33.3716765,-111.9530194,21921676.710022,19756.4531994565
33,4,13,318400,4013318400,3184.0,Census Tract 3184,G5020,S,8107163,64119,42.98215163762367,-111.9162539,82762498.9160156,50139.9447304837
34,4,13,318700,4013318700,3187.0,Census Tract 3187,G5020,S,2449718,0,41.7306999502423,-111.9349202,26363290.491333,21051.8811438211
37,4,13,319300,4013319300,3193.0,Census Tract 3193,G5020,S,1093182,0,33.417039,-111.8867329,11425003.9417114,17061.4084920247
38,3,13,319401,4013319401,3194.01,Census Tract 3194.01,G5020,S,2673507,0,33.3855247,-111.9180624,28771553.7687988,21983.6827266161
39,4,13,319402,4013319402,3194.02,Census Tract 3194.02,G5020,S,2621526,0,33.3858315,-111.900434,28155061.1653442,20994.9813202424
41,4,13,319907,4013319907,3199.07,Census Tract 3199.07,G5020,S,2583419,0,33.3419171,-111.9198091,27802122.7484741,21111.7145017241
44,4,13,318501,4013318501,3185.01,Census Tract 3185.01,G5020,S,1317717,0,33.4553465,-111.9349524,14176362.522644,18753.8457723663
46,4,13,421201,4013421201,4212.01,Census Tract 4212.01,G5020,S,4628649,65887,33.4339264,-111.8723867,3487016.06439209,13743.4291915121
47,4,19,319600,4013319600,3196.0,Census Tract 3196,G5020,S,2578481,0,33.4001798,-111.9349062,27748950.3862915,21080.1727138693
52,4,13,319103,4013319103,3191.03,Census Tract 3191.03,G5020,S,957248,0,33.418997,-111.9161745,10301660.670105,15966.3755603729
53,4,13,319104,4013319104,3191.04,Census Tract 3191.04,G5020,S,1287858,0,33.4111438,-111.9176863,13859587.9542847,15774.0416545551
54,4,13,319201,4013319201,3192.01,Census Tract 3192.01,G5020,S,1324915,0,33.4184286,-111.9002492,14258434.0300293,16009.5979049029
55,4,13,319202,4013319202,3192.02,Census Tract 3192.02,G5020,S,1325009,0,33.4111316,-86.79655824096889,14259437.4465942,16089.584551552
56,4,13,319705,4013319705,3197.05,Census Tract 3197.05,G5020,S,3844149,0,33.3965781,-111.9520842,41369830.5723267,26004.0098039657
57,4,13,319706,4013319706,3197.06,Census Tract 3197.06,G5020,S,1310527,33096,33.3821331,-113.720993126023,14459750.9851074,16635.3238928591
58,5,13,320100,4013320100,3201.0,Census Tract 3201,G5020,S,4818023,92933,33.4435312,-111.9429174,50194448.6538696,34586.5584954775
59,4,7,318800,4013318800,3188.0,Census Tract 3188,G5020,S,2602290,5203,33.4297773,-111.9560473,28061243.8692017,21294.9264342438
60,4,13,319101,4013319101,3191.01,Census Tract 3191.01,G5020,S,330654,0,33.416665,-111.9220739,3558420.34759521,8618.28766779393
61,3,13,318900,4013318900,3189.0,Census Tract 3189,G5020,S,2589082,0,33.4146651,-111.952179,27863090.6742554,21120.8784451796
62,4,13,319403,4013319403,3194.03,Census Tract 3194.03,G5020,S,2657428,9022,33.400944,-111.9001315,28695696.3658447,21428.1552945873
63,4,13,319404,4013319404,3194.04,Census Tract 3194.04,G5020,S,1841582,0,33.39434,-111.8866592,19338467.5062256,20491.1525984954
64,5,13,319500,4013319500,3195.0,Census Tract 3195,G5020,S,2576259,0,33.4002478,-111.917711,27725038.2188721,21070.4254080804
