objectid(long),statefp(long),countyfp(long),tractce(long),blkgrpce(long),geoid(long),namelsad,mtfcc,funcstat,aland(long),awater(long),intptlat(double precision),intptlon(double precision),block_group,percent_pop_below_two_zero_zero_fpl(double precision),pop_below_two_zero_zero_fpl(long),population(long),percent_population_below_two_zero_zero_fpl(double precision),namevalue,percentminority(double precision),le_percent(double precision),shape_length(double precision),shape_area(double precision)
1,9,1,43000,2,90010430002,Block Group 2,G5030,S,412988,23479,41.1304572,-73.4326768,"Block Group 2, Census Tract 430, Fairfield County, Connecticut",0.454,337,743,45.4,Norwalk,65.14131898,0.0,9232.72385207445,-4698142.6131086
2,9,1,43200,3,90010432003,Block Group 3,G5030,S,498691,0,41.1059425,-73.4352951,"Block Group 3, Census Tract 432, Fairfield County, Connecticut",0.467,935,2004,46.7,Norwalk,69.66067864,19.14580265,10361.4720516523,-5367948.09875624
3,9,1,44200,3,90010442003,Block Group 3,G5030,S,434473,114678,41.0981594,-73.4101572,"Block Group 3, Census Tract 442, Fairfield County, Connecticut",0.376,361,959,37.6,Norwalk,71.637122,15.02347418,10264.676378603,-5911139.72478986
4,9,1,43700,2,90010437002,Block Group 2,G5030,S,601034,59749,41.1119648,-73.4143835,"Block Group 2, Census Tract 437, Fairfield County, Connecticut",0.4,541,1351,40.0,Norwalk,63.87472688,10.53391053,12962.4026505518,-7112751.36898975
5,9,1,43800,5,90010438005,Block Group 5,G5030,S,286332,0,41.1082836,-73.4303841,"Block Group 5, Census Tract 438, Fairfield County, Connecticut",0.636,1055,1660,63.6,Norwalk,74.87951807,25.27075812,8858.89005153233,-3082092.96958808
6,12,1,43900,2,90010439002,Block Group 2,G5030,S,675736,0,41.0878019,-73.4328373,"Block Group 2, Census Tract 439, Fairfield County, Connecticut",0.317,743,2344,31.7,Norwalk,83.06313993,10.18808777,12966.3815964478,-7273738.2376705
7,9,1,44500,2,90010445002,Block Group 2,G5030,S,737917,0,41.081712,-73.4267383,"Block Group 2, Census Tract 445, Fairfield County, Connecticut",0.649,1473,2271,64.9,Norwalk,85.68912373,18.69158879,12199.5752757349,-7943083.98373002
8,9,1,44400,1,90010444001,Block Group 1,G5030,S,2432608,10352977,41.0584635,-73.4104283,"Block Group 1, Census Tract 444, Fairfield County, Connecticut",0.483,1363,2821,48.3,Norwalk,65.57958171,16.95966908,58020.8684930611,-137626699.761488
9,9,1,44000,4,90010440004,Block Group 4,G5030,S,127085,0,41.0960664,-73.4243122,"Block Group 4, Census Tract 440, Fairfield County, Connecticut",0.381,208,546,38.1,Norwalk,56.41025641,9.84126984,6097.59334293864,-1367982.16693783
10,9,1,44200,2,90010442002,Block Group 2,G5030,S,386803,40317,41.1037107,-73.4113807,"Block Group 2, Census Tract 442, Fairfield County, Connecticut",0.394,353,897,39.4,Norwalk,59.19732441,16.31016043,9433.03812175045,-4597564.02941373
