score_recent(long),grade_recent,date_recent,score_two(long),grade_two,date_two,score_three(long),grade_three,date_three,permitnumber(long),facilitytype(long),facilitytypedescription,subtype(long),subtypedescription,premisename,premiseaddress,premisecity,premisestate,premisezip(long),openingdate,object_id(long)
100,A,2023/08/23 00:00:00,100,A,2023/01/11 00:00:00,99,A,2022/08/16 00:00:00,32712,605,FOOD SERVICE ESTABLISHMENT,28,SCHOOL CAFETERIA OR FOOD SERVICE,MANUAL HIGH SCHOOL,120 W LEE ST,LOUISVILLE,KY,40208,1988/07/29 04:00:00+00,1
100,A,2023/09/06 00:00:00,100,A,2023/02/27 00:00:00,100,A,2022/09/02 00:00:00,31492,646,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,EISENHOWER ELEMENTARY SCHOOL,5300 JESSAMINE DR,LOUISVILLE,KY,40258,1995/10/26 04:00:00+00,2
100,A,2023/09/07 00:00:00,100,A,2023/03/07 00:00:00,100,A,2022/09/12 00:00:00,36877,337,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,SCHAFFNER ELEMENTARY SCHOOL,2701 CRUMS LN,LOUISVILLE,KY,40216,1989/03/08 05:00:00+00,3
98,A,2023/09/06 00:00:00,99,A,2023/03/10 00:00:00,100,A,2022/08/29 00:00:00,30248,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,NEWCOMER ACADEMY,3741 PULLIAM DR,LOUISVILLE,KY,40218,1988/11/14 05:00:00+00,4
100,A,2023/06/28 00:00:00,100,A,2023/01/11 00:00:00,99,A,2022/08/22 00:00:00,40135,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,LOUISVILLE DAY,8711 LAGRANGE RD,LOUISVILLE,KY,40242,1989/10/27 04:00:00+00,5
100,A,2023/08/21 00:00:00,100,A,2023/01/17 00:00:00,100,A,2022/08/29 00:00:00,31371,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,ZACHARY TAYLOR ELEMENTARY,9620 WESTPORT RD,LOUISVILLE,KY,40241,1989/01/24 05:00:00+00,6
94,A,2023/08/30 00:00:00,100,A,2023/02/09 00:00:00,98,A,2022/09/07 00:00:00,32714,605,FOOD SERVICE ESTABLISHMENT,43,SCHOOL CAFETERIA OR FOOD SERVICE,DESALES HIGH SCHOOL,425 W KENWOOD DR,LOUISVILLE,KY,40214,2009/10/20 04:00:00+00,7
99,A,2023/08/21 00:00:00,100,A,2023/01/11 00:00:00,100,A,2022/08/12 00:00:00,31496,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,ENGELHARD ELEMENTARY SCHOOL,1004 S 1ST ST,LOUISVILLE,KY,40203,1988/07/14 04:00:00+00,8
100,A,2023/03/30 00:00:00,99,A,2022/10/05 00:00:00,100,A,2022/03/21 00:00:00,40492,451,FOOD SERVICE ESTABLISHMENT,47,SCHOOL CAFETERIA OR FOOD SERVICE,WHITEFIELD ACADEMY CAFETERIA,7711 FEGENBUSH LN,LOUISVILLE,KY,40228,1993/12/14 05:00:00+00,9
100,A,2023/05/15 00:00:00,98,A,2022/09/28 00:00:00,96,A,2022/01/20 00:00:00,31372,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,TRINITY HIGH SCHOOL,4011 SHELBYVILLE RD,LOUISVILLE,KY,40207,2009/10/20 04:00:00+00,10
100,A,2023/09/05 00:00:00,100,A,2023/02/09 00:00:00,100,A,2022/08/25 00:00:00,32717,530,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,DIXIE ELEMENTARY SCHOOL,10201 CASALANDA DR,LOUISVILLE,KY,40272,1989/01/24 05:00:00+00,11
100,A,2023/03/13 00:00:00,100,A,2022/08/24 00:00:00,96,A,2022/04/22 00:00:00,40567,752,FOOD SERVICE ESTABLISHMENT,36,SCHOOL CAFETERIA OR FOOD SERVICE,GEORGIA CHAFFEE TAPP,1010 NEIGHBORHOOD PL,FAIRDALE,KY,40118,1989/11/21 05:00:00+00,12
100,A,2023/08/29 00:00:00,99,A,2023/03/01 00:00:00,99,A,2022/08/29 00:00:00,31500,605,FOOD SERVICE ESTABLISHMENT,44,SCHOOL CAFETERIA OR FOOD SERVICE,FAIRDALE ELEMENTARY SCHOOL,10104 MITCHELL HILL RD,LOUISVILLE,KY,40118,1989/01/24 05:00:00+00,13
100,A,2023/08/29 00:00:00,100,A,2023/02/13 00:00:00,100,A,2022/08/29 00:00:00,31373,605,FOOD SERVICE ESTABLISHMENT,33,SCHOOL CAFETERIA OR FOOD SERVICE,TRUNNELL ELEMENTARY SCHOOL,7609 ST ANDREWS CHURCH RD,LOUISVILLE,KY,40214,1988/07/14 04:00:00+00,14
