objectid(long),routeid(long),beginpoint(double precision),endpoint(double precision),routedirection,roadnumber(long),roadsuffix,nedesc,assumedownership,assmowndesc,assumedroadtype,assmrdtypdesc,townnumber(long),townname,yearvalue(long),global_id,shape_length(double precision)
4304,13561427,0.0,0.21,L,1,W,COLLINS AEROSPACE (Windsor Locks),PRI,Private Entity,M,Mainline,165,WINDSOR LOCKS,1632,b774faaa-cdc7-4a72-8d03-a9a9d67b896e,1159.65760281433
4305,13561460,0.0,0.05,L,1,W,PARK AND RIDE (Plainfield),PRI,Private Entity,M,Mainline,108,PLAINFIELD,2022,a00c1247-e141-4212-979a-173bba222eca,276.088414851788
4306,13561572,0.0,0.36,L,1,W,FOX RIDGE DR (Private),PRI,Private Entity,M,Mainline,43,EAST HAVEN,2022,38127fdd-c68e-44cc-9431-5d4ed993d706,1944.68346217373
4307,13561598,0.0,0.05,L,1,W,CIGNA CAMPUS WAY (Bloomfield),PRI,Private Entity,M,Mainline,11,BLOOMFIELD,2022,14380562-fe03-46f7-bb1b-acff54bc2c9c,274.869758244698
4308,13561627,0.0,0.37,L,1,W,JOHN WINTHROP MIDDLE SCHOOL (Deep River),PRI,Private Entity,M,Mainline,122,DEEP RIVER,2022,3612c720-e367-4e5e-8f1c-e80d572c40a2,1947.40378051615
4309,13561636,0.0,0.19,L,1,W,RUSHFORD MEADE (Granby),PRI,Private Entity,M,Mainline,55,GRANBY,2022,5886701c-f740-41f5-a5e1-c8b96b28fe24,1005.99495252963
4310,13561649,0.0,0.21,L,1,W,BEEBE RD (Private),PRI,Private Entity,M,Mainline,103,NORWICH,2022,ec196d40-58cb-439d-be92-4279a582ef23,1110.96875178128
4311,13561702,0.0,0.04,L,1,W,RESINDENCE INN (Rocky Hill),PRI,Private Entity,M,Mainline,118,ROCKY HILL,1667,c3ae4977-0754-4e4c-8b8b-ff0563194811,284.54335289124
4312,13561715,0.0,0.09,L,1,W,TERRYVILLE USPS (Plymouth),PRI,Private Entity,M,Mainline,110,PLYMOUTH,2022,2812a6da-6cf8-477b-99e4-6e57fcd93280,487.130949527421
4313,13561723,0.0,0.14,L,1,W,POMFRET COM SCHOOL N (Pomfret),PRI,Private Entity,M,Mainline,111,POMFRET,2022,870b4e18-1629-4713-b704-8f173ef9aa5c,747.634598595962
4314,13561731,0.0,0.09,L,1,W,DEER MEADOW DR (Private),PRI,Private Entity,M,Mainline,11,BLOOMFIELD,2022,a064ba88-83dd-40dc-b3cb-28429e4bc8c0,477.789006316545
4315,13561745,0.0,0.06,L,1,W,WOOD GROUP P&W (Bloomfield),PRI,Private Entity,M,Mainline,11,BLOOMFIELD,2022,a5687b79-c731-41a6-a975-7f26fa46e30a,339.980497523646
4316,13561768,0.0,0.14,L,1,W,ZACHS CAMPUS (West Hartford),PRI,Private Entity,M,Mainline,155,WEST HARTFORD,2022,807f252d-7296-4d8a-b13a-b0b901698ac9,728.787627957438
4317,13561778,0.0,0.02,L,1,W,HOFFMAN SUMMERWOOD (West Hartford),PRI,Private Entity,M,Mainline,155,WEST HARTFORD,2022,3539e9ec-ac02-4e65-804c-dae483deabda,136.25729743402
4318,13561869,0.0,0.03,L,1,W,BIDWELL DR (Private),PRI,Private Entity,M,Mainline,82,MIDDLETOWN,2022,6fac628c-6378-4798-8293-d5e368d21a37,182.082047926654
4319,13561880,0.0,0.01,L,1,W,DUNKIN DONUTS (Middletown),PRI,Private Entity,M,Mainline,82,MIDDLETOWN,2022,b3f2ba7e-5831-4010-a38b-8710fdf93e8e,60.5252865701806
4320,13564237,0.0,0.07,L,1,W,BAER TRAIL (Private),PRI,Private Entity,M,Mainline,158,WESTPORT,2022,6bc92e6a-d7b9-4d69-ad8b-9d99312effd3,415.934296207721
4321,13564532,0.0,0.08,L,1,W,APRIL DR (Private),PRI,Private Entity,M,Mainline,158,WESTPORT,2022,8ac90aa6-edd9-43ab-8fd2-f504271150d8,460.87814228302
4322,13564819,0.0,0.08,L,1,W,BARRY LA (Private),PRI,Private Entity,M,Mainline,158,WESTPORT,2022,c4c8602f-1569-4ca7-84d8-f08b76abe638,432.26530884514
4323,13567887,0.0,1.24,L,1,W,KENMORE RD (Private),PRI,Private Entity,M,Mainline,11,BLOOMFIELD,2022,48b5b8a8-1ca1-41f6-8ea7-eb51a3d1d9a1,6572.23269758984
4324,13573183,0.0,0.06,L,1,W,TORRINGTON FAIR PLAZA (Torrington),PRI,Private Entity,M,Mainline,143,TORRINGTON,2022,6e6466c2-e5a3-4649-9caa-53631aa18e28,378.737648875313
4325,13573211,0.0,0.19,L,1,W,ARMITAGE CT (Private),PRI,Private Entity,M,Mainline,3,ASHFORD,2022,7e522230-d69f-4164-b2ca-e71ec02c9f73,1020.72600281773
4326,13573235,0.0,0.3,L,1,W,ASHFORD DR (Private),PRI,Private Entity,M,Mainline,3,ASHFORD,2022,6fd25f95-843c-4aa5-af87-e9546ca77221,1557.54696229294
4327,13573278,0.0,0.16,L,1,W,WOODS EDGE (Guilford),PRI,Private Entity,M,Mainline,59,GUILFORD,2022,1adee4dd-4107-4e41-bb14-d094ae5de441,852.365437912796
