object_id(long),x(double precision),y(double precision),building_name,parcel_id,address,status_one,units(long),city_one,tenure,state_one,zip_one(long),est_delivery
1,13479445.731195,306761.720398,28 Grand,02000365.,28 W Grand River Ave,Active,218,Detroit,Renter Occupied,MI,48226,Before 2010
2,13479650.709765,306394.701267,Albert Apartments,02001996.,1214 Griswold,Active,127,Detroit,Renter Occupied,MI,48226,2016
3,13480068.333588,307594.830427,Ashley,01004043-9,1526 Centre St,Active,67,Detroit,Renter Occupied,MI,48226,2015
4,13479299.166425,306025.920922,Book Cadillac,02000259.001,1114 Washington,Active,67,Detroit,Owner Occupied,MI,50167,Before 2010
5,13478504.145662,307547.069109,Briggs Houze,02000380-1,114 W Adams,Active,116,Detroit,Renter Occupied,MI,48226,2015
6,13480359.996934,306974.453394,Broadway Lofts,01004033.,1323 Broadway,Active,18,Detroit,Renter Occupied,MI,48226,Before 2010
7,13479403.502759,307432.418548,Broderick Tower,01004138.,10 Witherell,Active,124,Detroit,Renter Occupied,MI,48226,2012
8,13479557.736756,306096.921359,Capitol Park Lofts,02000267.,1145 Griswold,Active,63,Detroit,Renter Occupied,MI,53346,2017
9,13479223.221873,307037.284852,Claridge House,02000290.,1514 Washington,Active,44,Detroit,Renter Occupied,MI,48226,Before 2010
10,13479549.769967,306597.81562,Clark Lofts,02000332.,35 W Grand River,Active,4,Detroit,Renter Occupied,MI,48226,Before 2010
11,13479258.150828,307414.290947,David Whitney Building,02001867.,1 Park Avenue,Active,108,Detroit,Renter Occupied,MI,43871,2014
12,13478888.343303,306765.211034,Detroit City Apartments,02000294-7,1431 Washington,Active,351,Detroit,Renter Occupied,MI,48226,Before 2010
13,13479713.42296,306288.589731,Detroit Savings Bank,02001995.,1212 Griswold,Active,56,Detroit,Renter Occupied,MI,48226,2013
14,13477937.402355,306228.895396,Detroit Town Residences,04003165-89,1511 1st,Active,257,Detroit,Renter Occupied,MI,48226,Before 2010
15,13479656.088779,307366.790767,Eureka Lofts,01004021.,1521 Broadway,Active,16,Detroit,Renter Occupied,MI,48226,Before 2010
16,13478628.30932,304966.074657,Fort Shelby Tower Apartments,04000118.005,525 W Lafayette,Active,56,Detroit,Renter Occupied,MI,48226,Before 2010
17,12631532.691003852,307831.527374,Fyfe Building Apartments,02000388.,10 W Adams,Active,65,Detroit,Renter Occupied,MI,48226,Before 2010
18,8534826.14542364,306646.768459,Greektown Lofts,01000152.,743 Beaubien,Active,51,Detroit,Renter Occupied,MI,48226,Before 2010
19,13479779.488908,305927.273183,The Griswold,02000261-0,1117 Griswold,Active,80,Detroit,Owner Occupied,MI,48226,2017
20,13479212.627887,307154.717749,Himelhoch Apartments (Senior),02001868.,1545 Woodward,Proposed,72,Detroit,Renter Occupied,MI,48226,2018
21,13479229.305372,306652.013951,Industrial-Stevens Apartments (Seniors),02000286.,1410 Washington,Active,38,Detroit,Renter Occupied,MI,48226,2017
22,13478316.454728,308109.082849,Iodent Lofts,02000453.,2233 Park,Active,11,Detroit,Renter Occupied,MI,48226,Before 2010
23,9580738.760604233,307654.981279,Kales Building,02000383.,76 W Adams,Active,117,Detroit,Renter Occupied,MI,48226,Before 2010
25,13480182.004991,306933.710227,Library Lofts,01004000.,1250 Library St,Active,4,Detroit,Renter Occupied,MI,48226,Before 2010
26,13479714.909501,306513.164187,Lofts at Merchants Row,02001873.001,1247 Woodward,Active,157,Detroit,Renter Occupied,MI,48226,Before 2010
27,13479605.058079,306909.492589,Lofts at Woodward Center,01004125.003,1448 Woodward,Active,61,Detroit,Renter Occupied,MI,54913,Before 2010
28,13479358.099051,306293.982733,Malcomson Building,02002008.,1215 Griswold,Active,25,Detroit,Renter Occupied,MI,32165,2016
