objectid(long),neighborhood,precinct,shape_length(double precision),shape_area(double precision)
1,ALASKA JUNCTION,SW,105222.81036804192,37947464.2782834
2,ALKI,SW,55869.5512201597,57757144.1083065
3,BALLARD NORTH,N,49759.6716836235,124934005.00643
4,DOWNTOWN COMMERCIAL,W,20647.6687628817,17323403.0849809
5,BALLARD SOUTH,N,38678.5902627564,58863907.0738086
6,BELLTOWN,W,17851.4191713606,13262023.2842424
7,BITTERLAKE,N,43678.5755707849,92314813.7166416
8,BRIGHTON/DUNLAP,S,104408.26486153594,25072155.6252226
9,CENTRAL AREA/SQUIRE PARK,E,28582.291613848,36998283.763575
10,HILLMAN CITY,S,14545.9388562415,10428130.212441
11,CLAREMONT/RAINIER VISTA,S,18261.8851534645,12781245.1850467
12,COLUMBIA CITY,S,15714.8634807724,12954593.9767991
13,EASTLAKE - EAST,E,13282.0451991984,4097570.99532151
14,EASTLAKE - WEST,W,19915.2912708006,14989832.3116538
15,COMMERCIAL DUWAMISH,SW,50181.5810466928,39717645.062225
16,COMMERCIAL HARBOR ISLAND,SW,28038.8046140954,32720531.2486905
17,FAUNTLEROY SW,SW,51062.4389230034,55837149.7339212
18,FIRST HILL,E,20459.8496706002,15541724.1643378
19,FREMONT,N,27946.2554117626,28202699.9123826
20,GENESEE,S,12952.9091477334,8919261.91452121
21,HIGH POINT,SW,22056.9232255267,23709343.940501
22,MORGAN,SW,40125.6174199649,52627930.5974941
23,GEORGETOWN,S,59129.8352906511,79716354.8109611
24,GREENWOOD,N,26493.3322704542,42008629.32977
25,MADISON PARK,E,24974.702412395,27508317.1773883
26,HIGHLAND PARK,SW,35886.1534285827,49134942.1469324
27,LAKECITY,N,44835.1918122073,85899582.6522351
28,LAKEWOOD/SEWARD PARK,S,48882.4525600299,56842609.3980673
29,MOUNT BAKER,S,109372.5775963091,32160761.6259794
30,MAGNOLIA,W,58792.0685067398,180449287.448366
31,MONTLAKE/PORTAGE BAY,E,37117.3428035256,41960294.1685617
32,MID BEACON HILL,S,38538.828754302,50946192.9579229
33,MILLER PARK,E,18080.137976183,15884932.5614688
34,NEW HOLLY,S,15593.9337618865,9187712.20801555
35,NORTH ADMIRAL,SW,32047.0614818614,48417655.7321193
36,QUEEN ANNE,W,46622.574677973,105096226.931633
37,NORTH BEACON HILL,S,33784.143420926,46831366.8466449
38,PIGEON POINT,SW,13595.0918727038,9816734.09889736
39,RAINIER BEACH,S,21134.0061419587,19192113.3748838
40,NORTH DELRIDGE,SW,39920.6156565861,47920549.0500004
41,UNIVERSITY,N,34115.5598624408,53849611.470306
42,PIONEER SQUARE,W,19578.6260571202,17196131.7998857
43,NORTHGATE,N,51398.0381149127,132689323.622419
44,SODO,S,41694.1891594747,57751937.6916324
45,PHINNEY RIDGE,N,27245.8409371669,32122789.019664
46,RAINIER VIEW,S,53113.2175142498,49686944.3910513
47,SANDPOINT,N,74002.7730509625,175845013.259866
48,ROOSEVELT/RAVENNA,N,50703.1099061774,95888793.6308665
49,ROXHILL/WESTWOOD/ARBOR HEIGHTS,SW,49779.8998491167,54620168.9155176
50,SLU/CASCADE,W,29369.5022733529,31657305.4970698
51,SOUTH BEACON HILL,S,38847.5685228341,37047970.1936947
52,SOUTH PARK,SW,29836.7753358583,33202302.1861266
53,WALLINGFORD,N,33599.1748288958,48520815.6326927
54,SOUTH DELRIDGE,SW,8996.66182472967,3577942.36282079
55,CAPITOL HILL,E,30052.6276253426,30328037.4994577
56,MADRONA/LESCHI,E,39293.2962710928,41092999.489133
57,JUDKINS PARK/NORTH BEACON HILL,E,110907.3506896949,11817476.6394627
58,CHINATOWN/INTERNATIONAL DISTRICT,W,15234.5588201343,10422116.11426
