4846.geocodecitylevel,"Lovingtono, NM
(32.943949, -103.34988)","Lovington, NM
(32.943949, -103.34988)"
4152.psapname,Negaunbee Regional Dispatch-baraga,Negaunee Regional Dispatch-baraga
5464.county,Hnt,Hunt
6773.psapname,White Bera Lake Police Department,White Bear Lake Police Department
7637.geocodecitylevel,"Walnut Creemk, CA
(37.901763, -122.061921)","Walnut Creek, CA
(37.901763, -122.061921)"
5392.datelastmodified,10/1/2011,10/21/2011
8509.geocodecitylevel,"Meridian, MS
(32.360544, -88.702527)","Meridian, MS
(32.365044, -88.702527)"
188.statevalue,OM,MO
4314.city,Wtasonville,Watsonville
938.typeofchangefulltext,Secondary PSAP associated wih a Primary PSAP. Use the Primary PSAP in future filings.,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.
294.psapname,Mountain Vienw Fire Department,Mountain View Fire Department
4902.geocodecitylevel,"Pickens, SC
(34.88114, -82.706178)","Pickens, SC
(34.881214, -82.706178)"
6657.geocodecitylevel,"Winsotn-salem, NC
(36.096261, -80.243735)","Winston-salem, NC
(36.096261, -80.243735)"
7417.statevalue,LF,FL
3848.county,ennings,Jennings
6580.typeofchangefulltext,Secondary PSAP associated with a Primary PSAP.n Use the Primary PSAP in future filings.,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.
5459.statevalue,R,AR
5204.county,Phlps,Phelps
8206.psapname,Rochesterj Communications,Rochester Communications
804.city,Mcconnelville,Mcconnelsville
6255.psapname,Stark Dickinson Dispatch Cejnter,Stark Dickinson Dispatch Center
6242.typeofchangefulltext,No Changes havee been made.,No Changes have been made.
7056.geocodecitylevel,"Palos Hegihts, IL
(41.667958, -87.79891)","Palos Heights, IL
(41.667958, -87.79891)"
8459.psapname,Granville County Emergency Commuications,Granville County Emergency Communications
2967.geocodecitylevel,"St, Thyomas, VI
(18.341246, -64.932804)","St, Thomas, VI
(18.341246, -64.932804)"
4194.typeofchangefulltext,Orphaned PSAP no longer considered a primary call aking answering point. Refrain from using these in future filings.,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
3203.datelastmodified,03/04/200b4,03/04/2004
4432.city,Morkgan Hill,Morgan Hill
3729.datelastmodified,03/40/2004,03/04/2004
1797.county,Toulumne,Tuolumne
6481.city,Montajgue,Montague
3372.county,Pdima,Pima
6403.datelastmodified,0522/2008,05/22/2008
6345.datelastmodified,z08/21/2007,08/21/2007
1656.datelastmodified,12/1/92013,12/19/2013
5613.datelastmodified,3/04/2004,03/04/2004
6989.county,Rock Isladn,Rock Island
1136.city,Storrs***,Storrs
1365.county,omerset,Somerset
