psapid(long),psapname,county,city,statevalue,typeofchangefulltext,datelastmodified,geocodecitylevel
5093,Hamburg Public Safety,Ere,Erie,NY,No Changes have been made.,03/04/2004,"Erie, NY"
445,Hopi Polic Department,Navajo,Houstno,AZ,Not Changes have been made.,03/04/2004,"AZ (34.869712, -111.76002)"
2619,Miami County 9-1-1,Miami,Peru,IN,No Changes have been made.,03/04/2004,"Peru, IN (40.753762, -86.069115)"
2321,Markham,Cook,Markham,LI,No Changes have been made.,03/0/42004,"Markham, IL (41.593513, -87.694621)"
2984,Martin County 9-1-1,Martin,Inez,KY,No Changes have been made.,03/04/2004,"Inez, KY (37.866646, -82.539105)"
2266,Hometown Etsb,Cook,Hometwn,IL,No Changes have been made.,3/04/2004,"Hometown, IL (41.73199, -87.73231)"
2140,Burnham Police,Cook***,Burnham,IL,No Changes have been made.,3/04/2004,"Burnham, IL (41.641544, -87.541402)"
5215,Tioga County 9-1-1,Tigoa,Owego,YN,No Changes have been made.,03/04/2004,"wego, NY (42.103237, -76.263163)"
4972,State Police-gallup,Mckinley,Gallup,NM,No Changes have pbeen made.,03/04/2004,"Gallup, NM (35.519123, -108.739769)"
5475,Parma Police,Ashtabula,Parma,HO,No Changes have been made.,03/04/2004,"Parma, OH (41.384498, -81.734664)"
7620,Cheyenne City Police,Larmie,Cheyenne,WY,No Changes have been made.,0/04/2004,"Cheyenne, WY (41.14024, -104.818802)"
7531,Waupaca County Sheriff,Waupaca,Waupaac,WI,No Changes have been made.,03/04/2040,"Waupaca, WI (44.358804, -89.084882)"
7344,Sauk-suiattle Tribal Police Department,Snohomish,Darrington,WA,No Changes have been made.,03/04/2004,"Darrington, WA (48.255271, -121.604924)"
7618,Casper Police Department,Natrona,Casper,YW,No Changes have been mad.e,03/04/2004,"Casper, WY (42.850807, -106.325203)"
7346,Seattle Police Department,King,Seattle,WA,No Changes have been made.,03/04/2004,"Seattle, WA (47.603229, -122.33028)"
5137,New York ity Police Department -brooklyn,New York,Brooklyn,NY,No Changes have been made.,03/04/204,"Brooklyn, NY (40.692529, -73.990996)"
6534,Del Rio Police Department,aVl Verde,Del Rio,TX,No Changes have been made.,03/04/2004,"Del Rio, XT (29.365723, -100.897922)"
7656,Torrington Police Department,Goshen,Torringtn,WY,No Changes have been made.,03/04/2004,"Torrington, WY (42.0l67992, -104.182981)"
8131,E-com Dispach Center,Cook,Homewood,IL,PSAP was added since the original posting of the FCC Registry.,12/30/2005,"Homewood, IL (41.563348, -87.668329)"
6574,Everman Police Department,Tarrant,Everman,TX,No Changes have been made.,03/04/2004,"Everman, TX (32.632014, -97.287121)"
7516,Taylo rCounty,Tayrlor,Medford,zWI,No Changes have been made.,03/04/0204,"Medford, WI (45.14287, -90.34296)4"
5211,Suffolk County Police Department,Suffolk,Yaphank,NY,No Chagnes have been made.,03/04/204,"Yaphank, NY (40.837128g, -72.912138)"
3354,Clare County Central Dispatch,Ctlare,Harrison,MI,No Changes have been made.,03/04/2004,"Harrison, MI (42.58763, -82.81854)"
4125,Daniels County Sheriffs Office,Dniels,Scobey,MT,No Changes have been made.,0/04/2004,"Scobey, MT (48.79k142, -105.420396)"
1564,Largo Police Department,Pinellas,Largo,FL,No Changes have been made.,03/04/2004,"Largo, FL (27.91829, -82.774936)"
7403,Caledonia Police,Racine,Caledonia,IW,No Changes have been made.,03/04/2004,"Caledonia, WI (42.814847, -87.914135)"
