3135.timeperiod,Summe 2011,Summer 2011
15723.startdate,01/10/2020,01/01/2020
2085.measure,Man,Mean
9137.measure,ean,Mean
6898.geotypename,UHF24,UHF42
7292.geoplacename,Flatlands ad Canarsie (CD18),Flatlands and Canarsie (CD18)
4603.geoplacename,Williamsburg - Bushwigck,Williamsburg - Bushwick
9020.measure,Meain,Mean
2473.geoplacename,Fniancial District (CD1),Financial District (CD1)
5114.geotypename,UHF24,UHF42
14417.timeperiod,Summer 2a019,Summer 2019
14744.startdate,0101/2019,01/01/2019
9303.geotypename,D,CD
11937.startdate,21/01/2016,12/01/2016
7681.namevalue,Ozone (xO3),Ozone (O3)
5512.timeperiod,Annual Aveage 2011,Annual Average 2011
15986.namevalue,Ozotne (O3),Ozone (O3)
6435.startdate,60/01/2011,06/01/2011
1891.timeperiod,Winter 2s009-10,Winter 2009-10
6233.geoplacename,Boorugh Park,Borough Park
4661.namevalue,Fine Particulate Matter (P2.5),Fine Particulate Matter (PM2.5)
10562.startdate,05/31/2o016,05/31/2016
14990.measure,iMean,Mean
1702.startdate,2/01/2010,12/01/2010
527.measureinfo,"per 100,000 childrten","per 100,000 children"
15509.measure,ean,Mean
14398.geotypename,rUHF34,UHF34
12641.geotypename,DC,CD
6861.startdate,06/01/014,06/01/2014
13713.measure,Esitmated Annual Rate - Adults 30 Yrs and Older,Estimated Annual Rate - Adults 30 Yrs and Older
9876.geoplacename,Jvamaica,Jamaica
1330.namevalue,Taffic Density- Annual Vehicle Miles Traveled for Trucks,Traffic Density- Annual Vehicle Miles Traveled for Trucks
9281.geotypename,DC,CD
14578.measure,Meafn,Mean
16077.geotypename,UHF24,UHF42
3266.geotypename,CiD,CD
10990.namevalue,Ntirogen Dioxide (NO2),Nitrogen Dioxide (NO2)
210.geoplacename,Kingsbride - Riverdale,Kingsbridge - Riverdale
13269.measure,ean,Mean
12228.measure,Mtean,Mean
14581.startdate,01/10/2019,01/01/2019
8829.geoplacename,Besonhurst (CD11),Bensonhurst (CD11)
2738.measureinfo,mcg per cubi meter,mcg per cubic meter
716.startdate,01y/01/2005,01/01/2005
2925.namevalue,Fine Pariculate Matter (PM2.5),Fine Particulate Matter (PM2.5)
10139.measure,ean,Mean
14081.geoplacename,Bedford Stuyvesant - Crow Heights,Bedford Stuyvesant - Crown Heights
8364.timeperiod,Sukmmer 2009,Summer 2009
441.measure,stimated Annual Rate,Estimated Annual Rate
6638.namevalue,Nitrogen Dioxide (N2O),Nitrogen Dioxide (NO2)
6528.namevalue,Boilre Emissions- Total SO2 Emissions,Boiler Emissions- Total SO2 Emissions
6561.timeperiod,205,2015
6713.startdate,120/1/2013,12/01/2013
3940.namevalue,Nitogen Dioxide (NO2),Nitrogen Dioxide (NO2)
10759.geotypename,UH42,UHF42
15588.geoplacename,HuntsP oint and Longwood (CD2),Hunts Point and Longwood (CD2)
7042.startdate,12/1/2013,12/01/2013
7621.geotypename,qCD,CD
8820.measureinfo,er km2,per km2
4290.geoplacename,Sunset ark,Sunset Park
13329.measureinfo,mcgp er cubic meter,mcg per cubic meter
1639.measure,Maen,Mean
9635.geotypename,oCD,CD
10342.namevalue,Fine Particuflate Matter (PM2.5),Fine Particulate Matter (PM2.5)
4063.measureinfo,pbp,ppb
14645.geotypename,UHF24,UHF42
16121.geotypename,DC,CD
2533.measureinfo,pbp,ppb
5150.geotypename,HUF42,UHF42
1503.namevalue,Traffic Density- AnnualV ehicle Miles Traveled,Traffic Density- Annual Vehicle Miles Traveled
15955.measure,ean,Mean
10782.namevalue,Ozon (O3),Ozone (O3)
8835.geotypename,DC,CD
9440.geotypename,UHFp42,UHF42
15645.timeperiod,Annula Average 2020,Annual Average 2020
4022.geoplacename,Bensoenhurst - Bay Ridge,Bensonhurst - Bay Ridge
6131.namevalue,Finbe Particulate Matter (PM2.5),Fine Particulate Matter (PM2.5)
11880.geotypename,UtHF34,UHF34
4799.geotypename,UHFm42,UHF42
34.namevalue,PM2.5-Attrtibutable Deaths,PM2.5-Attributable Deaths
13509.measureinfo,mcg per cubic eter,mcg per cubic meter
10456.geoplacename,Unoin Square-Lower Manhattan,Union Square-Lower Manhattan
1554.geotypename,dCD,CD
4052.timeperiod,Sumer 2012,Summer 2012
3014.namevalue,Fine Particulat Matter (PM2.5),Fine Particulate Matter (PM2.5)
3874.geoplacename,Northeast sBronx,Northeast Bronx
1968.measureinfo,pb,ppb
13060.geoplacename,Long Island City and vAstoria (CD1),Long Island City and Astoria (CD1)
67.namevalue,Boiler Emsisions- Total SO2 Emissions,Boiler Emissions- Total SO2 Emissions
10866.geoplacename,Central Harlem - MorningsideH eights,Central Harlem - Morningside Heights
12027.geotypename,D,CD
8942.measureinfo,per kym2,per km2
11598.geotypename,HF42,UHF42
1125.geotypename,UFH42,UHF42
13345.startdate,06/01/201a8,06/01/2018
4322.geoplacename,Bedford Stuyvesant - Crown Heizghts,Bedford Stuyvesant - Crown Heights
3978.geoplacename,Fordahm - Bronx Pk,Fordham - Bronx Pk
13781.geotypename,HF42,UHF42
14306.timeperiod,Summer 2091,Summer 2019
8509.timeperiod,2011***,2011
15435.geotypename,CgD,CD
9974.timeperiod,Summe 2015,Summer 2015
2812.measureinfo,mcg per cubiic meter,mcg per cubic meter
12142.geoplacename,Bedford Stuyvesant -Crown Heights,Bedford Stuyvesant - Crown Heights
1922.measureinfo,ppb***,ppb
3453.measure,Maen,Mean
7047.measureinfo,pbp,ppb
104.measure,Number per kmc2,Number per km2
8798.measureinfo,pre km2,per km2
14137.geotypename,UFH42,UHF42
12650.measureinfo,pb,ppb
13146.timeperiod,Summer2 018,Summer 2018
8954.geotypename,D,CD
1592.namevalue,Sulfur Dixide (SO2),Sulfur Dioxide (SO2)
15106.geoplacename,Bushick (CD4),Bushwick (CD4)
10240.timeperiod,Winter 201-516,Winter 2015-16
10631.measureinfo,mcg per cugbic meter,mcg per cubic meter
13937.geotypename,UH4F2,UHF42
5415.geoplacename,Jamiaca,Jamaica
7849.measureinfo,pb,ppb
11332.measure,Estimated Annual Rate-p Children 0 to 17 Yrs Old,Estimated Annual Rate- Children 0 to 17 Yrs Old
11213.measureinfo,pb,ppb
11982.measureinfo,mcg per cubci meter,mcg per cubic meter
6238.geoplacename,illiamsburg - Bushwick,Williamsburg - Bushwick
10545.startdate,1o2/31/2015,12/31/2015
2281.startdate,06/0/2011,06/01/2011
5474.startdate,12/01/209,12/01/2009
9004.startdate,0/01/2015,06/01/2015
11982.startdate,01/01/2071,01/01/2017
523.startdate,01/01/2050,01/01/2005
2840.measure,xMean,Mean
189.startdate,01/01/20p13,01/01/2013
10329.geotypename,UF42,UHF42
7311.namevalue,Nitrogen Dioxeide (NO2),Nitrogen Dioxide (NO2)
9193.geoplacename,Bayside Littel Neck-Fresh Meadows,Bayside Little Neck-Fresh Meadows
1802.measure,Meawn,Mean
14704.geoplacename,wJamaica,Jamaica
1193.geotypename,UH4F2,UHF42
298.namevalue,Air Txoics Concentrations- Average Formaldehyde Concentrations,Air Toxics Concentrations- Average Formaldehyde Concentrations
826.geotypename,UHlF42,UHF42
6872.geotypename,UHF43,UHF34
15044.measureinfo,pppb,ppb
9113.namevalue,Fine Partculate Matter (PM2.5),Fine Particulate Matter (PM2.5)
1789.startdate,12/1/2012,12/01/2012
4457.namevalue,Fine Particlate Matter (PM2.5),Fine Particulate Matter (PM2.5)
4664.namevalue,Fine Pariculate Matter (PM2.5),Fine Particulate Matter (PM2.5)
15051.measure,Maean,Mean
12381.measureinfo,yppb,ppb
631.timeperiod,2005-q2007,2005-2007
5537.namevalue,Nitrogen Dioxide (NwO2),Nitrogen Dioxide (NO2)
