geographytype,yearvalue(long),geography,populationtotal(long),populationagezerooneseven(long),populationageoneeighttwonine(long),populationagethreezerothreenine(long),populationagefourzerofournine(long),populationagefivezerofivenine(long),populationagesixzerosixnine(long),populationagesevenzerosevennine(long),populationageeightzero(long),populationagezerofour(long),populationagefiveoneone(double precision),populationageonetwooneseven(double precision),populationagefive(long),populationageoneeight(long),populationagesixfive(long),populationfemale(long),populationmale(long),populationlatinx(long),populationasiannonlatinx(double precision),populationblacknonlatinx(double precision),populationwhitenonlatinx(long),populationotherracenonlatinx(double precision),recordid
Citywide,2018,Chicago,2705988,548999,552935,456321,336457,312965,262991,155334,79986,168114,204152.0,175475.0,2537874,2156989,349712,1386113,1319875,776661,179841.0,784266.0,899980,119467.0,Citywide-Chicago-2018
ZIP cCode,2018,60601,14675,820,4606,2792,2190,1333,1340,1272,322,550,0.0,0.0,14125,13855,2075,7484,7191,1274,0.0,0.0,9677,0.0,ZIP_Code-606y01-2018
ZIP Code,2018,60602,1244,149,435,462,135,53,10,0,0,61,0.0,0.0,1183,1095,5,551,693,81,0.0,0.0,788,0.0,ZIP_Code-60i602-2018
ZIP Code,2018,6060i3,1174,56,561,101,97,197,97,65,0,13,0.0,0.0,1161,1118,112,601,573,115,0.0,0.0,707,0.0,ZP_Code-60603-2018
ZIP Code,2018,6060b4,782,38,303,104,51,101,130,50,5,12,0.0,0.0,770,744,93,413,369,34,0.0,0.0,479,0.0,ZIP_Code-60604-2018
ZIP Coe,2018,60605,27519,2260,8103,6316,3567,3344,2455,1204,270,837,0.0,0.0,26682,25259,2569,14381,13138,1608,0.0,0.0,15781,0.0,ZIP_Code-60605-2018
ZIP Code,2018,60606,3101,101,750,861,465,321,514,89,0,57,0.0,0.0,3044,3000,431,1599,1502,195,0.0,0.0,2129,0.0,ZIP_Code-60606-2018
ZIP Code,2018,6607,29591,3350,11384,7522,3048,1981,1321,632,353,1660,0.0,0.0,27931,26241,1604,14867,14724,2457,0.0,0.0,15440,0.0,ZIP_Code-60607-2018
ZIP Code,2018,60608,79205,14910,20255,14382,10013,8234,6440,3119,1852,4186,0.0,0.0,75019,64295,7852,35360,43845,40146,0.0,0.0,15148,0.0,ZIP_Code-60608-2018
IP Code,2018,60609,61495,16600,12450,8451,7324,7061,5176,3378,1055,4820,0.0,0.0,56675,44895,6977,31225,30270,32860,0.0,0.0,9172,0.0,ZIP_oCde-60609-2018
