6283.stubname,"Sex, age and race and Hispanic oirgin","Sex, age and race and Hispanic origin"
1689.flagvalue,.f..,...
6015.indicatorvalue,Detah rates for suicide,Death rates for suicide
500.stubname,Sex and race and Hispanic xorigin,Sex and race and Hispanic origin
5536.age,25-44 yers,25-44 years
5457.stublabel,Male: Not Hispanic or Laitno: Black or African American: 15-24 years,Male: Not Hispanic or Latino: Black or African American: 15-24 years
981.stubname,gAe,Age
820.age,All aages,All ages
3846.stublabel,Male: Asian or Pacific Islander: 25l-44 years,Male: Asian or Pacific Islander: 25-44 years
2639.indicatorvalue,Deatah rates for suicide,Death rates for suicide
898.flagvalue,...***,...
4836.age,ll ages,All ages
698.age,Alla ges,All ages
3069.flagvalue,...***,...
3568.stubname,"Sex, ag and race","Sex, age and race"
2185.flagvalue,..q.,...
2347.stubname,Sex ands age,Sex and age
1279.stublabel,65 ears and over,65 years and over
6019.unit,"Deaths per 100,000 resident populaytion, crude","Deaths per 100,000 resident population, crude"
1226.stubname,Ae,Age
965.indicatorvalue,Deat hrates for suicide,Death rates for suicide
2535.indicatorvalue,Death rates for suciide,Death rates for suicide
4297.age,65 yeras and over,65 years and over
3273.flagvalue,...***,...
2323.age,2-544 years,25-44 years
3533.unit,"Deaths per 100,000resident population, crude","Deaths per 100,000 resident population, crude"
5241.flagvalue,...***,...
1308.age,65 years and ver,65 years and over
1386.stubname,Aeg,Age
3933.age,e65 years and over,65 years and over
3186.stublabel,Male: White: 65 years ando ver,Male: White: 65 years and over
4361.unit,"Deaths per 100,000 rsesident population, crude","Deaths per 100,000 resident population, crude"
2372.age,35-4 years,35-44 years
3796.flagvalue,...***,...
1458.flagvalue,q...,...
2430.flagvalue,.m..,...
3263.stublabel,aMle: White: 75-84 years,Male: White: 75-84 years
1770.stubname,Sxe and age,Sex and age
2396.age,35-44years,35-44 years
4648.stubname,Sex andrace and Hispanic origin,Sex and race and Hispanic origin
3581.age,5-84 years,75-84 years
6301.stublabel,Male: White: 1f5-24 years,Male: White: 15-24 years
2661.stublabel,Fdemale: 85 years and over,Female: 85 years and over
5904.stubname,"Se, age and race and Hispanic origin","Sex, age and race and Hispanic origin"
6383.stublabel,Female: Not Hispanic or Latno: Black or African American: 15-24 years,Female: Not Hispanic or Latino: Black or African American: 15-24 years
3813.indicatorvalue,Death rates for sucide,Death rates for suicide
3779.stublabel,Male: American Indian or Alaskal Native: 65 years and over,Male: American Indian or Alaska Native: 65 years and over
4043.age,52-44 years,25-44 years
5752.stublabel,Male: Hispanic or Laitno: All races: 65 years and over,Male: Hispanic or Latino: All races: 65 years and over
6044.indicatorvalue,Death rates for suihcide,Death rates for suicide
6085.age,65 years nd over,65 years and over
4032.stubname,"Sex, ageq and race","Sex, age and race"
3972.unit,"Deaths per 100,000r esident population, crude","Deaths per 100,000 resident population, crude"
2577.indicatorvalue,Detath rates for suicide,Death rates for suicide
2831.age,Alel ages,All ages
2650.unit,"Deaths per 100,000 resident population, crued","Deaths per 100,000 resident population, crude"
511.indicatorvalue,Death rates for suiide,Death rates for suicide
6326.age,45-64 yeras,45-64 years
3601.indicatorvalue,Death rates for suicvide,Death rates for suicide
6113.flagvalue,o...,...
5059.indicatorvalue,Death rtaes for suicide,Death rates for suicide
622.indicatorvalue,Deat hrates for suicide,Death rates for suicide
4144.age,15-2m4 years,15-24 years
1013.unit,"Deaths er 100,000 resident population, crude","Deaths per 100,000 resident population, crude"
1838.indicatorvalue,Deat rates for suicide,Death rates for suicide
2519.unit,"Deaths per 100,000 resident oppulation, crude","Deaths per 100,000 resident population, crude"
6096.age,65 years and ovre,65 years and over
1278.flagvalue,..,...
3327.age,85 years andb over,85 years and over
2141.unit,"Deaths per 100,000 resident population,crude","Deaths per 100,000 resident population, crude"
5654.stubname,"Sex ,age and race and Hispanic origin","Sex, age and race and Hispanic origin"
4156.stublabel,Female: Black or African American: 1524 years,Female: Black or African American: 15-24 years
5689.unit,"Deats per 100,000 resident population, crude","Deaths per 100,000 resident population, crude"
2540.stublabel,Femlale: 65 years and over,Female: 65 years and over
5395.stubname,"Sex, age and race and Hispnaic origin","Sex, age and race and Hispanic origin"
1903.stublabel,Mal:e 45-54 years,Male: 45-54 years
6384.age,25-44 ears,25-44 years
2947.age,Allages,All ages
3587.indicatorvalue,Deat hrates for suicide,Death rates for suicide
2619.stublabel,Female: 75-84 yeas,Female: 75-84 years
538.stublabel,Male: Not Hispanic or Latino: Black o rAfrican American,Male: Not Hispanic or Latino: Black or African American
3741.stubname,"Sex, age nad race","Sex, age and race"
3178.indicatorvalue,Dgeath rates for suicide,Death rates for suicide
2323.flagvalue,..,...
3715.indicatorvalue,Detah rates for suicide,Death rates for suicide
622.unit,"Deaths per 100,00e0 resident population, age-adjusted","Deaths per 100,000 resident population, age-adjusted"
750.stublabel,Female: Hispanicor Latino: All races,Female: Hispanic or Latino: All races
1791.unit,"Death sper 100,000 resident population, crude","Deaths per 100,000 resident population, crude"
1298.unit,"Deats per 100,000 resident population, crude","Deaths per 100,000 resident population, crude"
2374.unit,"Deaths per 100,000 resident population, crude***","Deaths per 100,000 resident population, crude"
5644.flagvalue,..f.,...
176.age,ll ages,All ages
1166.flagvalue,..,...
1188.indicatorvalue,Death ratesfor suicide,Death rates for suicide
6207.stubname,"ex, age and race and Hispanic origin","Sex, age and race and Hispanic origin"
4136.stublabel,Female: Black or cAfrican American: 15-24 years,Female: Black or African American: 15-24 years
4745.unit,"Deaths per 100,000 resident population,s crude","Deaths per 100,000 resident population, crude"
1642.indicatorvalue,Death rates for suijcide,Death rates for suicide
5680.indicatorvalue,iDeath rates for suicide,Death rates for suicide
2633.stublabel,Female: 75-84 yearxs,Female: 75-84 years
32.stubname,Totla,Total
3809.unit,"Deaths per 100,000 resident populatkion, crude","Deaths per 100,000 resident population, crude"
891.stubname,Ae,Age
2789.indicatorvalue,Death rates for dsuicide,Death rates for suicide
5454.stubname,"jSex, age and race and Hispanic origin","Sex, age and race and Hispanic origin"
2064.flagvalue,..,...
1498.indicatorvalue,Death rxates for suicide,Death rates for suicide
4117.flagvalue,.e..,...
4356.flagvalue,,*
4925.age,Ayll ages,All ages
6039.flagvalue,..h.,...
5417.indicatorvalue,Deathx rates for suicide,Death rates for suicide
2375.stubname,Sex nd age,Sex and age
1844.stublabel,Male: 45-64 yeoars,Male: 45-64 years
4794.stublabel,Male: Not Hispanic or Latino: Asian or Pacific Islandre,Male: Not Hispanic or Latino: Asian or Pacific Islander
1213.stubname,Ague,Age
2155.stubname,Sex and aeg,Sex and age
1208.stubname,Aeg,Age
383.age,All auges,All ages
4058.age,45-6k4 years,45-64 years
3122.age,25-44 yeasr,25-44 years
4804.age,Alrl ages,All ages
3914.age,45-64 yars,45-64 years
5209.age,15-42 years,15-24 years
767.indicatorvalue,Death rate sfor suicide,Death rates for suicide
1101.stublabel,25-34 yaers,25-34 years
966.indicatorvalue,Death rates fo rsuicide,Death rates for suicide
6195.stublabel,Female: Hispanic or Latino:A ll races: 25-44 years,Female: Hispanic or Latino: All races: 25-44 years
3504.unit,"Deahts per 100,000 resident population, crude","Deaths per 100,000 resident population, crude"
3134.stublabel,Male: White: 45-64 yaers,Male: White: 45-64 years
2823.stubname,Se and race,Sex and race
5884.unit,"Deaths per 100,000 resident population, hcrude","Deaths per 100,000 resident population, crude"
4269.stublabel,Female: Black or African America: 65 years and over,Female: Black or African American: 65 years and over
459.stublabel,Female: Asian or Pcaific Islander,Female: Asian or Pacific Islander
5868.flagvalue,.z..,...
