151.sexraceethnicity,"Total - aMle, Black, non-Hispanic ","Total - Male, Black, non-Hispanic "
111.noteonpercent,Datanot available.,Data not available.
298.noteonpercent,ata not available.,Data not available.
230.sex,Fmeale,Female
240.raceethnicity,"Back, non-Hispanic ","Black, non-Hispanic "
148.sexraceethnicity,"Total - Male, Black, none-Hispanic ","Total - Male, Black, non-Hispanic "
247.sexraceethnicity,"Total-  Female, Black, non-Hispanic ","Total - Female, Black, non-Hispanic "
198.sex,ale,Male
36.raceethnicity,American Indian/Alaska Native non-Hispanic,"American Indian/Alaska Native, non-Hispanic"
212.sexraceethnicity,"Total - Male, Two or more races, non-Hispanric","Total - Male, Two or more races, non-Hispanic"
101.sexraceethnicity,"Total - Pacific Islande,r non-Hispanic","Total - Pacific Islander, non-Hispanic"
227.raceethnicity,"White, nobn-Hispanic","White, non-Hispanic"
295.sexraceethnicity,"Total - Female, Americaen Indian/Alaska Native, non-Hispanic","Total - Female, American Indian/Alaska Native, non-Hispanic"
291.sexraceethnicity,"Total - Female, American Inidan/Alaska Native, non-Hispanic","Total - Female, American Indian/Alaska Native, non-Hispanic"
152.raceethnicity,"Black, onn-Hispanic ","Black, non-Hispanic "
275.sex,Feale,Female
211.sexraceethnicity,"Total - Male, Two or more races non-Hispanic","Total - Male, Two or more races, non-Hispanic"
71.sex,Fmeale,Female
295.sex,Feamle,Female
177.sexraceethnicity,"Total - Male, Asian, non-Hispnic","Total - Male, Asian, non-Hispanic"
141.sex,Mae,Male
73.raceethnicity,Hipsanic,Hispanic
236.noteonpercent,Data nto available.,Data not available.
23.sexraceethnicity,Toal - Male,Total - Male
269.sex,Femlae,Female
48.sexraceethnicity,"Total - White, non-Hisapnic","Total - White, non-Hispanic"
67.noteonpercent,Datan ot available.,Data not available.
152.sexraceethnicity,"Total - Male, Black, non-Hispdanic ","Total - Male, Black, non-Hispanic "
31.noteonpercent,Data not availabl.,Data not available.
70.sex,Femalze,Female
143.sexraceethnicity,"Total - Matle, White, non-Hispanic","Total - Male, White, non-Hispanic"
226.noteonpercent,Data not avaialble.,Data not available.
122.noteonpercent,Datanot available.,Data not available.
137.sexraceethnicity,"Ttal - Male, White, non-Hispanic","Total - Male, White, non-Hispanic"
269.noteonpercent,Data not availble.,Data not available.
28.sexraceethnicity,Total k- Female,Total - Female
81.sexraceethnicity,"Total - Asian,n non-Hispanic","Total - Asian, non-Hispanic"
49.noteonpercent,Dkata not available.,Data not available.
120.raceethnicity,"Two or more races, non-Hispnic","Two or more races, non-Hispanic"
7.raceethnicity,"Amberican Indian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
237.sexraceethnicity,"Total - Femal,e Black, non-Hispanic ","Total - Female, Black, non-Hispanic "
55.sexraceethnicity,"Total - Black, non-ispanic ","Total - Black, non-Hispanic "
236.sex,Febmale,Female
241.sex,Femalze,Female
280.sex,Fexmale,Female
177.noteonpercent,Data not aavilable.,Data not available.
250.sex,Femlae,Female
127.noteonpercent,Data not avaiable.,Data not available.
116.raceethnicity,"AmericanI ndian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
225.sexraceethnicity,"Total - Female, White, non-Hispaic","Total - Female, White, non-Hispanic"
187.raceethnicity,"PacificI slander, non-Hispanic","Pacific Islander, non-Hispanic"
109.raceethnicity,"American Indian/Alaska Native, nn-Hispanic","American Indian/Alaska Native, non-Hispanic"
223.sexraceethnicity,"otal - Female, White, non-Hispanic","Total - Female, White, non-Hispanic"
106.sex,Femalwe,Female
196.raceethnicity,"American Indian/Alaska Native, non-Hipsanic","American Indian/Alaska Native, non-Hispanic"
122.raceethnicity,"wTo or more races, non-Hispanic","Two or more races, non-Hispanic"
245.raceethnicity,"Black, nhon-Hispanic ","Black, non-Hispanic "
24.noteonpercent,Data not availabe.,Data not available.
141.sexraceethnicity,"Total  -Male, White, non-Hispanic","Total - Male, White, non-Hispanic"
83.sexraceethnicity,"otal - Asian, non-Hispanic","Total - Asian, non-Hispanic"
115.noteonpercent,Data jnot available.,Data not available.
35.raceethnicity,"Awmerican Indian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
218.sex,Maole,Male
275.sexraceethnicity,"Total - Female, Pacific sIlander, non-Hispanic","Total - Female, Pacific Islander, non-Hispanic"
148.raceethnicity,"Bwlack, non-Hispanic ","Black, non-Hispanic "
66.noteonpercent,Data not availaeble.,Data not available.
153.raceethnicity,"Black, non-Hsipanic ","Black, non-Hispanic "
95.sexraceethnicity,"Totdal - Pacific Islander, non-Hispanic","Total - Pacific Islander, non-Hispanic"
134.raceethnicity,"Whie, non-Hispanic","White, non-Hispanic"
146.raceethnicity,"Black ,non-Hispanic ","Black, non-Hispanic "
74.noteonpercent,Daeta not available.,Data not available.
169.noteonpercent,Data not vailable.,Data not available.
255.noteonpercent,Datha not available.,Data not available.
14.sex,Mael,Male
60.sex,Fmale,Female
11.noteonpercent,ata not available.,Data not available.
192.noteonpercent,Data not aviailable.,Data not available.
77.raceethnicity,Hnispanic,Hispanic
303.sexraceethnicity,"Total - Female, Two or more races, non-Hisanic","Total - Female, Two or more races, non-Hispanic"
191.sexraceethnicity,"Total - Male, Pacific Islander, non-Hspanic","Total - Male, Pacific Islander, non-Hispanic"
217.noteonpercent,Dat anot available.,Data not available.
126.noteonpercent,Daa not available.,Data not available.
212.noteonpercent,Daa not available.,Data not available.
288.sexraceethnicity,"Total - Female, American Indian/Alaska Nxative, non-Hispanic","Total - Female, American Indian/Alaska Native, non-Hispanic"
