65.sexraceethnicity,"Total - Black, non-Hsipanic ","Total - Black, non-Hispanic "
168.sex,Mvale,Male
48.noteonpercent,Reporting standards not emt.,Reporting standards not met.
273.raceethnicity,"Asina, non-Hispanic","Asian, non-Hispanic"
209.sexraceethnicity,"Total - Male,T wo or more races, non-Hispanic","Total - Male, Two or more races, non-Hispanic"
207.raceethnicity,"American Indian/Alaska Native, nons-Hispanic","American Indian/Alaska Native, non-Hispanic"
170.raceethnicity,"Asian, non-Hispaic","Asian, non-Hispanic"
286.sexraceethnicity,"Ttal - Female, Pacific Islander, non-Hispanic","Total - Female, Pacific Islander, non-Hispanic"
158.noteonpercent,Reporting standardsnot met.,Reporting standards not met.
216.raceethnicity,"Two or more races ,non-Hispanic","Two or more races, non-Hispanic"
232.raceethnicity,"White, non-Hspanic","White, non-Hispanic"
191.raceethnicity,"Pacific Islander, non-ispanic","Pacific Islander, non-Hispanic"
293.noteonpercent,Reporting standards no met.,Reporting standards not met.
275.sex,Femael,Female
75.noteonpercent,Reportings tandards not met.,Reporting standards not met.
93.sex,Fwemale,Female
172.sexraceethnicity,"otal - Male, Asian, non-Hispanic","Total - Male, Asian, non-Hispanic"
214.raceethnicity,"wTo or more races, non-Hispanic","Two or more races, non-Hispanic"
205.sex,ale,Male
227.raceethnicity,"White, non-Hispaic","White, non-Hispanic"
56.noteonpercent,Reporting standards not me.t,Reporting standards not met.
23.sexraceethnicity,Toal - Male,Total - Male
53.noteonpercent,Reporting standards not me.t,Reporting standards not met.
77.sex,eFmale,Female
176.noteonpercent,Reporting standards not metz.,Reporting standards not met.
266.sex,Fekmale,Female
74.sexraceethnicity,Total - Hisipanic,Total - Hispanic
72.raceethnicity,Hisppanic,Hispanic
19.sex,Mae,Male
304.raceethnicity,"Tw or more races, non-Hispanic","Two or more races, non-Hispanic"
294.sexraceethnicity,"Total - Female, American Indian/Alaska Native, nn-Hispanic","Total - Female, American Indian/Alaska Native, non-Hispanic"
71.raceethnicity,iHspanic,Hispanic
220.sex,Mae,Male
65.noteonpercent,Reporting standadrs not met.,Reporting standards not met.
170.sex,Madle,Male
104.sexraceethnicity,"Total- Pacific Islander, non-Hispanic","Total - Pacific Islander, non-Hispanic"
55.sexraceethnicity,"Total - Black, non-bHispanic ","Total - Black, non-Hispanic "
86.sexraceethnicity,"Total l- Asian, non-Hispanic","Total - Asian, non-Hispanic"
300.raceethnicity,"Two or more races, non-Hisxpanic","Two or more races, non-Hispanic"
91.raceethnicity,"Azsian, non-Hispanic","Asian, non-Hispanic"
239.raceethnicity,"Black, non-Hispanica ","Black, non-Hispanic "
296.noteonpercent,Reporting standajrds not met.,Reporting standards not met.
303.sexraceethnicity,"Total - Female, Two or more races, non-Hispanci","Total - Female, Two or more races, non-Hispanic"
138.noteonpercent,eRporting standards not met.,Reporting standards not met.
215.noteonpercent,Reporting sandards not met.,Reporting standards not met.
167.raceethnicity,Hispanc,Hispanic
215.sex,Mae,Male
212.raceethnicity,"uTwo or more races, non-Hispanic","Two or more races, non-Hispanic"
275.sexraceethnicity,"Total - Female, Pacific Islander, on-Hispanic","Total - Female, Pacific Islander, non-Hispanic"
306.noteonpercent,Reproting standards not met.,Reporting standards not met.
295.raceethnicity,"American Indian/Alaska Native, non-Hispaznic","American Indian/Alaska Native, non-Hispanic"
287.sexraceethnicity,"Total - Female, American Indian/Alaska Natve, non-Hispanic","Total - Female, American Indian/Alaska Native, non-Hispanic"
47.noteonpercent,Reporting standards nt met.,Reporting standards not met.
124.sexraceethnicity,"Total - Two orh more races, non-Hispanic","Total - Two or more races, non-Hispanic"
159.sexraceethnicity,"Total v- Male, Hispanic","Total - Male, Hispanic"
79.noteonpercent,Reporting standards not meet.,Reporting standards not met.
45.sexraceethnicity,"Total - White, non-Hsipanic","Total - White, non-Hispanic"
119.raceethnicity,"Two or more races, nonx-Hispanic","Two or more races, non-Hispanic"
49.sex,Femae,Female
69.sexraceethnicity,Total -H ispanic,Total - Hispanic
260.raceethnicity,uHispanic,Hispanic
207.sex,Mael,Male
264.sex,Feamle,Female
213.sex,mMale,Male
181.sexraceethnicity,"Total - Male, Asian, non-Hipsanic","Total - Male, Asian, non-Hispanic"
209.raceethnicity,"Two or more radces, non-Hispanic","Two or more races, non-Hispanic"
98.noteonpercent,Reportingstandards not met.,Reporting standards not met.
127.sex,Feamle,Female
297.sexraceethnicity,"Total - Female, Americna Indian/Alaska Native, non-Hispanic","Total - Female, American Indian/Alaska Native, non-Hispanic"
49.raceethnicity,"White, non-Hspanic","White, non-Hispanic"
5.sex,eFmale,Female
232.sex,Fmale,Female
74.sex,eFmale,Female
122.noteonpercent,Reporting standarsd not met.,Reporting standards not met.
146.raceethnicity,"Black, non-Hispnaic ","Black, non-Hispanic "
219.sex,Mae,Male
63.raceethnicity,"lack, non-Hispanic ","Black, non-Hispanic "
186.sexraceethnicity,"Total - Male, Pacific Islander, nonf-Hispanic","Total - Male, Pacific Islander, non-Hispanic"
146.sexraceethnicity,"Total - Male, Black, non-Hispnaic ","Total - Male, Black, non-Hispanic "
119.noteonpercent,Data not avarilable.,Data not available.
156.sex,Mlae,Male
9.raceethnicity,"American Indian/Alaqska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
298.sex,emale,Female
105.raceethnicity,"American Indian/Alaska Native, non-Hispnic","American Indian/Alaska Native, non-Hispanic"
216.sex,Mael,Male
90.noteonpercent,Reporting standardbs not met.,Reporting standards not met.
274.sexraceethnicity,"Total - Female, Pacdific Islander, non-Hispanic","Total - Female, Pacific Islander, non-Hispanic"
185.raceethnicity,"Pacific Islnder, non-Hispanic","Pacific Islander, non-Hispanic"
58.sex,emale,Female
280.noteonpercent,Reporting pstandards not met.,Reporting standards not met.
250.sex,Femalie,Female
306.sex,emale,Female
290.sexraceethnicity,"Total - Female, Amrican Indian/Alaska Native, non-Hispanic","Total - Female, American Indian/Alaska Native, non-Hispanic"
140.noteonpercent,Reporting standards nnot met.,Reporting standards not met.
270.sexraceethnicity,"Total - emale, Asian, non-Hispanic","Total - Female, Asian, non-Hispanic"
162.noteonpercent,Reporting standards not emt.,Reporting standards not met.
237.sexraceethnicity,"Ttal - Female, Black, non-Hispanic ","Total - Female, Black, non-Hispanic "
240.raceethnicity,"Black, non-Hispangic ","Black, non-Hispanic "
179.sex,Malae,Male
146.noteonpercent,Reporxting standards not met.,Reporting standards not met.
62.noteonpercent,Reporting standads not met.,Reporting standards not met.
87.sex,eFmale,Female
273.sex,Femalle,Female
111.sexraceethnicity,"Total - Ameriucan Indian/Alaska Native, non-Hispanic","Total - American Indian/Alaska Native, non-Hispanic"
55.noteonpercent,Reporting stanfdards not met.,Reporting standards not met.
48.sexraceethnicity,"Total -W hite, non-Hispanic","Total - White, non-Hispanic"
288.raceethnicity,"American Indian/Alaska Native,n on-Hispanic","American Indian/Alaska Native, non-Hispanic"
275.noteonpercent,Data nost available.,Data not available.
121.sexraceethnicity,"Ttal - Two or more races, non-Hispanic","Total - Two or more races, non-Hispanic"
141.noteonpercent,Reportin standards not met.,Reporting standards not met.
208.raceethnicity,"American Indian/Alaska Natvie, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
4.sexraceethnicity,Tqotal ,Total 
115.noteonpercent,Reporitng standards not met.,Reporting standards not met.
32.noteonpercent,Reporting standajrds not met.,Reporting standards not met.
54.raceethnicity,"Black, on-Hispanic ","Black, non-Hispanic "
163.noteonpercent,Reporting standards npot met.,Reporting standards not met.
89.noteonpercent,Repotring standards not met.,Reporting standards not met.
148.noteonpercent,Reportin gstandards not met.,Reporting standards not met.
166.sexraceethnicity,"Total -M ale, Hispanic","Total - Male, Hispanic"
228.sexraceethnicity,"Total - emale, White, non-Hispanic","Total - Female, White, non-Hispanic"
14.sexraceethnicity,Tota l- Male,Total - Male
255.noteonpercent,Reporting standarsd not met.,Reporting standards not met.
31.sex,Femmale,Female
236.raceethnicity,"Black, non-Hispanc ","Black, non-Hispanic "
4.sex,eFmale,Female
171.noteonpercent,Reporting standards no tmet.,Reporting standards not met.
145.sexraceethnicity,"Total - Male, Black, nonHispanic ","Total - Male, Black, non-Hispanic "
131.noteonpercent,Reporting standardsn ot met.,Reporting standards not met.
159.raceethnicity,Hispanci,Hispanic
96.noteonpercent,Repotrting standards not met.,Reporting standards not met.
180.noteonpercent,Reporting standards not metz.,Reporting standards not met.
199.sexraceethnicity,"Total - Male, American Indian/Alaska Native,b non-Hispanic","Total - Male, American Indian/Alaska Native, non-Hispanic"
124.sex,eFmale,Female
125.sex,Femle,Female
221.raceethnicity,"Two or more races, non-Hipanic","Two or more races, non-Hispanic"
271.raceethnicity,"Asian, non-Hispaniic","Asian, non-Hispanic"
202.sexraceethnicity,"Total - Mael, American Indian/Alaska Native, non-Hispanic","Total - Male, American Indian/Alaska Native, non-Hispanic"
108.sex,emale,Female
164.sexraceethnicity,"Total  Male, Hispanic","Total - Male, Hispanic"
43.sexraceethnicity,"Total - White, nonHispanic","Total - White, non-Hispanic"
101.sex,dFemale,Female
306.raceethnicity,"Two or more races, nonHispanic","Two or more races, non-Hispanic"
161.sex,aMle,Male
3.sex,Feumale,Female
150.sexraceethnicity,"Total - Male, Black, non-Hispani c","Total - Male, Black, non-Hispanic "
57.raceethnicity,Black non-Hispanic ,"Black, non-Hispanic "
276.sex,Femae,Female
