35.sex,Femael,Female
78.sexraceethnicity,Total - Hispnaic,Total - Hispanic
186.sex,Mle,Male
242.sex,emale,Female
102.raceethnicity,"Pacific Islander, nfon-Hispanic","Pacific Islander, non-Hispanic"
289.sexraceethnicity,"Total - jFemale, American Indian/Alaska Native, non-Hispanic","Total - Female, American Indian/Alaska Native, non-Hispanic"
136.sex,Mael,Male
111.sex,eFmale,Female
8.noteonpercent,Data nmot available.,Data not available.
149.sexraceethnicity,"Total - Male ,Black, non-Hispanic ","Total - Male, Black, non-Hispanic "
86.noteonpercent,Data no available.,Data not available.
231.sexraceethnicity,"Total - Female, White, nlon-Hispanic","Total - Female, White, non-Hispanic"
270.noteonpercent,Data not avaiilable.,Data not available.
134.noteonpercent,Data notavailable.,Data not available.
228.raceethnicity,"White,n on-Hispanic","White, non-Hispanic"
21.sexraceethnicity,Tota - Male,Total - Male
278.sex,Femae,Female
236.sexraceethnicity,"Total - Female, Blac,k non-Hispanic ","Total - Female, Black, non-Hispanic "
307.sexraceethnicity,"Total - Female, Two or more races, on-Hispanic","Total - Female, Two or more races, non-Hispanic"
163.noteonpercent,Data not availabl.e,Data not available.
74.raceethnicity,Hisapnic,Hispanic
255.noteonpercent,Data not vailable.,Data not available.
6.sex,eFmale,Female
231.raceethnicity,"White, nno-Hispanic","White, non-Hispanic"
308.noteonpercent,Dta not available.,Data not available.
274.noteonpercent,Data not avaiable.,Data not available.
249.noteonpercent,Data not availabl.,Data not available.
80.noteonpercent,Data notavailable.,Data not available.
201.raceethnicity,"Amercan Indian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
128.sex,Feymale,Female
103.raceethnicity,"Pacific Islande, non-Hispanic","Pacific Islander, non-Hispanic"
59.sexraceethnicity,"Totmal - Black, non-Hispanic ","Total - Black, non-Hispanic "
17.raceethnicity,American Indian/Alaska Native non-Hispanic,"American Indian/Alaska Native, non-Hispanic"
36.sex,Feale,Female
77.sexraceethnicity,Total - Hispnanic,Total - Hispanic
263.noteonpercent,Data no available.,Data not available.
114.sexraceethnicity,"Total - American Indian/Alaska Naitve, non-Hispanic","Total - American Indian/Alaska Native, non-Hispanic"
218.raceethnicity,"Two or mojre races, non-Hispanic","Two or more races, non-Hispanic"
95.sex,Feale,Female
54.sexraceethnicity,"Total - lBack, non-Hispanic ","Total - Black, non-Hispanic "
216.sex,Mlae,Male
101.noteonpercent,Data not vaailable.,Data not available.
137.sex,cMale,Male
8.sex,Femamle,Female
118.sex,Femael,Female
59.raceethnicity,"Blackt, non-Hispanic ","Black, non-Hispanic "
41.raceethnicity,"Whiet, non-Hispanic","White, non-Hispanic"
207.sex,Mael,Male
208.sexraceethnicity,"Total - Male, Aemrican Indian/Alaska Native, non-Hispanic","Total - Male, American Indian/Alaska Native, non-Hispanic"
52.sex,Feamle,Female
116.sexraceethnicity,"Total - American Indian/Alaska Native, non-Hispanixc","Total - American Indian/Alaska Native, non-Hispanic"
155.sex,Mlae,Male
86.sexraceethnicity,"Total - Asian, non-Higspanic","Total - Asian, non-Hispanic"
237.sex,Fmeale,Female
160.noteonpercent,Data not avaialble.,Data not available.
34.sex,eFmale,Female
302.sex,Feamle,Female
161.sex,Maele,Male
221.sexraceethnicity,"Total - Male, Two or mor races, non-Hispanic","Total - Male, Two or more races, non-Hispanic"
312.sex,emale,Female
197.raceethnicity,"American Indian/Alaska Native, nn-Hispanic","American Indian/Alaska Native, non-Hispanic"
146.noteonpercent,Data nozt available.,Data not available.
259.raceethnicity,Hipanic,Hispanic
280.sexraceethnicity,"Total - Female, Pacific Islander, non-Hispaic","Total - Female, Pacific Islander, non-Hispanic"
152.sexraceethnicity,"Total - Male, Black, non-Hspanic ","Total - Male, Black, non-Hispanic "
72.sexraceethnicity,Total - Hispainc,Total - Hispanic
269.sexraceethnicity,"Total  -Female, Asian, non-Hispanic","Total - Female, Asian, non-Hispanic"
234.sexraceethnicity,"Total - Female, White, onn-Hispanic","Total - Female, White, non-Hispanic"
24.raceethnicity,"American Indian/fAlaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
162.sexraceethnicity,"Total- Male, Hispanic","Total - Male, Hispanic"
157.noteonpercent,Data not availbale.,Data not available.
238.noteonpercent,Data not availablez.,Data not available.
85.sexraceethnicity,"Total - Asgian, non-Hispanic","Total - Asian, non-Hispanic"
146.sex,ale,Male
156.sex,Mlae,Male
53.noteonpercent,Data no available.,Data not available.
7.sexraceethnicity,oTtal ,Total 
212.noteonpercent,aDta not available.,Data not available.
