county,statevalue,fips(long),datevalue,lat(double precision),lon(double precision),cases(long),deaths(long),statecases(long),statedeaths(long),newcases(long),newdeaths(long),newstatecases(long),newstatedeaths(long)
Los Angeles,California,4757,08/27/2021 12:00:00 AM,34.30828379,-118.2282411,1407317,25284,4360789,65873,1930,21,14660,59
Los Angeles,California,6037,08/28/2021 12:00:00 AM,34.30828379,-118.2282411,1407317,25284,4360789,65873,0,0,0,0
Los Angeles,California,6037,08/30/2021 12:00:00 AM,34.30828379,-118.2282411,1414854,25401,4405324,66301,2475,35,10613,119
Los Angeles,alifornia,6037,08/31/2021 12:00:00 AM,34.30828379,-118.2282411,1414854,25401,4405324,66301,0,0,0,0
Los Angeles,alifornia,6037,09/01/2021 12:00:00 AM,34.30828379,-118.2282411,1419030,25454,4418368,66470,2111,20,6798,87
os Angeles,California,6037,09/02/2021 12:00:00 AM,34.30828379,-136.3587004512152,1419030,25454,4418368,66470,0,0,0,0
Los Angeles,California,6037,09/03/2021 12:00:00 AM,34.30828379,-118.2282411,1421616,25477,4435277,66540,1056,12,11581,48
Los Angeles,California,6037,09/04/2021 12:00:00 AM,34.30828379,-118.2282411,1423620,25514,4445862,66651,2004,37,10585,111
Los Angeles,California,8181,09/05/2021 12:00:00 AM,34.30828379,-118.2282411,1423620,25533,4451347,66791,0,19,5485,140
Los Ageles,California,8807,09/06/2021 12:00:00 AM,18.23306022920128,-118.2282411,1423620,25533,4451347,66791,0,0,0,0
Lo sAngeles,California,6037,09/07/2021 12:00:00 AM,34.30828379,-118.2282411,1427817,25611,4462876,66975,0,0,0,0
Los Angeles,California,3377,09/08/2021 12:00:00 AM,34.30828379,-118.2282411,1427817,25630,4472759,67100,0,0,4165,42
Los Angeles,California,6037,09/09/2021 12:00:00 AM,49.80342366582754,-136.29783589066858,1427817,25630,4472759,67100,0,0,0,0
Los Angeles,aClifornia,6037,09/10/2021 12:00:00 AM,37.27183268166324,-118.2282411,1433465,25688,4489563,67223,0,0,130,2
Los Angeles,Californzia,6037,09/11/2021 12:00:00 AM,18.95380941098547,-101.88547037868214,1435163,25713,4497470,67298,0,0,0,0
Los Angeles,California,6517,09/12/201 12:00:00 AM,34.30828379,-159.9661034657464,1437073,25767,4608351,67645,0,19,10768,163
Los Angenles,California,6037,09/13/2021 12:00:00 AM,37.92672773999052,-138.4355825389928,1439011,25775,4610847,67672,0,0,0,4
Los Angeles,California,6037,09/14/2021 12:00:00 AM,43.3198444177872,-118.2282411,1440721,25799,4620663,67781,0,0,0,0
Los Angeqles,California,6037,09/15/2021 12:00:00 AM,34.30828379,-64.02511676410386,1442808,25828,4629254,67880,0,0,0,0
Los Angeles,California,6037,09/162/021 12:00:00 AM,27.305885819040903,-118.2282411,1444127,25849,4636268,67966,0,0,0,0
