115.sex,Femael,Female
268.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CfV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
280.sex,Femalwe,Female
268.sex,Fmeale,Female
86.characteristic,"Total - Aisan, non-Hispanic","Total - Asian, non-Hispanic"
233.noteoncount,Reporting standards not metw. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
174.sex,ale,Male
161.characteristic,"Toatl - Male, Hispanic","Total - Male, Hispanic"
46.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is5 0 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
164.raceethnicity,Hispaic,Hispanic
202.noteonearnings,eRporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
207.noteonearnings,Reporting standards not met. Either there are too few cases fr a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
56.sex,Femle,Female
253.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV )is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
144.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent cor greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
310.characteristic,"Total - Female, Two or mroe races, non-Hispanic","Total - Female, Two or more races, non-Hispanic"
300.characteristic,"Tota - Female, Two or more races, non-Hispanic","Total - Female, Two or more races, non-Hispanic"
222.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficiefnt of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
36.raceethnicity,"American Indian/Alaska Naitve, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
304.characteristic,"Total - Female, Two or more races, non-Hispanci","Total - Female, Two or more races, non-Hispanic"
288.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficoient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
196.sex,lMale,Male
66.raceethnicity,Hipanic,Hispanic
152.raceethnicity,"Black, nno-Hispanic ","Black, non-Hispanic "
97.raceethnicity,"Pacifc Islander, non-Hispanic","Pacific Islander, non-Hispanic"
54.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variationo (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
