39.characteristic,"Total - Black, non-Hispnaic ","Total - Black, non-Hispanic "
160.raceethnicity,"White, non-Hisanic","White, non-Hispanic"
146.noteonscore,Datax not available.,Data not available.
8.noteonscore,aDta not available.,Data not available.
35.raceethnicity,"White, non-Hispnic","White, non-Hispanic"
24.sex,cFemale,Female
172.noteonscore,Data not availabel.,Data not available.
78.characteristic,"Total - American Indian/Alaska Natie, non-Hispanic","Total - American Indian/Alaska Native, non-Hispanic"
12.characteristic,Totahl - Male,Total - Male
146.characteristic,"Ttal - Male, Two or more races, non-Hispanic","Total - Male, Two or more races, non-Hispanic"
18.characteristic,otal - Male,Total - Male
98.noteonscore,Dtaa not available.,Data not available.
213.characteristic,"Total - Female, Two or more races, non-Hispaniuc","Total - Female, Two or more races, non-Hispanic"
22.raceethnicity,"American Indianm/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
154.sex,Femae,Female
4.sex,Feamle,Female
119.raceethnicity,"Asian, no-Hispanic","Asian, non-Hispanic"
30.characteristic,"Totdal - White, non-Hispanic","Total - White, non-Hispanic"
176.noteonscore,Data not avialable.,Data not available.
85.noteonscore,Data not avilable.,Data not available.
7.noteonscore,Data not availablea.,Data not available.
129.characteristic,"Totla - Male, Pacific Islander, non-Hispanic","Total - Male, Pacific Islander, non-Hispanic"
28.sex,Feamle,Female
78.sex,Fmeale,Female
79.characteristic,"Total - American Indian/Alaska Native, nbon-Hispanic","Total - American Indian/Alaska Native, non-Hispanic"
149.characteristic,"Total - Male, Twbo or more races, non-Hispanic","Total - Male, Two or more races, non-Hispanic"
65.characteristic,"Total - Pacific Islander, nn-Hispanic","Total - Pacific Islander, non-Hispanic"
168.noteonscore,Data not avaiable.,Data not available.
177.noteonscore,Data not availabl.e,Data not available.
10.characteristic,oTtal - Male,Total - Male
162.noteonscore,Data not availbale.,Data not available.
165.characteristic,"Total - Female, Black,non-Hispanic ","Total - Female, Black, non-Hispanic "
47.sex,Feamle,Female
211.characteristic,"Total - Female, Two or more race, non-Hispanic","Total - Female, Two or more races, non-Hispanic"
23.characteristic,Total  Female,Total - Female
108.sex,ale,Male
176.sex,vFemale,Female
32.sex,Fdemale,Female
181.sex,Femaele,Female
107.characteristic,"Total - Male, Black, no-Hispanic ","Total - Male, Black, non-Hispanic "
153.noteonscore,Data not availableh.,Data not available.
71.noteonscore,Danta not available.,Data not available.
98.sex,Mae,Male
199.characteristic,"Total - Female, American Indian/Alska Native, non-Hispanic","Total - Female, American Indian/Alaska Native, non-Hispanic"
206.noteonscore,Data not avaixlable.,Data not available.
1.raceethnicity,"American Indian/AlaskaNative, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
115.characteristic,Total - Male Hispanic,"Total - Male, Hispanic"
142.noteonscore,Data not availabel.,Data not available.
106.sex,ale,Male
58.noteonscore,Data not available. Data for 2005 and 2009 include Patcific Islanders.,Data not available. Data for 2005 and 2009 include Pacific Islanders.
200.noteonscore,Data not availabe.,Data not available.
174.raceethnicity,Hisopanic,Hispanic
202.sex,eFmale,Female
147.noteonscore,Data not asvailable.,Data not available.
50.sex,Femyale,Female
101.sex,aMle,Male
131.characteristic,"Total - Male, Pacific Islandre, non-Hispanic","Total - Male, Pacific Islander, non-Hispanic"
24.noteonscore,Datan ot available.,Data not available.
178.characteristic,"Total  -Female, Hispanic","Total - Female, Hispanic"
95.characteristic,"oTtal - Male, White, non-Hispanic","Total - Male, White, non-Hispanic"
199.raceethnicity,"American Indian/Alaska Native, on-Hispanic","American Indian/Alaska Native, non-Hispanic"
61.noteonscore,aDta not available. Data for 2005 and 2009 include Pacific Islanders.,Data not available. Data for 2005 and 2009 include Pacific Islanders.
51.noteonscore,Data not vaailable.,Data not available.
66.noteonscore,Data not vailable.,Data not available.
151.sex,Mle,Male
65.noteonscore,Datak not available.,Data not available.
91.sex,Mle,Male
159.characteristic,"Total - Female, White,n on-Hispanic","Total - Female, White, non-Hispanic"
202.characteristic,"Total - Female, American Indian/Alaska Nativne, non-Hispanic","Total - Female, American Indian/Alaska Native, non-Hispanic"
91.raceethnicity,"White, non-iHispanic","White, non-Hispanic"
66.sex,Femsale,Female
94.raceethnicity,"White,b non-Hispanic","White, non-Hispanic"
103.raceethnicity,"Black, non-Hiispanic ","Black, non-Hispanic "
103.noteonscore,Datta not available.,Data not available.
34.characteristic,"Totl - White, non-Hispanic","Total - White, non-Hispanic"
2.characteristic,Toteal ,Total 
52.sex,Femlae,Female
25.noteonscore,aDta not available.,Data not available.
55.characteristic,"Total - Asian, non-Hipanic","Total - Asian, non-Hispanic"
132.sex,Mael,Male
176.characteristic,"Total - Femle, Hispanic","Total - Female, Hispanic"
70.raceethnicity,"Paicfic Islander, non-Hispanic","Pacific Islander, non-Hispanic"
208.raceethnicity,"Two or mre races, non-Hispanic","Two or more races, non-Hispanic"
137.sex,Mfale,Male
81.raceethnicity,"AmericanIndian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
64.sex,Femle,Female
169.sex,Feamle,Female
21.raceethnicity,"American Indian/Alaska Natvie, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
216.noteonscore,Daa not available.,Data not available.
13.raceethnicity,"American Indian/Alasak Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
138.raceethnicity,"qAmerican Indian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
182.noteonscore,Data not available. Data for 2005 and 2009 include Pacific Isvlanders.,Data not available. Data for 2005 and 2009 include Pacific Islanders.
6.noteonscore,Data not avaiable.,Data not available.
26.characteristic,Total -Female,Total - Female
164.sex,Femael,Female
182.raceethnicity,"Asian, on-Hispanic","Asian, non-Hispanic"
126.noteonscore,Data fr 2005 and 2009 include Pacific Islanders.,Data for 2005 and 2009 include Pacific Islanders.
104.noteonscore,Data not avialable.,Data not available.
215.noteonscore,Data ont available.,Data not available.
51.characteristic,Total -H ispanic,Total - Hispanic
92.raceethnicity,"White, non-Hispanci","White, non-Hispanic"
