sexraceethnicity,sex,raceethnicity,yearvalue(long),score(double precision),standarderroronscore(double precision),noteonscore
Toatl,Female,"American Indian/Alaska Native, non-Hispanic",2000,167.0,5.0,Data not available.
Tota l,emale,"American Indian/Alaska Native, non-Hispanic",2001,169.0,0.6,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2002,187.0,0.8,Data ot available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2003,184.0,0.6,Data notavailable.
Totzal,Female,"American Indian/Alaskab Native, non-Hispanic",2004,169.0,0.6,Data not available.
Total,Fpemale,"American Indian/Alaska Native, non-Hispanic",2005,190.0,0.5,Data not available.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2006,169.0,0.6,Data not avalable.
Total,Female,"American Indian/Alnaska Native, non-Hispanic",2007,190.0,0.6,Daat not available.
Totla,Female,"American Indian/Alaska Native, non-Hispanic",2008,169.0,0.6,Data not available.
otal,Female,"American Indian/Alaska Native, non-Hispanic",2009,189.0,0.7,Data not availabl.e
Tota l,Female,"mAmerican Indian/Alaska Native, non-Hispanic",2010,169.0,0.6,Data not vaailable.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2011,186.0,0.5,Data not available.
Total,Feale,"American Indian/Alaska Native, non-Hispanic",2012,169.0,0.6,Dat not available.
Ttoal,aFemale,"American Indian/Alaska Native, non-Hispanic",2013,184.0,0.6,Data not available.
Toatl - Male,Male,"American Indian/Alaska Native, non-Hispanic",2000,164.0,5.6,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2001,169.0,0.6,Data not availablpe.
Total - Male,Mael,"Americacn Indian/Alaska Native, non-Hispanic",2002,186.0,0.9,Data not availabled.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2003,183.0,0.8,Data not available.
Total- Male,ale,"American Indian/Alaska Native, non-Hispanic",2004,169.0,0.6,Data not available.
Tota - Male,aMle,"Acmerican Indian/Alaska Native, non-Hispanic",2005,189.0,0.7,Data not available.
Toatl - Male,Mlae,"American Indian/Alaska Native, non-Hispanic",2006,169.0,0.6,Data not avtailable.
Total Male,Mle,"American Indian/Alaska Native, non-Hispanic",2007,190.0,0.6,ata not available.
otal - Male,Male,"American Indian/Alaska Native, non-Hispanic",2008,169.0,0.6,Data not available.
Total -Male,Mael,"American Indian/Alaska Native, nonH-ispanic",2009,189.0,0.8,Data not avilable.
Total -Male,Mfale,"American Indian/Alaska Native, non-Hispanic",2010,169.0,0.6,Data no tavailable.
Total - Male,ale,"American Indian/Alaska Native, non-Hispanic",2011,186.0,0.6,Daa not available.
Total - Male,Male,"American Indian/Alska Native, non-Hispanic",2012,169.0,0.6,Data not available.
