21.noteonscore,Data not availabel.,Data not available.
60.sexandraceethnicity,"Total a- Black, non-Hispanic ","Total - Black, non-Hispanic "
17.sex,aMle,Male
161.sex,ale,Male
332.raceethnicity,"Two or more races, no-Hispanic","Two or more races, non-Hispanic"
97.raceethnicity,"Asian, non-iHspanic","Asian, non-Hispanic"
124.sexandraceethnicity,"Total - Amreican Indian/Alaska Native, non-Hispanic","Total - American Indian/Alaska Native, non-Hispanic"
67.noteonscore,Data no available.,Data not available.
53.sex,Femlae,Female
199.noteonscore,Data not availabl.e,Data not available.
120.raceethnicity,"American Indian/Alaska Native, non-Hispavnic","American Indian/Alaska Native, non-Hispanic"
85.noteonscore,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 prcent or greater. Data for 2000 through 2009 include Pacific Islanders.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 through 2009 include Pacific Islanders.
168.sex,Malpe,Male
228.sexandraceethnicity,"Total - Male, Two r more races, non-Hispanic","Total - Male, Two or more races, non-Hispanic"
212.raceethnicity,"American Indian/Alaska Naive, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
238.sex,aMle,Male
166.sex,Madle,Male
263.sexandraceethnicity,"Total - Female, Black, non-Hsipanic ","Total - Female, Black, non-Hispanic "
135.noteonscore,Data not avaiclable.,Data not available.
137.noteonscore,Data nt available.,Data not available.
160.raceethnicity,"Black, nno-Hispanic ","Black, non-Hispanic "
60.noteonscore,Data naot available.,Data not available.
148.noteonscore,Daat not available.,Data not available.
175.raceethnicity,Hsipanic,Hispanic
113.sexandraceethnicity,"Total - Ameqrican Indian/Alaska Native, non-Hispanic","Total - American Indian/Alaska Native, non-Hispanic"
171.sex,Mle,Male
112.raceethnicity,"Paciifc Islander, non-Hispanic","Pacific Islander, non-Hispanic"
299.raceethnicity,"aPcific Islander, non-Hispanic","Pacific Islander, non-Hispanic"
258.noteonscore,Data not availabl.,Data not available.
56.noteonscore,Data not avilable.,Data not available.
324.sex,Femle,Female
75.noteonscore,Data not mavailable.,Data not available.
327.raceethnicity,"Two or more races, non-Hispanilc","Two or more races, non-Hispanic"
289.sexandraceethnicity,"Total - Female, Asian, non-Hispainc","Total - Female, Asian, non-Hispanic"
230.sexandraceethnicity,"Total-  Male, Two or more races, non-Hispanic","Total - Male, Two or more races, non-Hispanic"
266.sexandraceethnicity,"Total - Female, Black, non-Hispnaic ","Total - Female, Black, non-Hispanic "
160.noteonscore,Data not avaliable.,Data not available.
158.sexandraceethnicity,"Total - Male, Black, non-Hspanic ","Total - Male, Black, non-Hispanic "
293.sex,emale,Female
265.raceethnicity,"Bylack, non-Hispanic ","Black, non-Hispanic "
135.raceethnicity,"Two or more races, non-Hispanc","Two or more races, non-Hispanic"
300.sexandraceethnicity,"Total - Female, Pacifuic Islander, non-Hispanic","Total - Female, Pacific Islander, non-Hispanic"
308.sex,Feale,Female
276.sexandraceethnicity,"Total - Female, Hispyanic","Total - Female, Hispanic"
213.sex,aMle,Male
126.sex,Femcale,Female
282.sexandraceethnicity,"Total - Female, Asian,x non-Hispanic","Total - Female, Asian, non-Hispanic"
180.sexandraceethnicity,"Total - aMle, Hispanic","Total - Male, Hispanic"
50.sex,Femlae,Female
208.raceethnicity,"Pacific Islander, non-Hipanic","Pacific Islander, non-Hispanic"
264.noteonscore,Data no tavailable.,Data not available.
143.sex,ale,Male
197.sexandraceethnicity,"Total -k Male, Pacific Islander, non-Hispanic","Total - Male, Pacific Islander, non-Hispanic"
197.noteonscore,Data notavailable.,Data not available.
199.raceethnicity,"Pacific Islander, non-Hispanc","Pacific Islander, non-Hispanic"
128.raceethnicity,"Two or more races, nonH-ispanic","Two or more races, non-Hispanic"
