4867.locationabbr,S,US
1667.datavaluetype,Age-Standardiezd,Age-Standardized
1631.locationdesc,United Sotates,United States
7171.breakoutcategoryid,BO03,BOC03
6638.indicatorvalue,Prevalence of ideal HbA1c and fasting glucose status among US adults 2(0+); NHANES,Prevalence of ideal HbA1c and fasting glucose status among US adults (20+); NHANES
6644.yearvalue,2015-2061,2015-2016
4135.category,RiskFactors,Risk Factors
2962.breakoutcategoryid,BCO02,BOC02
1905.datavaluefootnote,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentartion Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))]
2974.breakoutid,GENr02,GEN02
246.breakout,Non-Hiespanic White,Non-Hispanic White
3781.datavaluefootnote,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Probportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))]
7059.yearvalue,200t3-2004,2003-2004
3897.yearvalue,2l011-2012,2011-2012
6279.topic,Phuysical Inactivity,Physical Inactivity
1479.datasource,NHAENS,NHANES
5872.datavaluefootnote,Statistically unstable estimates not presented [unstable by NCS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))]
6633.indicatorvalue,Prevalence of poor Cardiovascular Health among US adutls (20+); NHANES,Prevalence of poor Cardiovascular Health among US adults (20+); NHANES
6532.datavalueunit,ePrcent (%),Percent (%)
3570.topic,Heart aFilure,Heart Failure
483.breakout,oNn-Hispanic White,Non-Hispanic White
5248.datasource,HANES,NHANES
4514.rowid,NHANES~2007-2008~59~NH004~RAC0b1~Age-Standardized,NHANES~2007-2008~59~NH004~RAC01~Age-Standardized
4596.yearvalue,205-2006,2005-2006
4459.datavaluefootnotesymbol,***,~
3208.datavaluetypeid,Crudxe,Crude
5741.priorityareatwo,ACBS,ABCS
3495.yearvalue,20w17-2018,2017-2018
977.priorityareaone,illion Hearts,Million Hearts
5641.priorityareathree,HealthyP eople 2020,Healthy People 2020
3209.locationid,73,59
1211.topic,Physical Inactivithy,Physical Inactivity
652.breakout,4564,45-64
580.indicatorid,NH00l2,NH002
7004.locationid,66,59
5696.category,Risk Factojrs,Risk Factors
2677.rowid,HANES~2005-2006~59~NH066~GEN01~Age-Standardized,NHANES~2005-2006~59~NH066~GEN01~Age-Standardized
3679.category,Riks Factors,Risk Factors
3749.topic,Choelsterol Abnormalities,Cholesterol Abnormalities
86.breakout,NonH-ispanic Asian,Non-Hispanic Asian
3905.rowid,NHANES~2013-2014~59~oNH021~AGE05~Crude,NHANES~2013-2014~59~NH021~AGE05~Crude
6367.priorityareaone,Millioin Hearts,Million Hearts
6966.datavalueunit,Percent (),Percent (%)
3277.breakoutid,RAC20,RAC02
4908.priorityareaone,Millon Hearts,Million Hearts
5515.categoryid,2,C2
6330.priorityareatwo,AbBCS,ABCS
4701.topicid,T1,T11
258.yearvalue,2017-018,2017-2018
2492.datasource,NAHNES,NHANES
5398.datasource,HNANES,NHANES
847.locationid,50,59
2912.datavaluetypeid,AgeSdtz,AgeStdz
2451.locationdesc,United Staets,United States
4323.datavalueunit,Percent( %),Percent (%)
6416.indicatorvalue,Prevalence of ideal smoking status among US adults (2+); NHANES,Prevalence of ideal smoking status among US adults (20+); NHANES
306.topicid,T2,T12
183.topic,Cholesterolf Abnormalities,Cholesterol Abnormalities
3520.locationdesc,Unted States,United States
1191.datavaluefootnote,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presnetation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))]
5377.locationid,48,59
3409.datavaluetypeid,Cude,Crude
1097.categoryid,2,C2
