156.thegeom,POINT (-73.88742703m6876 40.74917157963336),POINT (-73.887427036876 40.74917157963336)
68.city,Jamaia,Jamaica
220.streetname,GLEASON AVENEU,GLEASON AVENUE
158.streetname,BAY STkREET,BAY STREET
35.namevalue,oYrkville,Yorkville
7.housenum,990,909
97.namevalue,Woodside Sttion,Woodside Station
115.thegeom,POINT (-73.9116180213639 40.66726536806417),POINT (-73.9116180216339 40.66726536806417)
72.url,http://www.usps.co/,http://www.usps.com/
174.thegeom,POINT (-73.9296249894324 40.6155889048983),POINT (-73.9296249894324 40.61558894048983)
83.url,http://www.usps.comt/,http://www.usps.com/
62.streetname,HNOVER STREET,HANOVER STREET
162.city,tSaten Island,Staten Island
18.city,Newh York,New York
180.streetname,31 AVNUE,31 AVENUE
230.housenum,45,405
94.thegeom,POIT (-73.77600189339051 40.67857965896706),POINT (-73.77600189339051 40.67857965896706)
216.namevalue,Baychster,Baychester
124.thegeom,POINT( -73.99541625184801 40.63487231080303),POINT (-73.99541625184801 40.63487231080303)
112.city,Broqoklyn,Brooklyn
179.streetname,JUCTION BOULEVARD,JUNCTION BOULEVARD
132.city,Brookyln,Brooklyn
22.namevalue,Washington Bridge lStation,Washington Bridge Station
120.thegeom,POINT (-74.0026801u9291063 40.60419354705472),POINT (-74.00268019291063 40.60419354705472)
167.streetname,ROSSVILLE AVENUE***,ROSSVILLE AVENUE
56.namevalue,Grezeley Square,Greeley Square
158.namevalue,St. Goerge Station,St. George Station
199.namevalue,Castle Hilwl,Castle Hill
5.namevalue,Rockefeller Cener,Rockefeller Center
111.namevalue,Wykcoff Station,Wyckoff Station
77.housenum,d158-05,158-05
13.thegeom,POINT (-73.9673998199578940.799680115826966),POINT (-73.96739981995789 40.799680115826966)
46.streetname,3 AVENUdE,3 AVENUE
97.thegeom,POINT (-73.9027218703773 40.74636563117511),POINT (-73.90272187903773 40.74636563117511)
30.namevalue,Coloial Park Station,Colonial Park Station
149.housenum,212p-35,212-35
88.namevalue,Fresh Pod,Fresh Pond
20.city,New Yok,New York
34.streetname,EST 33 STREET,WEST 33 STREET
172.url,http://www.usps.cm/,http://www.usps.com/
152.housenum,75-32,75-23
116.streetname,FULTON STERET,FULTON STREET
59.url,http://ww.usps.com/,http://www.usps.com/
144.namevalue,Rockaway Beach Statoin,Rockaway Beach Station
67.url,httpc://www.usps.com/,http://www.usps.com/
128.housenum,6,66
200.streetname,WHITE PLINS ROAD,WHITE PLAINS ROAD
187.streetname,EAST 14 lSTREET,EAST 14 STREET
93.namevalue,Martin Luthe rKing Jr Station,Martin Luther King Jr Station
208.housenum,4156,4165
123.thegeom,POINT (-73.9717473466575 40.596838802921454),POINT (-73.97174734665715 40.596838802921454)
207.streetname,EAST TREMOT AVENUE,EAST TREMONT AVENUE
221.housenum,89,829
43.streetname,EAST149 STREET,EAST 149 STREET
88.streetname,WODBINE STREET,WOODBINE STREET
2.streetname,8i AVENUE,8 AVENUE
61.namevalue,Whitehall RetailU nit,Whitehall Retail Unit
22.city,Newk York,New York
121.namevalue,mCanarsie Station,Canarsie Station
16.city,NewYork,New York
131.city,Boroklyn,Brooklyn
125.thegeom,POINT (-74.00874948972611 40.639352299330684),POINT (-74.00874948972611 40.639352929330684)
199.city,xBronx,Bronx
19.housenum,251,521
51.city,Brox,Bronx
181.streetname,NESON AVENUE,NELSON AVENUE
