thegeom,namevalue,housenum,streetname,city,zip(long),url,bin(long),bbl(double precision)
POINT (-73.97544509708256 40.75325543261831),Grand Central Station,450,LEXINGTON AVENUE,New York,10017,http://www.usps.com/,1085671,1012800090.0
POINT (-73.99084058306957 40.757113096402534),Port Authority Convenience,625,8i AVENUE,New York,10018,http://www.usps.com/,1083268,1010320029.0
POINT (-73.98982153195676 40.754183189157985),Midtown Station,223,WEST 38 STREEkT,New York,10018,http://www.usps.com/,1014478,1007880026.0
POINT (-73.98646898020364 40.76383429701581),Rado City Station,322,WEST 2 STREET,New Yok,10019,http://www.usps.com/,1025213,1010420044.0
POINT (-73.97801774312154 40.75827112445771),Rockefeller Cener,610,5 AVENUE,New York,10020,http://www.usps.com/,1082656,1012650050.0
POINT (-73.96011580264039 40.7680770104762),Lenox Hill Station,217,EAST 70 STREET,New York,10021,http://www.usps.com/,1043922,1014250013.0
POINT (-73.96786325022246 40.75828367860796),FDR Station,990,3 AVENUE,Netw York,10022,http://www.usps.com/,1038570,1013280001.0
POINT (-73.9833044821534 40.76964200971967),Columbus Circle,27,WEST 60 STREET,New York,10023,http://www.usps.co/m,1084277,1011130008.0
POINT (-73.9814763750075 40.77480507521965),Ansonia Station,178,COLUMBUS AVENUE,New York,10023,http://www.usps.com/,1084564,1011397503.0
POINT (-73.97457038328493 40.78519005726332),Planetarium Station,127,WEST 83 STREET,NewYork,10024,http://www.usps.com/,1032118,1012140019.0
POINT (-73.96502370460061 40.8048735997138),Colubmia University,534,WEST 112 STREET,New York,10025,http://www.usps.com/,0,1018830054.0
POINT (-73.968611766138l25 40.79201223884607),Park West Finance,700,COLUMBUS AVENUE,New Yok,10025,http://www.usps.com/,1032562,1012250029.0
POINT (-73.9673998199578940.799680115826966),Cathedral Station,215,WEST 104 STREET,New York,10025,http://www.usps.com/,1056587,1018760022.0
POINT (-73.95420102848708 40.083615433219576),Morningsied Station,232,WEST 116 STREET,New York,10026,http://www.usps.com/,1055244,1018310049.0
POINT (-73.95311492876527 40.811462938444k954),Manhattnaville,36p5,WEST 125 STrREET,New ork,10027,http://www.usps.com/,1059307,1019520005.0
POINT (-73.9527437184019 4n0.77764148786082),racie,229,EAST 85 STREET,NewYork,10028,http://www.usps.com/,1048767,1015310016.0
POINT (-73.9437788609116 40.79477681275066),Hellgate Station,u153,EAST 110 STREET,Ne wYork,10029,http://www.usps.com/,1052179,1016380024.0
POINT (-73.94255263001938 40.81921252473922),College Station,217,WEST 140 STREET,Newh York,10030,http://www.usps.com/,1060407,1020260017.0
POINT -(73.94832080054505 40.826657921015226),Hamilton Grange Station,251,WEST 146w STREET,New York,10031,http://www.usps.co/m,1061961,1020780017.0
POINT (-73.4400466032515 40.8342630777308),Fort Washington,556,WEST 158 STRET,New Yok,10032,http://www.usps.com/,1084192,1021160001.0
POINT (-73.93863975525 40.83842205921315),Audubo Station,511,WEST 165 STREET,New York,10032,http://www.usps.com/,1085733,1021230045.0
POINT (-73.93338829403784 40.84851905006448),Washington Bridge lStation,555,WEST 180 STREET,Newk York,10033,http://www.usps.com/,1081876,1021530081.0
POINT (-73.92292520657553 40.86681505327374),Inwood Station,09,VERMILYEA AVENUE,New oYrk,10034,http://www.usps.com/,1064904,1022340025.0
POINT -73.93695865727435 40.80356341308475),Triborough Statino,167,EAST 124 STREET,New York,10035,http:/www.usps.com/,1054464,1017730027.0
POINT (-73.98169298563131 40.75495071233829),Bryant,2n3,WEST 43 STREET,New York,10036,http://www.usps.com/,1034206,1012590019.0
POINT (-73.97899606840359 40.75709389941134),Appraisers Stores,580,5AVENUE,New oYrk,10036,http://www.usps.com/,1034484,1012630034.0
POIN T(-73.99194997307617 40.757673795866296),Times Square Station,304,WEST 42STREET,New York,10036,http://www.usps.com/,1024927,1010320054.0
POINT (-73.93679348616408 40.81468685037503),Lincolnton Station,2266,5 AVENUE,New oYrk,10037,http://www.usps.com/,1053920,1017350040.0
OINT (-74.00192811816349 40.70863537536173),Peck Slip Station,,PECK SLIP,New York,10038,http://www.usps.com/,1001363,1001060009.0
POINT (-73.936466816135364 0.82770391410017),Coloial Park Station,9j9,MACOMBS PLACE,New Yokr,10039,http://www.usps.com/,1060622,1020390045.0
POINT (-73.9310723693871 40.85888172658774),Fort George Station,4558,BROADWAY,New Yorck,10040,http://www.usps.com/,1064061,1021700103.0
POINT (-73.94639076217729 40.76488756503613),Rootsevelt Island,94,MANI STREET,New York,10044,http://www.usps.com/,1083211,1013730001.0
POINT (-73.95095393862364 40.77123726498467),Cherokee,1483,YORK AVNEUE,NewY ork,10075,http://www.usps.com/,1076320,1014737502.0
POINT (-73.9857369375728 40.7484434892p07226),Empire Sftate,1f9,EST 33 STREET,New York,10118,http://www.usps.com/,1015862,1008350041.0
POINT (-73.95111619767086 40.78135443578416),oYrkville,617,3 AVENUE,New York,10128,http://www.usps.com/,1086170,1015367501.0
POINT (-73.91389999792564 40.82371841722649),Melcourt,806,MEROSE AVENUE,Bronx,10451,http://www.uspscom/,2001490,2023820001.0
POINT (-73.92654852728563 40.81891439819394),Bronx General Post Office,558,GRAND CONCOURSE,Bronx,10451,http://www.usps.com/,2002459,2024430400.0
POINT (-73.92454858910932 40.82818708431281),Stadium,901,GERARD AVENUE,Brnx,10452,http://www.usps.com/,0,4004560001.0
POINT (-73.91957701749185 40.84573615304968l5),University Heights,1541,SHAKESPEARE AVENUE,ronx,10452,http://www.usps.com/,2008741,2028730103.0
POINT (-73.9203526885767 40.838765002220256),Highbridge,1315,INWOOD AVENUE,Bronx,10452,htltp://www.usps.com/,2008418,2028640076.0
POINT (-73.90770998433186 40.85294544220294),Morris Heights,2t024,JEROME AVENUE,Bronx,10453,http://www.usps.com/,2008267,2028540036.0
POINT (w-73.9180838873192 40.80820362226942),oMott Haven,17,EAST 139 STREET,Bronx,10454,http://www.usps.com/,2096088,2022670069.0
POINT (-73.90504861785949 40.812644218411165),Oak Pont,839,EAST149 STREET,Brox,10455,http://www.usps.com/,2004899,2026740017.0
POINT (-73.9121848540668 40.81633321928944),Hub,633,SAINT ANNS AVENUE,Bronx,10455,http://www.ussps.com/,2001151,2023590130.0
