253.sexraceethnicity,"Total - Female, Hispainc","Total - Female, Hispanic"
217.noteonpercentage,Data not havailable.,Data not available.
83.sex,emale,Female
54.sex,Feale,Female
285.sexraceethnicity,"Total - Female, Paccific Islander, non-Hispanic","Total - Female, Pacific Islander, non-Hispanic"
218.sex,ale,Male
131.sexraceethnicity,"Total - Male, Whiet, non-Hispanic","Total - Male, White, non-Hispanic"
302.sexraceethnicity,"Total - Female, Two or more raecs, non-Hispanic","Total - Female, Two or more races, non-Hispanic"
139.sex,ale,Male
26.noteonpercentage,dData not available.,Data not available.
165.sexraceethnicity,"Total - Male, Hiospanic","Total - Male, Hispanic"
224.noteonpercentage,Data not availale.,Data not available.
51.sexraceethnicity,"Total - White, enon-Hispanic","Total - White, non-Hispanic"
272.raceethnicity,"Asian, non-Hispnanic","Asian, non-Hispanic"
177.sex,Mael,Male
115.sex,Femafle,Female
184.raceethnicity,"Pacific Islader, non-Hispanic","Pacific Islander, non-Hispanic"
133.noteonpercentage,Data not availabale.,Data not available.
138.noteonpercentage,Data not availablse.,Data not available.
179.noteonpercentage,Data not aavilable.,Data not available.
115.raceethnicity,"Ameican Indian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
255.raceethnicity,Hspanic,Hispanic
266.noteonpercentage,Daa not available.,Data not available.
120.noteonpercentage,Dta not available.,Data not available.
213.sex,Malge,Male
12.sex,Fmale,Female
165.noteonpercentage,Data nort available.,Data not available.
33.noteonpercentage,Datan ot available.,Data not available.
142.sexraceethnicity,"Total - Male, White,non-Hispanic","Total - Male, White, non-Hispanic"
273.noteonpercentage,Dat not available.,Data not available.
166.noteonpercentage,Data not availale.,Data not available.
300.sex,Femael,Female
104.raceethnicity,"Pacific Islnder, non-Hispanic","Pacific Islander, non-Hispanic"
278.sex,Femael,Female
228.sex,hFemale,Female
214.raceethnicity,"Twoor more races, non-Hispanic","Two or more races, non-Hispanic"
40.raceethnicity,"White, non-Hispabnic","White, non-Hispanic"
161.noteonpercentage,Data not availabl.e,Data not available.
86.sexraceethnicity,"Tota - Asian, non-Hispanic","Total - Asian, non-Hispanic"
110.noteonpercentage,Data nlot available.,Data not available.
8.sexraceethnicity,Totl ,Total 
72.sex,xFemale,Female
151.sexraceethnicity,"Total  -Male, Black, non-Hispanic ","Total - Male, Black, non-Hispanic "
246.sex,Femlae,Female
190.sexraceethnicity,"Total-  Male, Pacific Islander, non-Hispanic","Total - Male, Pacific Islander, non-Hispanic"
291.sex,Feamle,Female
75.raceethnicity,Hispnaic,Hispanic
264.noteonpercentage,Data not availableg.,Data not available.
70.raceethnicity,Hispangic,Hispanic
35.noteonpercentage,Data noyt available.,Data not available.
150.sexraceethnicity,"Total - Male, Black non-Hispanic ","Total - Male, Black, non-Hispanic "
278.noteonpercentage,Reporting standards ot met.,Reporting standards not met.
28.sexraceethnicity,Total - Femlae,Total - Female
84.raceethnicity,"Asain, non-Hispanic","Asian, non-Hispanic"
190.sex,Mle,Male
250.raceethnicity,Hbispanic,Hispanic
113.raceethnicity,"American Indian/Alaska Native, non-Hiispanic","American Indian/Alaska Native, non-Hispanic"
244.sexraceethnicity,"Total - Female, Black, non-Hispani c","Total - Female, Black, non-Hispanic "
240.noteonpercentage,Data not availabel.,Data not available.
34.sex,Femalde,Female
181.sexraceethnicity,"Total - Male, Asian, no-Hispanic","Total - Male, Asian, non-Hispanic"
246.sexraceethnicity,"Total - Female, Black, non-Hispanicy ","Total - Female, Black, non-Hispanic "
23.sex,oMale,Male
283.sexraceethnicity,"Totacl - Female, Pacific Islander, non-Hispanic","Total - Female, Pacific Islander, non-Hispanic"
70.sex,Femrale,Female
224.sexraceethnicity,"Total - Female, White, snon-Hispanic","Total - Female, White, non-Hispanic"
234.raceethnicity,"Wite, non-Hispanic","White, non-Hispanic"
269.sex,Feamle,Female
84.sexraceethnicity,"Total - Asian, nonz-Hispanic","Total - Asian, non-Hispanic"
29.noteonpercentage,Daqta not available.,Data not available.
41.sex,Feamale,Female
280.sexraceethnicity,"Total - Female, Pacific sIlander, non-Hispanic","Total - Female, Pacific Islander, non-Hispanic"
117.sexraceethnicity,"Total - American nIdian/Alaska Native, non-Hispanic","Total - American Indian/Alaska Native, non-Hispanic"
28.noteonpercentage,Data nota vailable.,Data not available.
267.raceethnicity,"Asian, non-ispanic","Asian, non-Hispanic"
216.sex,Mael,Male
216.raceethnicity,"Two or more races, jnon-Hispanic","Two or more races, non-Hispanic"
95.noteonpercentage,ata not available.,Data not available.
280.raceethnicity,"Pacific Islanedr, non-Hispanic","Pacific Islander, non-Hispanic"
232.raceethnicity,"White,non-Hispanic","White, non-Hispanic"
222.noteonpercentage,Data notn available.,Data not available.
245.raceethnicity,"Blck, non-Hispanic ","Black, non-Hispanic "
311.raceethnicity,"Two or morel races, non-Hispanic","Two or more races, non-Hispanic"
114.raceethnicity,"American nIdian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
29.raceethnicity,"American Idian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
56.noteonpercentage,Data not avaialble.,Data not available.
153.sexraceethnicity,"Toal - Male, Black, non-Hispanic ","Total - Male, Black, non-Hispanic "
203.noteonpercentage,Data not availbale.,Data not available.
44.sex,emale,Female
165.sex,ale,Male
227.raceethnicity,"White, norn-Hispanic","White, non-Hispanic"
21.raceethnicity,"American India/nAlaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
232.sexraceethnicity,"Total s- Female, White, non-Hispanic","Total - Female, White, non-Hispanic"
209.raceethnicity,"Two or mre races, non-Hispanic","Two or more races, non-Hispanic"
62.raceethnicity,"lack, non-Hispanic ","Black, non-Hispanic "
259.noteonpercentage,Data not qavailable.,Data not available.
249.raceethnicity,Hikspanic,Hispanic
121.sexraceethnicity,"Total - Two or more races, non-Hispanci","Total - Two or more races, non-Hispanic"
191.noteonpercentage,Data dnot available.,Data not available.
40.sexraceethnicity,"Total - White, non-ispanic","Total - White, non-Hispanic"
42.noteonpercentage,xData not available.,Data not available.
140.sexraceethnicity,"Total  Male, White, non-Hispanic","Total - Male, White, non-Hispanic"
48.noteonpercentage,Datae not available.,Data not available.
246.noteonpercentage,Data not cavailable.,Data not available.
155.noteonpercentage,Data not vaailable.,Data not available.
298.sexraceethnicity,"oTtal - Female, American Indian/Alaska Native, non-Hispanic","Total - Female, American Indian/Alaska Native, non-Hispanic"
83.noteonpercentage,Data notavailable.,Data not available.
95.sexraceethnicity,"Total - Pacific Isladnder, non-Hispanic","Total - Pacific Islander, non-Hispanic"
123.sex,Fmale,Female
61.raceethnicity,"Black, nonq-Hispanic ","Black, non-Hispanic "
268.noteonpercentage,Data not avaxilable.,Data not available.
265.sexraceethnicity,"Totakl - Female, Asian, non-Hispanic","Total - Female, Asian, non-Hispanic"
89.sexraceethnicity,"Total - sian, non-Hispanic","Total - Asian, non-Hispanic"
167.raceethnicity,Hispanihc,Hispanic
152.noteonpercentage,Data not avaliable.,Data not available.
298.sex,Fyemale,Female
248.sexraceethnicity,"Total - Female, iHspanic","Total - Female, Hispanic"
4.raceethnicity,"Amerwican Indian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
204.raceethnicity,"American Indian/Alask Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
16.raceethnicity,"American Indian/Alask Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
132.sexraceethnicity,"Total - Male, Wite, non-Hispanic","Total - Male, White, non-Hispanic"
112.noteonpercentage,Data notavailable.,Data not available.
130.sex,Fmeale,Female
80.raceethnicity,"Asian, non-Hispangic","Asian, non-Hispanic"
284.noteonpercentage,Reporting satndards not met.,Reporting standards not met.
154.noteonpercentage,Data not avaiqlable.,Data not available.
158.sexraceethnicity,"Total - Male, Hiospanic","Total - Male, Hispanic"
39.sex,Fmale,Female
225.noteonpercentage,Dtaa not available.,Data not available.
307.sexraceethnicity,"Total - Femaley, Two or more races, non-Hispanic","Total - Female, Two or more races, non-Hispanic"
139.noteonpercentage,Data not availalbe.,Data not available.
43.sex,Femlae,Female
223.sex,Femqale,Female
169.raceethnicity,Hitspanic,Hispanic
225.raceethnicity,White non-Hispanic,"White, non-Hispanic"
77.noteonpercentage,Data not availble.,Data not available.
286.noteonpercentage,Reporting standads not met.,Reporting standards not met.
122.sex,Femaxle,Female
24.sexraceethnicity,Total - Mael,Total - Male
101.sex,Feale,Female
122.raceethnicity,"Two or more races, nn-Hispanic","Two or more races, non-Hispanic"
225.sexraceethnicity,"Ttal - Female, White, non-Hispanic","Total - Female, White, non-Hispanic"
218.sexraceethnicity,"Total - Male, Two or mroe races, non-Hispanic","Total - Male, Two or more races, non-Hispanic"
32.noteonpercentage,Data nto available.,Data not available.
38.noteonpercentage,Datav not available.,Data not available.
261.noteonpercentage,Data nmot available.,Data not available.
87.raceethnicity,"Asian,k non-Hispanic","Asian, non-Hispanic"
99.sexraceethnicity,"Total - Pacific Islander, non-ispanic","Total - Pacific Islander, non-Hispanic"
64.sexraceethnicity,"Tootal - Black, non-Hispanic ","Total - Black, non-Hispanic "
70.sexraceethnicity,Total- Hispanic,Total - Hispanic
34.noteonpercentage,Data not avialable.,Data not available.
168.raceethnicity,Hispainc,Hispanic
286.raceethnicity,"Pacific Islaner, non-Hispanic","Pacific Islander, non-Hispanic"
151.noteonpercentage,Data ncot available.,Data not available.
31.sex,Fmeale,Female
307.sex,Fmeale,Female
128.sexraceethnicity,"Total - Two or vmore races, non-Hispanic","Total - Two or more races, non-Hispanic"
110.raceethnicity,"Amercian Indian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
209.noteonpercentage,Data not aailable.,Data not available.
253.raceethnicity,Hspanic,Hispanic
261.sex,Femael,Female
203.raceethnicity,"American Indian/Alaska Native, non-Hipanic","American Indian/Alaska Native, non-Hispanic"
124.raceethnicity,"Two or more raaces, non-Hispanic","Two or more races, non-Hispanic"
129.sex,Femle,Female
144.raceethnicity,"Black, non-Hiskpanic ","Black, non-Hispanic "
300.raceethnicity,"Two or omre races, non-Hispanic","Two or more races, non-Hispanic"
268.raceethnicity,"Asian ,non-Hispanic","Asian, non-Hispanic"
227.noteonpercentage,Data not avalable.,Data not available.
116.sexraceethnicity,"Total - American Indian/Alaskqa Native, non-Hispanic","Total - American Indian/Alaska Native, non-Hispanic"
52.noteonpercentage,tData not available.,Data not available.
199.noteonpercentage,Data not availyable.,Data not available.
301.sex,emale,Female
295.raceethnicity,"American Indian/Alaska Native, non-Hipsanic","American Indian/Alaska Native, non-Hispanic"
301.raceethnicity,"Two or more races, noan-Hispanic","Two or more races, non-Hispanic"
175.sexraceethnicity,"Totla - Male, Asian, non-Hispanic","Total - Male, Asian, non-Hispanic"
6.noteonpercentage,Data not vailable.,Data not available.
86.sex,Femael,Female
204.noteonpercentage,Data not availabe.,Data not available.
223.noteonpercentage,Data no tavailable.,Data not available.
159.raceethnicity,Hispnaic,Hispanic
290.raceethnicity,"American Idian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
279.raceethnicity,"Pacific Islander, non-Hispnaic","Pacific Islander, non-Hispanic"
72.noteonpercentage,Daita not available.,Data not available.
22.sexraceethnicity,Total- Male,Total - Male
50.raceethnicity,"hite, non-Hispanic","White, non-Hispanic"
310.noteonpercentage,Data not avialable.,Data not available.
89.noteonpercentage,Data not availabble.,Data not available.
288.sex,Femlae,Female
