2588.statecounty,TN_Rha,TN_Rhea
50.fipstwo,f010x41,f01041
3113.statecounty,WI_Jeffetrson,WI_Jefferson
2428.countytwo,Greenwod ,Greenwood 
2316.statevalue,A,PA
2326.county,Aibonito fMunicipio,Aibonito Municipio
175.countytwo,Swains Islnad,Swains Island
997.countytwo,Wilso n,Wilson 
3054.statecounty,WA_Cowlizt,WA_Cowlitz
59.statevalue,LA,AL
2943.statevalue,A,VA
1201.county,Baltimor city,Baltimore city
2582.statevalue,NT,TN
2072.fipstwo,f390r37,f39037
793.county,abash ,Wabash 
340.statecounty,FL_Dbuval,FL_Duval
1773.statevalue,D,ND
1225.statecounty,MEu_Franklin,ME_Franklin
2191.statevalue,oOK,OK
3004.county,Ranoke city,Roanoke city
2121.fipstwo,fi39135,f39135
1628.statecounty,xMT_Granite,MT_Granite
3146.statevalue,WaI,WI
2025.fipstwo,3f6067,f36067
732.countytwo,Grudy ,Grundy 
855.county,Monoroe ,Monroe 
2392.fipstwo,72139,f72139
1612.statecounty,MT_Brodawater,MT_Broadwater
2168.county,Gran ,Grant 
1647.statecounty,MT_Pdowell,MT_Powell
1903.county,Thoma s,Thomas 
821.statecounty,IN_Dubos,IN_Dubois
2406.statevalue,C,SC
2850.statevalue,XT,TX
78.statecounty,AL_Mopbile,AL_Mobile
1662.fipstwo,f3w0107,f30107
1273.countytwo,Iro ,Iron 
375.statevalue,FgL,FL
3019.countytwo,azewell ,Tazewell 
1697.statevalue,NqC,NC
1531.statecounty,MS_Bnton,MS_Benton
2921.county,eChesapeake city,Chesapeake city
1692.statevalue,C,NC
1529.countytwo,Aymite ,Amite 
1954.statecounty,N_Hidalgo,NM_Hidalgo
392.county,Wsahington ,Washington 
1910.county,Yorkd ,York 
399.statecounty,AG_Barrow,GA_Barrow
1413.countytwo,Barotn ,Barton 
892.fipstwo,18179,f18179
3157.county,Wocod ,Wood 
1462.statevalue,OM,MO
782.statevalue,ItL,IL
1107.statecounty,KY_Spcencer,KY_Spencer
1010.countytwo,oyle ,Boyle 
819.county,DeaKlb ,DeKalb 
673.county,Clrk ,Clark 
699.fipstwo,f10685,f16085
263.countytwo,Crowle y,Crowley 
84.fipstwo,f1109,f01109
1424.statevalue,bMO,MO
248.statevalue,A,CA
1170.fipstwo,f21201,f22101
