8373.sector,Enery,Energy
11969.economicsector,Transporation,Transportation
11840.sector,Enregy,Energy
11815.conventionalaccounting,Nzo,No
1016.gas,NO2,N2O
25.subcategoryone,Land sUe,Land Use
3037.gross,hYes,Yes
11436.category,Fuel Combusxtion,Fuel Combustion
2284.net,eYs,Yes
8952.gas,C2O,CO2
10267.sector,nergy,Energy
7482.conventionalaccounting,o,No
4842.subcategoryone,Electrick Power,Electric Power
2102.gross,Ys,Yes
2053.conventionalaccounting,oN,No
13359.net,es,Yes
98.economicsector,Agricyulture,Agriculture
11868.net,oN,No
5853.subcategorytwo,Not Appljicable,Not Applicable
8986.conventionalaccounting,Ndo,No
763.conventionalaccounting,oNo,No
2629.gas,No2O,N2O
3964.subcategorythree,Special Nsaphthas,Special Naphthas
8712.subcategoryone,Industril,Industrial
8970.subcategorytwo,Nonroad p- Public Nonhighway,Nonroad - Public Nonhighway
12598.subcategorytwo,Not Applficable,Not Applicable
8999.subcategorytwo,Nonroad - Avihation,Nonroad - Aviation
5783.subcategorythree,mPetroleum Coke,Petroleum Coke
11468.economicsector,Trnasportation,Transportation
2835.subcategorythree,Wetland Converted tgo Water,Wetland Converted to Water
9241.gross,es,Yes
9377.gas,C2,CO2
11724.conventionalaccounting,es,Yes
9201.category,Fuelx Combustion,Fuel Combustion
12587.subcategoryone,Transporattion,Transportation
13420.sector,AFOU,AFOLU
1083.conventionalaccounting,es,Yes
702.category,Importd Fossil Fuels,Imported Fossil Fuels
5987.conventionalaccounting,Nzo,No
3697.net,eYs,Yes
3516.sector,Enerpgy,Energy
3759.gas,2O,N2O
12075.category,Imported Fosil Fuels,Imported Fossil Fuels
1447.subcategoryone,Ibndustrial,Industrial
3436.subcategorythree,Natural Gsa,Natural Gas
3461.gas,2O,N2O
14023.net,qYes,Yes
6494.subcategorythree,Distillat Fuel,Distillate Fuel
4073.sector,Enegry,Energy
605.conventionalaccounting,Ys,Yes
817.economicsector,Industyr,Industry
7948.economicsector,ndustry,Industry
2105.category,Prdouct Use,Product Use
11638.economicsector,Indusry,Industry
10539.category,Fuel Cokmbustion,Fuel Combustion
12197.economicsector,Buildinsg,Buildings
13908.gross,o,No
9635.category,Waste Cjombustion,Waste Combustion
3560.net,Yecs,Yes
1635.gross,eYs,Yes
4414.category,FuelC ombustion,Fuel Combustion
9572.subcategoryone,Transprtation,Transportation
5058.subcategorytwo,Not Applcable,Not Applicable
5682.subcategoryone,Irndustrial,Industrial
3592.subcategoryone,Transporttion,Transportation
11117.sector,nEergy,Energy
