407.streettype,L,PL
2009.fullstreetname,RgOBINSON DR,ROBINSON DR
2596.fullstreetname,WILLIE zB KENNEDY DR,WILLIE B KENNEDY DR
1378.fullstreetname,LARKNI ST,LARKIN ST
256.postdirection,NORHT,NORTH
588.streettype,AWY,WAY
1582.fullstreetname,MERCTO CT,MERCATO CT
178.fullstreetname,ARELOIUS WALKER DR,ARELIOUS WALKER DR
259.streettype,D,RD
1603.streetname,MIDAWY,MIDWAY
935.streettype,TS,ST
1079.fullstreetname,HARLOW lST,HARLOW ST
1534.fullstreetname,MARTIN LUTHERa KING JR DR,MARTIN LUTHER KING JR DR
2554.streetname,xWAYNE,WAYNE
2314.postdirection,NORH,NORTH
1734.streettype,D,RD
1249.postdirection,NOjRTH,NORTH
1919.postdirection,NORH,NORTH
1868.streettype,AE,AVE
38.fullstreetname,4TH ST,14TH ST
2429.postdirection,ORTH,NORTH
1161.streetname,HOWADR,HOWARD
1400.streettype,T,CT
556.streettype,eST,ST
2020.streettype,WY,WAY
153.fullstreetname,NGELOS ALY,ANGELOS ALY
773.fullstreetname,EDGEWOODAVE,EDGEWOOD AVE
641.streettype,zCT,CT
2464.fullstreetname,PPER SERVICE RD,UPPER SERVICE RD
253.streettype,TS,ST
2296.streetname,TDEDY,TEDDY
2237.postdirection,NROTH,NORTH
1884.streetname,POLRAIS,POLARIS
1721.fullstreetname,NIDO AE,NIDO AVE
165.postdirection,NORHT,NORTH
2408.streettype,SfT,ST
1511.streetname,MAtRCY,MARCY
1692.streetname,NANTUwCKET,NANTUCKET
380.streetname,BRaONTE,BRONTE
985.postdirection,NORH,NORTH
2488.postdirection,ORTH,NORTH
676.streettype,TS,ST
376.streettype,SpT,ST
2534.fullstreetname,WATLER ST,WALTER ST
723.streettype,TR,TER
2227.fullstreetname,STANAN BLVD,STANYAN BLVD
1563.postdirection,ORTH,NORTH
1332.streettype,RyD,RD
2628.postdirection,NORTxH,NORTH
2194.streettype,N,LN
