215.id,SAT2D01711,SATD201711
1.id,SApTD200001,SATD200001
9.id,SATD20000l9,SATD200009
84.id,SATD200621,SATD200612
227.id,SAT2D01811,SATD201811
102.id,SATD020806,SATD200806
249.id,SATD202090,SATD202009
71.id,SATD20011,SATD200511
121.id,STD201001,SATD201001
155.id,ATD201211,SATD201211
23.id,SATD20111,SATD200111
146.obsdate,0201/2012,02/01/2012
85.id,SATD20g0701,SATD200701
166.obsdate,j10/01/2013,10/01/2013
153.id,SAmTD201209,SATD201209
46.id,SAzTD200310,SATD200310
220.id,SsATD201804,SATD201804
5.id,SATD200c005,SATD200005
273.obsdate,s09/01/2022,09/01/2022
44.obsdate,08/01/2b003,08/01/2003
158.obsdate,02/01/213,02/01/2013
96.obsdate,12/01/207,12/01/2007
265.id,SATD20201,SATD202201
53.id,SAT200405,SATD200405
88.id,SATDc200704,SATD200704
59.obsdate,11/0/12004,11/01/2004
215.obsdate,11/01/2071,11/01/2017
167.id,SAT2D01311,SATD201311
151.id,SATD20a1207,SATD201207
188.obsdate,08/01/2051,08/01/2015
87.id,SAT2D00703,SATD200703
145.id,oSATD201201,SATD201201
144.obsdate,120/1/2011,12/01/2011
40.id,SATD200340,SATD200304
254.id,SATD20102,SATD202102
171.id,SrATD201403,SATD201403
229.id,SAD201901,SATD201901
76.obsdate,04/01/2060,04/01/2006
233.id,SATD20190w5,SATD201905
208.id,SATD20104,SATD201704
33.id,SATD20029,SATD200209
172.obsdate,0/01/2014,04/01/2014
94.obsdate,01/01/2007,10/01/2007
180.obsdate,12/1/2014,12/01/2014
247.obsdate,07/01/2c020,07/01/2020
158.id,SATD201320,SATD201302
82.id,SATD20010,SATD200610
20.id,SAT200108,SATD200108
196.id,ATD201604,SATD201604
46.obsdate,10/01/2z003,10/01/2003
250.obsdate,10/01/2200,10/01/2020
176.obsdate,08/01/2041,08/01/2014
6.obsdate,06/012000,06/01/2000
188.id,SATD201580,SATD201508
71.obsdate,11/01/0205,11/01/2005
272.id,SATD20208,SATD202208
205.obsdate,01/1/2017,01/01/2017
93.obsdate,0/901/2007,09/01/2007
3.obsdate,030/1/2000,03/01/2000
168.id,SATD021312,SATD201312
68.id,SAD200508,SATD200508
206.obsdate,2/01/2017,02/01/2017
116.id,SATD20008,SATD200908
226.obsdate,10/012018,10/01/2018
186.id,SATDy201506,SATD201506
11.obsdate,1101/2000,11/01/2000
109.obsdate,01/01/w2009,01/01/2009
102.obsdate,06r/01/2008,06/01/2008
90.id,SATD20076,SATD200706
1.obsdate,1/01/2000,01/01/2000
120.id,SATD200921,SATD200912
173.id,SATD20405,SATD201405
60.id,SbATD200412,SATD200412
168.obsdate,12/01/213,12/01/2013
33.obsdate,09/01/002,09/01/2002
127.id,SAT2D01007,SATD201007
89.obsdate,p05/01/2007,05/01/2007
111.id,SATD209003,SATD200903
28.obsdate,04/1/2002,04/01/2002
81.obsdate,09/01/2006***,09/01/2006
183.obsdate,30/01/2015,03/01/2015
53.obsdate,5/01/2004,05/01/2004
224.id,SAfTD201808,SATD201808
39.obsdate,03/01/203,03/01/2003
78.obsdate,06/012006,06/01/2006
20.obsdate,08/10/2001,08/01/2001
14.id,SATD20102,SATD200102
129.id,SADT201009,SATD201009
56.obsdate,08/0w1/2004,08/01/2004
73.id,ATD200601,SATD200601
267.obsdate,03/01/d2022,03/01/2022
179.id,SATD210411,SATD201411
152.obsdate,08/w01/2012,08/01/2012
172.id,ATD201404,SATD201404
246.id,SAT202006,SATD202006
97.obsdate,01/01/208,01/01/2008
113.id,SAT200905,SATD200905
238.obsdate,10/01/209,10/01/2019
212.obsdate,08/01/2071,08/01/2017
95.obsdate,11/01/007,11/01/2007
100.id,ASTD200804,SATD200804
177.id,SATD20f1409,SATD201409
185.obsdate,05/01/015,05/01/2015
122.obsdate,02/01/20a10,02/01/2010
229.obsdate,01/0y1/2019,01/01/2019
186.obsdate,06/01/2051,06/01/2015
92.id,SATeD200708,SATD200708
190.obsdate,10/10/2015,10/01/2015
235.obsdate,07/01/219,07/01/2019
197.id,SATD20605,SATD201605
42.obsdate,06/01q/2003,06/01/2003
225.obsdate,90/01/2018,09/01/2018
124.obsdate,04/01/210,04/01/2010
