10129.datavaluetype,ercentage,Percentage
5492.measureid,166SA,166SSA
9128.stratificationidtwo,8AEG,8AGE
1394.stratificationidthree,6RCA,6RAC
6520.datavaluefootnotesymbol,,*
6794.race,Alul Races,All Races
2036.topicdesc,Smkeless Tobacco Use (Youth),Smokeless Tobacco Use (Youth)
3511.age,lAl Ages,All Ages
4997.stratificationidone,2GNE,2GEN
3492.datavaluefootnotesymbol,,*
5099.stratificationidone,o2GEN,2GEN
3286.topictypeid,BHE,BEH
7297.topicdesc,Cqigarette Use (Youth),Cigarette Use (Youth)
5326.topictypeid,BHE,BEH
2315.response,Frequennt,Frequent
3645.datavalueunit,,%
7623.stratificationidtwo,AGE,8AGE
5367.measuredesc,Smoksing Status,Smoking Status
10202.datavaluefootnotesymbol,,*
6347.age,All Ags,All Ages
4265.locationdesc,Hajwaii,Hawaii
300.education,Middl School,Middle School
4216.stratificationidthree,6RyAC,6RAC
5812.measuredesc,User Stats,User Status
2186.stratificationidfour,1EU,1EDU
8689.datasource,TYS,YTS
9701.geolocation,"(18.335765, 6-4.896335)","(18.335765, -64.896335)"
506.stratificationidfour,E1DU,1EDU
92.age,AllA ges,All Ages
4767.education,Middvle School,Middle School
4221.topicdesc,Cessaion (Youth),Cessation (Youth)
4725.topictypeid,EBH,BEH
7262.datavalueunit,j%,%
8482.datavaluetype,Percenhtage,Percentage
2368.datavaluetype,Percentaeg,Percentage
3106.datavaluetype,Percentae,Percentage
10065.datavaluetype,Perecntage,Percentage
4253.measureid,169UA,169QUA
2663.gender,vOerall,Overall
7103.datavaluefootnotesymbol,,*
4480.locationdesc,NewYork,New York
8577.submeasureid,yYTS09,YTS09
9741.datavaluefootnotesymbol,,*
7233.education,cHigh School,High School
1535.datasource,TS,YTS
2465.response,Crurrent,Current
7480.locationabbr,gNJ,NJ
3999.datavalueunit,,%
7887.measureid,619USS,169USS
8850.datavaluefootnote,Daa in these cells have been suppressed because of a small sample size,Data in these cells have been suppressed because of a small sample size
1174.response,Curretn,Current
5288.datavalueunit,***,%
3694.measuredesc,Smokifng Status,Smoking Status
569.topicid,151nBEH,151BEH
5415.locationdesc,Oklahoam,Oklahoma
9744.topicdesc,Smokeless Tobacco Use (Youthh),Smokeless Tobacco Use (Youth)
5417.submeasureid,YTlS11,YTS11
4496.measuredesc,Percent of Current Smokers Whio Want to Quit,Percent of Current Smokers Who Want to Quit
9734.gender,Overall***,Overall
3632.stratificationidfour,p2EDU,2EDU
3287.geolocation,"(39.008830667, -75.57774168)","(39.008830667, -75.577741168)"
5348.locationdesc,Conencticut,Connecticut
9618.topictypeid,BiEH,BEH
856.datavalueunit,***,%
8428.stratificationidtwo,8AEG,8AGE
6060.datasource,YTtS,YTS
2209.datavaluefootnotesymbol,,*
3278.education,Middle Scholo,Middle School
4203.datavaluefootnote,Data in these cells have been suppressed because of a smal lsample size,Data in these cells have been suppressed because of a small sample size
9788.gender,emale,Female
9919.topicdesc,Smokeless Tobacco Use (oYuth),Smokeless Tobacco Use (Youth)
3562.datavaluefootnotesymbol,,*
6225.gender,Feale,Female
69.datavalueunit,,%
7026.measureid,1f70CES,170CES
453.datavalueunit,d%,%
7521.topictypeid,BEaH,BEH
4097.measuredesc,Quit Attempt in Past Year Among Current Cigarette Smokesr,Quit Attempt in Past Year Among Current Cigarette Smokers
5793.stratificationidone,2GExN,2GEN
6673.geolocation,"(28.93204037,7 -81.928960539)","(28.932040377, -81.928960539)"
5160.topicid,106EBH,106BEH
362.race,All Races***,All Races
5598.stratificationidtwo,8GE,8AGE
6312.stratificationidfour,2DEU,2EDU
9684.stratificationidfour,1EUD,1EDU
7389.education,High Schol,High School
7747.datavaluefootnote,Data in these cells have ben suppressed because of a small sample size,Data in these cells have been suppressed because of a small sample size
881.age,Al Ages,All Ages
2857.measuredesc,Smoking jStatus,Smoking Status
9147.datavaluefootnote,Data in these cells have been spupressed because of a small sample size,Data in these cells have been suppressed because of a small sample size
7605.geolocation,"(35n.472031356, -97.521070214)","(35.472031356, -97.521070214)"
4017.stratificationidone,GEN,2GEN
6186.submeasureid,YThS05,YTS05
8178.response,vEer,Ever
1626.datavaluefootnotesymbol,,*
2113.stratificationidfour,2DU,2EDU
854.stratificationidthree,RAC,6RAC
5657.stratificationidfour,h1EDU,1EDU
6974.locationdesc,Louisinaa,Louisiana
1889.datavaluefootnotesymbol,,*
6679.datavaluefootnotesymbol,,*
3027.stratificationidtwo,8AEG,8AGE
201.education,Midldle School,Middle School
5486.topictypeid,bBEH,BEH
7899.response,Currnt,Current
1287.measuredesc,Quqit Attempt in Past Year Among Current Cigarette Smokers,Quit Attempt in Past Year Among Current Cigarette Smokers
62.geolocation,"(40.79373152, -77.860700294)","(40.793730152, -77.860700294)"
10133.datasource,YST,YTS
3144.age,Altl Ages,All Ages
1917.stratificationidtwo,8GAE,8AGE
1378.topicid,10i6BEH,106BEH
5970.topicid,105BH,105BEH
8431.stratificationidone,2GN,2GEN
4001.race,ll Races,All Races
7242.datavaluetype,Percentafge,Percentage
8968.topicid,106EBH,106BEH
5477.stratificationidfour,1EUD,1EDU
6899.submeasureid,YTS70,YTS07
4420.locationabbr,LI,IL
8026.datavaluetype,Percentge,Percentage
9873.stratificationidthree,6ARC,6RAC
3625.submeasureid,YTS7,YTS07
7876.datasource,YjTS,YTS
4874.locationabbr,AiL,AL
2691.measuredesc,Smokng Status,Smoking Status
2803.gender,Ovjerall,Overall
5076.measureid,170bCES,170CES
8123.stratificationidfour,EDU,1EDU
991.datavaluetype,ercentage,Percentage
9673.topictype,Tobacco Use  Survey Data,Tobacco Use – Survey Data
5390.gender,Mlae,Male
1248.stratificationidtwo,8pAGE,8AGE
4317.submeasureid,TS06,YTS06
10237.response,ver,Ever
1093.locationdesc,Lousiana,Louisiana
8870.stratificationidtwo,8AEG,8AGE
9267.measureid,16a6SSA,166SSA
386.locationdesc,RhodeIsland,Rhode Island
7664.measuredesc,ser Status,User Status
9749.measureid,616SSA,166SSA
850.stratificationidfour,1EUD,1EDU
7998.datavaluefootnotesymbol,,*
5334.measuredesc,Uer Status,User Status
7181.topicdesc,Smokeless Tobacoc Use (Youth),Smokeless Tobacco Use (Youth)
9100.race,lAl Races,All Races
2175.topictypeid,hBEH,BEH
9672.datasource,YST,YTS
4041.locationabbr,pDE,DE
827.stratificationidtwo,8AE,8AGE
9087.response,Currednt,Current
2955.datasource,sYTS,YTS
5367.datavalueunit,,%
5353.geolocation,"(37.638640123, -v120.999999538)","(37.638640123, -120.999999538)"
692.age,Afll Ages,All Ages
8109.topicid,106BHE,106BEH
9904.topicid,105BzEH,105BEH
8076.stratificationidthree,f6RAC,6RAC
2711.response,urrent,Current
1300.locationabbr,O,MO
990.topictype,Tobacco Use – Surve Data,Tobacco Use – Survey Data
6190.locationabbr,RA,AR
4223.stratificationidone,GEN,1GEN
3777.response,Curretn,Current
8055.stratificationidfour,EDU,2EDU
4886.locationabbr,L,AL
1596.education,Midle School,Middle School
3033.topictypeid,EH,BEH
1178.stratificationidtwo,8pAGE,8AGE
6603.stratificationidfour,1EUD,1EDU
8271.submeasureid,oYTS11,YTS11
3045.education,Hfigh School,High School
10083.stratificationidtwo,8AzGE,8AGE
8740.locationabbr,IW,WI
7103.topictypeid,BEqH,BEH
6144.response,Frequzent,Frequent
3931.stratificationidfour,2DU,2EDU
5838.geolocation,"(31.312660644, -92.44568001)","(31.312660644, -92.445680071)"
8459.topicdesc,Smokeless Tobacco Use (Yout)h,Smokeless Tobacco Use (Youth)
9091.age,Allr Ages,All Ages
4506.datasource,TS,YTS
1121.response,urrent,Current
7969.measureid,196QUA,169QUA
4466.stratificationidfour,t1EDU,1EDU
9818.response,Curent,Current
669.measuredesc,wSmoking Status,Smoking Status
2369.datavaluetype,Pecentage,Percentage
10090.locationabbr,AC,CA
10023.topicid,10BEH,106BEH
2263.geolocation,"(34.h748650124, -92.274490743)","(34.748650124, -92.274490743)"
8731.locationabbr,qCT,CT
8387.measureid,710CES,170CES
3113.locationabbr,Z,AZ
7449.stratificationidfour,1EUD,1EDU
750.race,kAll Races,All Races
8355.topictypeid,BEcH,BEH
5433.datavaluetype,Percentaeg,Percentage
7039.topicdesc,Smokeles Tobacco Use (Youth),Smokeless Tobacco Use (Youth)
631.locationabbr,NT,TN
8982.stratificationidtwo,8AEG,8AGE
9315.datavalueunit,u%,%
7022.datavaluefootnote,Data in these cells have been suppressed because of a small smample size,Data in these cells have been suppressed because of a small sample size
8755.datavaluefootnotesymbol,,*
1923.education,High Sichool,High School
7385.topictype,Tobacco Use – Suvrey Data,Tobacco Use – Survey Data
10126.stratificationidone,1GcEN,1GEN
3222.topictypeid,BH,BEH
3075.measuredesc,Qit Attempt in Past Year Among Current Cigarette Smokers,Quit Attempt in Past Year Among Current Cigarette Smokers
8650.submeasureid,YS01,YTS01
1307.topictype,Tobacco Use – bSurvey Data,Tobacco Use – Survey Data
6926.stratificationidfour,2DU,2EDU
8939.measureid,16SSA,166SSA
204.stratificationidone,j3GEN,3GEN
8814.stratificationidtwo,AGE,8AGE
10280.locationabbr,S,MS
8039.topictype,Tobacco Use – Survey Data***,Tobacco Use – Survey Data
3545.measureid,10CES,170CES
6037.stratificationidfour,q1EDU,1EDU
669.topictypeid,EH,BEH
9923.submeasureid,YTS70,YTS07
