84.strata,dSex,Sex
119.geography,Califronia,California
65.strata,Race-Ethincity,Race-Ethnicity
23.strataname,Whiet,White
135.strataname,55 to 64 yeasr,55 to 64 years
85.geography,Califonria,California
24.strataname,African-merican,African-American
5.strata,Race-Ethnnicity,Race-Ethnicity
124.strataname,"$50,000 an dabove","$50,000 and above"
134.strata,jAge,Age
120.geography,Califrnia,California
82.geography,Calfiornia,California
20.strataname,Mael,Male
142.geography,Califozrnia,California
11.strata,Educatfion,Education
53.strata,Educatzion,Education
146.strataname,ale,Male
97.geography,Cadlifornia,California
122.strataname,"$25,000 to$ 34,999","$25,000 to $34,999"
9.strata,Ague,Age
144.strata,Incogme,Income
28.strata,Agpe,Age
19.strataname,"$50,000a nd above","$50,000 and above"
83.strata,jSex,Sex
125.strata,wSex,Sex
144.geography,alifornia,California
46.strataname,Asbian,Asian
118.strata,Educaotion,Education
30.geography,Calfiornia,California
88.geography,Calfiornia,California
95.strataname,Less than hih school,Less than high school
95.geography,Calnifornia,California
121.strata,Incgome,Income
29.geography,aClifornia,California
76.strata,Educatijon,Education
132.strata,kAge,Age
74.strataname,Leqss than high school,Less than high school
34.strata,Edcuation,Education
1.strataname,Total ppulation,Total population
19.geography,alifornia,California
87.geography,Califonia,California
145.strata,ncome,Income
47.strataname,Hspanic,Hispanic
66.geography,Californa,California
58.geography,Calyifornia,California
147.strataname,Femalne,Female
60.geography,Califorina,California
4.strata,Rce-Ethnicity,Race-Ethnicity
79.geography,Californai,California
102.geography,Caifornia,California
81.geography,Caifornia,California
99.strataname,"Less thfan $15,000","Less than $15,000"
104.strataname,ale,Male
136.strata,Aeg,Age
127.geography,Ckalifornia,California
117.strata,ducation,Education
126.geography,xCalifornia,California
137.strataname,Less than high shool,Less than high school
128.geography,Cailfornia,California
85.strata,Total populatin,Total population
64.strata,Total poepulation,Total population
10.strata,tAge,Age
31.strataname,65 years andc above,65 years and above
79.strata,Inome,Income
15.strata,lIncome,Income
104.geography,aClifornia,California
131.strata,RaceEthnicity,Race-Ethnicity
36.strataname,"Less than $15,000***","Less than $15,000"
138.geography,Callifornia,California
84.strataname,Femael,Female
65.strataname,hWite,White
51.geography,Californica,California
146.strata,Sxe,Sex
25.strata,Racef-Ethnicity,Race-Ethnicity
26.strataname,Hispafnic,Hispanic
52.strataname,65 years an above,65 years and above
33.geography,alifornia,California
128.strataname,hite,White
26.strata,Race-Ehnicity,Race-Ethnicity
138.strata,Educatnion,Education
135.geography,Califonia,California
22.strataname,Ttal population,Total population
6.geography,alifornia,California
139.strataname,Soxme college,Some college
118.geography,Calfornia,California
78.strata,Inconme,Income
7.geography,Califonia,California
45.strataname,Africa-nAmerican,African-American
124.strata,Incmoe,Income
142.strata,Inocme,Income
114.geography,Cailifornia,California
89.geography,Caliornia,California
58.strata,Icnome,Income
1.geography,alifornia,California
12.geography,Clalifornia,California
7.strata,Ae,Age
56.geography,Calirfornia,California
18.strataname,"$35,000y to $49,999","$35,000 to $49,999"
91.geography,Califqornia,California
68.strataname,Hispnaic,Hispanic
98.strata,Educatifon,Education
52.geography,Californai,California
57.strata,Inocme,Income
100.strataname,"15,000 to $24,999","$15,000 to $24,999"
13.strata,Eduction,Education
69.strataname,18 to 34 ycears,18 to 34 years
36.geography,Caifornia,California
139.strata,Eduction,Education
62.geography,aClifornia,California
77.strata,Eiducation,Education
21.strata,Sxe,Sex
32.geography,Caklifornia,California
44.geography,aClifornia,California
133.strataname,3 5to 44 years,35 to 44 years
136.geography,Califorina,California
74.geography,Caifornia,California
87.strata,Ryace-Ethnicity,Race-Ethnicity
14.strata,Eduaction,Education
31.geography,Claifornia,California
81.strata,Incoem,Income
27.strataname,18 to 34 yars,18 to 34 years
49.geography,Caliornia,California
138.strataname,High chool graduate,High school graduate
61.geography,Claifornia,California
