148.autismtypesincluded,"autism, Asperger syndrome, other autism spectrugm","autism, Asperger syndrome, other autism spectrum"
46.diagnosisagerangemonths,2-195,27-195
17.areas,Nagyoa,Nagoya
96.author,"Paula, et a.","Paula, et al."
104.diagnosisagerangemonths,12-10d6,12-106
9.cdccalculatedvalues,CI; IQ Score 70 (%),CI; IQ Score <70 (%)
28.diagnosismedianagemonths,c32,32
147.casecriterion,DSM-I-TR,DSM-IV-TR
182.confidenceintervalci,6.29-  8.93,6.29 - 8.93
188.percentageofindividualcooccurringconditions,0 (Downsyndrome),0 (Down syndrome)
167.linktopublication,https://pubmed.pncbi.nlm.nih.gov/29671642/,https://pubmed.ncbi.nlm.nih.gov/29671642/
89.country,USeA,USA
71.percentageofindividualcooccurringconditions,j0 (Down syndrome),0 (Down syndrome)
155.studyyears,201-2014,2010-2014
112.percentageofindividualcooccurringconditions,0 (Down synhdrome),0 (Down syndrome)
38.confidenceintervalci,5. 1- 8.7,5.1 - 8.7
84.confidenceintervalci,6f.78 - 9.04,6.78 - 9.04
39.percentageofindividualcooccurringconditions,0 (Down syndroxme),0 (Down syndrome)
99.confidenceintervalci,1.8 - 14.2,11.8 - 14.2
111.author,"Al-Ansar, et al.","Al-Ansari, et al."
86.percentageofindividualcooccurringconditions,0 (Dow syndrome),0 (Down syndrome)
166.diagnosisagerangemonths,121-06,12-106
80.country,Austrkalia,Australia
89.caseidentificationmethod,other (goernment administraive data),other (government administraive data)
50.casecriterion,sICD-10,ICD-10
7.studyyears,197u9,1979
60.autismtypesincluded,"PDD (autistic disorder, Asperegr syndrome)","PDD (autistic disorder, Asperger syndrome)"
185.diagnosisagerangemonths,2-106,12-106
178.country,UuSA,USA
106.adaptivescoresevenzero,40.19779723556597,58.0
36.casecriterion,DSM-IV; ICD-0; clinical interpretation,DSM-IV; ICD-10; clinical interpretation
142.diagnosismedianagemonths,d32,32
145.cdccalculatedvalues,nne,none
105.cdccalculatedvalues,noyne,none
118.studyyears,201t0,2010
59.agerange,1 to1 4,1 to 14
13.title,A Prevalence Study of Pervasive Dbevelopmental Disorders in North Dakota,A Prevalence Study of Pervasive Developmental Disorders in North Dakota
149.agerange,1 to n30,1 to 30
31.diagnosisagerangemonths,12-160,12-106
173.confidenceintervalci,8.9 q- 22.0,8.9 - 22.0
21.diagnosisagerangemonths,12-j106,12-106
11.caseidentificationmethod,heallth records; registry,health records; registry
149.cdccalculatedvalues,I,CI
200.percentageofindividualcooccurringconditions,18.8 (ADHD for ages 4-5); 44 (ADHD fo rages 10-11),18.8 (ADHD for ages 4-5); 44 (ADHD for ages 10-11)
49.autismtypesincluded,"PDD (autitstic disorder, PDD-NOS, Asperger syndrome, childhood disintegrative disorder)","PDD (autistic disorder, PDD-NOS, Asperger syndrome, childhood disintegrative disorder)"
