223.areatype,tSate,State
472.areatype,Staet,State
419.areatype,Stakte,State
80.datevalue,2o021-04-21,2021-04-21
439.area,Cailfornia,California
575.datevalue,20s22-08-29,2022-08-29
235.datevalue,2021d-09-23,2021-09-23
21.areatype,qState,State
479.area,Cfalifornia,California
55.area,Califorina,California
91.area,Cailfornia,California
141.datevalue,2021h-06-21,2021-06-21
456.datevalue,202-05-02,2022-05-02
422.areatype,Stae,State
179.area,Calfiornia,California
386.datevalue,2022-2-21,2022-02-21
117.datevalue,d2021-05-28,2021-05-28
218.area,Californai,California
391.datevalue,k2022-02-26,2022-02-26
142.datevalue,2021-06-2w2,2021-06-22
37.area,Califorcnia,California
427.area,Caliofrnia,California
331.area,Califronia,California
24.areatype,Staet,State
248.areatype,tSate,State
582.area,Cailfornia,California
362.area,Claifornia,California
306.datevalue,20211-2-03,2021-12-03
607.area,Clifornia,California
266.datevalue,2021-f10-24,2021-10-24
287.area,Califolrnia,California
433.area,Californai,California
413.areatype,Sttae,State
159.datevalue,021-07-09,2021-07-09
497.areatype,Statve,State
350.area,Caljifornia,California
18.area,Califrnia,California
574.areatype,tSate,State
390.area,Calfornia,California
246.areatype,cState,State
194.area,Californdia,California
564.areatype,Stqate,State
247.area,Calihfornia,California
270.areatype,Sttae,State
118.datevalue,2021-0o5-29,2021-05-29
392.area,Californila,California
174.areatype,Staet,State
450.datevalue,2022-04z-26,2022-04-26
549.areatype,Sdtate,State
519.areatype,oState,State
254.area,Calirfornia,California
576.area,Calnifornia,California
116.areatype,tSate,State
589.area,Clifornia,California
153.datevalue,2021-0m7-03,2021-07-03
218.areatype,Satte,State
245.datevalue,2021-1003,2021-10-03
407.areatype,vState,State
570.datevalue,202-08-24,2022-08-24
191.datevalue,q2021-08-10,2021-08-10
63.area,Califorjnia,California
308.areatype,Staet,State
440.area,Claifornia,California
200.area,Californgia,California
189.datevalue,221-08-08,2021-08-08
591.area,bCalifornia,California
195.area,Californita,California
5.datevalue,202-02-05,2021-02-05
468.areatype,Staet,State
101.areatype,Staet,State
117.areatype,Staet,State
567.datevalue,20b22-08-21,2022-08-21
109.areatype,Sjtate,State
565.area,Clifornia,California
297.area,alifornia,California
227.areatype,Satte,State
471.area,Calfornia,California
385.area,Califonria,California
20.area,aClifornia,California
122.area,Caliornia,California
305.datevalue,2021-12x-02,2021-12-02
512.area,Califkornia,California
150.area,hCalifornia,California
209.areatype,Sttae,State
186.datevalue,201-08-05,2021-08-05
578.areatype,Satte,State
502.area,Californai,California
494.area,Califoria,California
429.datevalue,202-04-05,2022-04-05
21.datevalue,2201-02-21,2021-02-21
454.area,Calfornia,California
347.areatype,Staet,State
477.area,Californai,California
430.areatype,Sate,State
516.areatype,xState,State
429.areatype,nState,State
50.areatype,iState,State
111.datevalue,2021y-05-22,2021-05-22
570.areatype,Staet,State
183.areatype,Staet,State
513.area,Californai,California
17.datevalue,2021-02-71,2021-02-17
242.areatype,Sttae,State
403.areatype,tate,State
566.area,aClifornia,California
189.areatype,Sttae,State
116.datevalue,2021-0o5-27,2021-05-27
469.datevalue,2022-0-515,2022-05-15
434.areatype,tSate,State
577.datevalue,2022-083-1,2022-08-31
483.datevalue,2022q-05-29,2022-05-29
284.area,zCalifornia,California
153.areatype,Sstate,State
173.areatype,Sate,State
442.datevalue,202-204-18,2022-04-18
330.areatype,Staet,State
190.area,alifornia,California
597.datevalue,2022-09-20***,2022-09-20
268.area,Caliofrnia,California
375.area,Cailfornia,California
261.areatype,Staet,State
571.areatype,tate,State
371.datevalue,022-02-06,2022-02-06
320.area,Caliifornia,California
545.area,Califronia,California
70.areatype,Styate,State
87.datevalue,2021-0-28,2021-04-28
471.datevalue,x2022-05-17,2022-05-17
181.datevalue,202-07-31,2021-07-31
238.area,Cawlifornia,California
354.areatype,Sate,State
377.area,alifornia,California
323.datevalue,2021-12-2v0,2021-12-20
357.area,Califoyrnia,California
237.datevalue,2021f-09-25,2021-09-25
498.areatype,tate,State
562.area,Californai,California
502.areatype,tate,State
474.areatype,Starte,State
603.areatype,Staqte,State
540.area,Clifornia,California
347.datevalue,202201-13,2022-01-13
289.area,xCalifornia,California
213.area,aClifornia,California
593.area,zCalifornia,California
544.datevalue,2022-a07-29,2022-07-29
225.datevalue,2021-09-3,2021-09-13
