datevalue,area,areatype,unvaccinatedcases,vaccinatedcases,unvaccinatedhosp,vaccinatedhosp,unvaccinateddeaths,vaccinateddeaths,populationunvaccinated,populationvaccinated,unvaccinatedcasesperonezerozerok,vaccinatedcasesperonezerozerok,unvaccinatedhospperonezerozerok,vaccinatedhospperonezerozerok,unvaccinateddeathsperonezerozerok,vaccinateddeathsperonezerozerok
2021-02-01,California,State,13183,20,775,0,368,0,30544061,336378,38.08362521,3.94963829,2.25762851,0.12740769,1.08368039,0.0
2021-02-02,California,State,10754,18,615,0,308,0,30427999,370332,35.95842294,3.51036367,2.19769393,0.11572627,1.07607658,0.0
2021-02-03,California,State,9761,26,544,0,302,0,30293324,406616,34.30694593,3.6889842,2.07919455,0.10539955,1.07001416,0.0
2021-02-04,California,State,8477,15,484,0,284,0,30130590,427947,32.60284173,3.53848891,1.98564221,0.10014591,1.05350931,0.0
2021-02-05,California,State,8020,16,508,0,318,0,29968106,443743,31.36954048,3.57349701,1.91155605,0.03219367,1.05636115,0.0
2021-02-06,California,State,5659,9,370,1,255,0,29864854,456835,30.03961015,3.50235862,1.83445445,0.06254212,1.02652914,0.0
2021-02-07,California,State,4408,8,380,0,245,0,29806868,461876,28.8821259,3.46413323,1.76181831,0.03092976,0.99689393,0.0
2021-02-09,California,State,6564,15,422,1,257,0,29552426,539952,24.58004632,3.01614112,1.52996866,0.07937213,0.93635049,0.0
2021-02-11,California,State,5574,25,331,1,272,0,29240700,618620,21.71435216,2.81733074,1.39336121,0.0923715,0.92532473,0.0
2021-02-12,California,State,5228,18,359,1,229,0,29084388,655748,20.45967558,2.70138616,1.32766368,0.10892686,0.88658267,0.0
2021-02-13,California,State,3802,11,268,0,204,0,28969412,672022,19.62513328,2.67848374,1.28263366,0.08503123,0.86495172,0.0
2021-02-14,California,State,3010,4,235,0,201,0,28900390,677377,18.98095987,2.57294999,1.21402217,0.08435902,0.84526788,0.0
2021-02-15,California,State,4526,22,287,2,193,0,28771806,721211,17.36124196,2.35714652,1.13503973,0.09903977,0.80783449,0.0
2021-02-16,California,State,4787,22,316,0,203,0,28622292,768918,16.56501064,2.34095183,1.08806301,0.07431593,0.78510235,0.0
2021-02-17,California,State,4276,22,257,1,196,0,28457449,826690,15.66398811,2.14279666,1.0306114,0.08640309,0.75199994,0.0
2021-02-18,California,State,3667,25,234,0,180,0,28282186,891041,14.79780544,1.98804384,0.98800203,0.06413045,0.7101896,0.0
2021-02-19,California,State,3478,23,236,1,197,0,28106184,974534,14.00098589,1.8910137,0.93167092,0.05863608,0.69837198,0.0
2021-02-20,California,State,2627,12,196,0,156,1,27979385,1011117,13.46450508,1.836724,0.89913137,0.05651458,0.67702907,0.01412865
2021-02-21,California,State,2241,14,175,1,150,1,27926070,1028490,13.09682519,1.94459839,0.87015466,0.06944994,0.65223233,0.02777998
2021-02-23,California,State,3427,23,226,2,139,0,27669490,1183076,12.20890901,1.94408474,0.80594185,0.07245036,0.60458546,0.02415012
2021-02-24,California,State,3264,18,207,0,141,0,27527768,1301055,11.7465805,1.72387573,0.78414328,0.0549005,0.57915546,0.0219602
2021-02-27,California,State,2122,12,156,1,126,0,27130109,1637403,10.8793202,1.42211259,0.73982115,0.06979694,0.51339902,0.01744923
2021-03-07,California,State,1648,26,146,2,77,0,26319917,2418156,9.17447531,1.18744555,0.63558603,0.08861534,0.3587723,0.01772307
2021-03-14,California,State,1352,27,88,2,50,0,25349884,3333884,8.23221575,1.09267663,0.53761869,0.09855515,0.2654281,0.00428501
2021-03-18,California,State,1805,41,129,3,64,0,24584589,3898138,7.80337866,0.97482439,0.53169197,0.08795408,0.24405533,0.00366475
2021-03-20,California,State,1465,21,82,1,63,1,24182378,4147508,7.69509575,0.8714355,0.52281282,0.06888818,0.23511808,0.00688882
2021-03-21,California,State,1324,26,102,4,40,1,24088544,4202616,7.70846566,0.85660931,0.53315207,0.07478335,0.23010345,0.01019773
2021-03-25,California,State,1812,59,106,4,45,0,23291834,4775772,7.81512402,0.94823862,0.5010953,0.06580836,0.19197409,0.00598258
2021-03-29,California,State,2234,60,118,2,32,1,22573385,5349305,8.03474661,1.0335121,0.4980581,0.05341148,0.16327699,0.00801172
2021-04-01,California,State,1929,59,110,7,30,0,21801881,5846336,8.22668204,0.96763902,0.50781988,0.07086245,0.1566051,0.00977413
2021-04-02,California,State,1779,55,110,2,24,0,21534582,6030357,8.30027057,0.89310041,0.50682598,0.06159313,0.14793481,0.00473793
2021-04-14,California,State,1894,66,129,8,29,0,19068421,7818008,9.19770516,0.84420482,0.63755373,0.09319144,0.148338,0.0
2021-04-19,California,State,1807,92,150,8,26,2,17932900,8725936,8.89665682,0.73017136,0.65641522,0.08676924,0.13940857,0.00982293
2021-04-24,California,State,1064,63,96,11,22,0,16450939,10012720,8.67688204,0.7362064,0.65302395,0.07133783,0.13459935,0.00713378
2021-06-18,California,State,634,119,60,8,8,0,10462067,18976530,6.46416922,0.5638544,0.65816003,0.05420229,0.08739054,0.00376405
2021-06-23,California,State,849,165,70,13,3,1,10283997,19280763,7.21787175,0.75204493,0.72651019,0.05408796,0.06389956,0.00370465
2021-07-09,California,State,2369,709,212,25,15,1,9701862,20111593,20.27445866,2.77807077,1.87151114,0.12643738,0.1133803,0.00568258
2021-02-26,California,State,2800,30,204,1,133,1,27225420,1559418,11.10621723,1.49323108,0.75821997,0.06412649,0.5273433,0.02748278
2021-02-28,California,State,1855,14,154,1,128,1,27076639,1683143,10.69714957,1.38346619,0.73020247,0.06790018,0.5028056,0.01697505
2021-03-03,California,State,2641,41,143,2,97,2,26724938,2014141,9.72072281,1.23413122,0.66390639,0.07092708,0.44848427,0.02837083
