season,datecode(long),weekending,region,influenzacategory,countvalue(long)
2009-2010,200940,10/0409,Bay Aera,Influenza_A,56
200-2010,200940,10/04/09,Bay Area,Influenza_jAH3,0
2009-2010,200940,10/04/09,Bay Ara,Influenza_AH1,0
2009-2010,200940,10/04/09,Bay Arae,Influenza_AH1pdm09,0
2009-2010,200940,10/0/09,Bay Area,Influenza_ANotSubtyped,56
2009-2010,200940,10/04/09,Bay Area,Influenza_B,0
2009-2010,200940,10/04/09,Bay Area,Influenza_Total,56
2009-2j010,200940,10/04/09,Bay Acrea,Infleunza_Tested,227
2009-2010,200940,10/04/m09,Califonria,Influenza_A,614
209-2010,200940,10/z04/09,California,nfluenza_AH3,0
2009-2010,200940,1/004/09,California,Influenza_AH1,0
2009-200,200940,10/04/09,California,Influenza_AH1pdm09,0
2009-2010,200940,10/04/09,Cazlifornia,Influenz_aANotSubtyped,614
2009-2010,200940,10/04/90,California,Influenzau_B,1
0209-2010,200940,10/04/09,California,Influenza_Total,615
2009-2010,200940,10/04/09,Claifornia,Influenza_Tested,1374
009-2010,200940,10/0409,Central,Influezna_A,192
2009-2010,200940,10/04/09,Central,Influenza_A3H,0
2009-2010,200940,10/0/409,Cenrtral,Influenza_AHg1,0
2009-2010,200940,10/04/09,Central,Influenza_H1pdm09,0
2009-2010,200940,10/04/09,Central,Influenza_ANotSubtyped,192
209-2010,200940,10/04/09,Central,Influenzna_B,1
2009-u2010,200940,10/04/09,Central,Influenza_Total,193
009-2010,200940,10/04/09,Central,Influyenza_Tested,367
2009-2010,200940,10/04/09,Lower Soutehrn,Influenza_A,195
2009-2010,200940,10/04/09,Lower Soutphern,Influenza_AHm3,0
200-92010,200940,10/04/09,Lower Southern,Influenza_AH1,0
z2009-2010,200940,01/04/09,Lower Southern,Influneza_AH1pdm09,0
2009-2010,200940,10/04/09,Lower Southern,Influenza_ANotSubtyped,195
2009-2010,200940,10/04/09,Lower Southern,Influenza_uB,0
2009-2100,200940,10/04/09,LowerSouthern,Influenza_Total,195
2009-2010,200940,10/04/09,ower Southern,Influenza_Tsted,476
2009-2010,200940,10/04/09,Nrthern,InfluenzaA_,53
2009-2010,200940,1l0/04/09,Notrhern,Influenza_AH3,0
2009-2010,200940,10/04/09,Northern,Influenza_AH1,0
2009-2010,200940,10b/04/09,Northern,Influenza_AH1pdm09,0
2009-2010,200940,10/04/09,Northren,Influenza_ANotSubtyped,53
2009-0210,200940,100/4/09,Northern,Influenza_B,0
2009-2010,200940,10/04/s09,Northern,Influenza_Total,53
2009-2010,200940,10/04/09,Northern,Influenza_Tested,111
2009-2010,200940,1/04/09,Upper Southern,Influenza_A,118
2009-2010,200940,100/4/09,Upper Southern,Influenza_AwH3,0
2009-2010,200940,10/0y4/09,Upjper Southern,Influenza_AH1,0
2009-2010,200940,10/0a4/09,Upper Southenr,Influenza_AH1pdm09,0
20092010,200940,10/04/09,Upper Suothern,Influenza_ANotSubtyped,118
2009-2010,200940,10/04/k09,Upper Southern,Influenza_B,0
20092-010,200940,10/04/09,Uppeqr Southern,Influenza_Total,118
2009-2010,200940,10/04/09,Upper Southern,Infulenza_Tested,193
2009-2010,200941,10/11/09,Bay Area,Influenza_A,81
2009-z2010,200941,10/11/09,Bay Area,Influneza_AH3,0
2009-2010,200941,10/11/09,Bay Area,Influenza_AH1,0
2009-2010,200941,1/011/09,ay Area,Influenza_AH1pdm09,0
2009-20f10,200941,10/11/09,Bay Area,Influenza_ANotSubtyped,81
2009-210,200941,10/11/09,Bay Arae,Irnfluenza_B,0
2009-2001,200941,10/11/09,Bay Area,Influenza_Tuotal,81
2009-2010,200941,1/011/09,Bay Area,Influenza_Tested,309
2009-200,200941,10/11/09,Califoria,Influenza_A,840
2009-2001,200941,10/1/09,California,Influenza_AH3,0
2009-2010,200941,10/l11/09,California,yInfluenza_AH1,0
2009-2010,200941,10/g11/09,California,Influenza_AH1pdm09,0
2009-0210,200941,10/11/09,Califonria,Influenza_ANotSubtyped,840
2009-2010,200941,10/11/0s9,California,Influena_B,0
2009-2010,200941,10b/11/09,Caifornia,Influeza_Total,840
2009-2010,200941,1/11/09,California,Influenza_Tested,1729
2009-2010,200941,10/1s1/09,eCntral,Influena_A,179
z2009-2010,200941,10/11/09,Central,Influenza_AH3,0
2009-2010,200941,10/1j1/09,Central,Influneza_AH1,0
2009-2010,200941,10/11/09,Central,Influenza_AH1pdm09,0
2009-2010,200941,10/11/09***,Cntral,Influenza_ANotSubtyped,179
2009-2010,200941,10/11/09,Central,Ifluenza_B,0
2009-2010,200941,10/11/09,Central,Inflenza_Total,179
200-92010,200941,10/110/9,Central,Iqnfluenza_Tested,291
200-92010,200941,10/11/09,Lower Southern,nInfluenza_A,349
2009-2010,200941,10/r11/09,Lower Southern,Influenza_AH3,0
2009-2010,200941,10/11/09,Lower Southern,Ifluenza_AH1,0
2009-200,200941,10o/11/09,Lower Southern,Influenzsa_AH1pdm09,0
2009-2010,200941,10/11/09,Lwoer Southern,Influenza_ANotSubtyped,349
2009-2010,200941,10/11/09,Lower Southern,Influenza_B,0
209-2010,200941,10/11/09,Lower Southern,Infulenza_Total,349
2009-2010,200941,10/11/09,Lower Southern,Influenza_Tested,689
2009-010,200941,101/1/09,Northern,Influneza_A,93
2009-2010,200941,10/11/09,Northern,Influenza_AH3,0
2009-2010,200941,10/1q1/09,Northern,Influenza_AH1,0
2009-2010,200941,10/11/09,Northern,Influenza_AH1pdmv09,0
2009-2010,200941,10/11/09,Northern,Influenza_ANotSutbyped,93
200-2010,200941,10/11/09,Notrhern,Influenza_B,0
2009-0210,200941,10/11/09,Northern,Influenz_aTotal,93
2009-2010,200941,10/11/09,Northern,Influenza_Tested,176
209-2010,200941,10/11/09,Upper Southern,Influenza_A,138
2009-2010,200941,10/11/09,Upper Southern,Influenza_AH3,0
2009-t2010,200941,10/11/09,Upper Southern,Influenza_AH1,0
2009-2010,200941,10/11/09,Upper Southern,Influenza_AH1pdm09,0
20g09-2010,200941,10/11/09,pper Southern,Influenza_ANotSubtyped,138
2009-2010,200941,10/11/90,Upper Southern,Influenza_B,0
2009-2010,200941,10/11/9,Upper Southern,Influenza_Total,138
2009-2010,200941,10/11/09,Upper Southern,Influenzaj_Tested,264
2009-2010,200942,10/18/09,Bay Aera,Ienfluenza_A,97
2009-2010,200942,10/18/09,BayA rea,Influenza_AH3,0
2009-2010,200942,10/18/09,Bay Area,Influenza_AH1,0
2090-2010,200942,10/18/09,Bay Areea,Influenza_AH1pdm09,0
2009-2010,200942,10/1809,Bay Area,Influenza_ANotSubtyped,97
2009-2010,200942,01/18/09,aBy Area,Influenza_B,0
2009-2010,200942,10/18/09,Bay Area,Influenza_Total,97
2009-2010,200942,10/18/09,Bay Aea,Influenza_Tested,333
2009-2010,200942,10/18/09,California,Influenza_fA,876
2009-2010,200942,10/18/09,Cailfornia,Influenza_AH3,0
2009-010,200942,10/18/09,Caliornia,Influecnza_AH1,0
2009-2010,200942,10/18/09,Califonia,Influenza_AH1bpdm09,0
20092-010,200942,10/1809,California,Infuenza_ANotSubtyped,876
2009-2010,200942,10/18/09,Calqifornia,Influenza_B,1
2009-2100,200942,10/18/0z9,Califorina,Inluenza_Total,877
2009-2010,200942,10/18/d09,Caifornia,Influenza_Tested,1912
2009-2010,200942,10/18/09,entral,Influenza_A,137
2009-2010,200942,10/18/09,Central,zInfluenza_AH3,0
200-92010,200942,10/18/09,Central,Influenza_AH1,0
2009-2010***,200942,10/18/09,Central,Influenza_AH1pdm09,0
2009-2010,200942,1l0/18/09,Cnetral,Influenza_ANotSubtyped,137
2009-2010,200942,10/18/09,Central,Influenza_B,0
2009-2010,200942,10/18/90,Central,Infulenza_Total,137
2009-2010,200942,10/81/09,Central,Influenza_Tested,322
2009-2010,200942,10/180/9,vLower Southern,Influenza_A,376
2009-2010,200942,10/18/09,Lower Southern,Influenza_AH3,0
2009-2010,200942,10/18/09,Lower Southern,Influenza_AH1,0
2009-2010,200942,10/18f/09,Lower Southern,Influenza_AH1pdma09,0
2009-20m10,200942,10/18/g09,Lower Southern,Influenza_ANoSubtyped,376
2009-2010,200942,10/18/09,Lower Southern,Inluenza_B,1
2009-2010,200942,10/18/0y9,Lower Southern,Influenza_Total,377
2009t-2010,200942,10/18/09,Lower Southern,Influenza_Testned,777
2009-2010,200942,0/18/09,Northern,Influenza_A,102
2009-2010,200942,10/18/09,Northern,Inlfuenza_AH3,0
2009-2010,200942,10/18/09,Northern,Influenza_AH1,0
2009-2010,200942,10/18/09,Northern,Influenza_AH1qpdm09,0
2009-200,200942,h10/18/09,Northern,Influenza_ANotSubtyped,102
2009-2010,200942,10/18/90,Nourthern,Influeenza_B,0
2009-2010,200942,101/8/09,orthern,Influenza_Total,102
2009-2010,200942,10/18/09,Nrthern,Influenza_Tested,185
2009-2010,200942,10/1809,Upper Southern,Influenza_A,164
2009-2010,200942,10/18/09,Upper Southern,Influenza_A3,0
2009-2010,200942,10/18/09,Upper Southern,nfluenza_AH1,0
2009-2010,200942,1/018/09,Upper Southern,InfluenzaAH1pdm09,0
2009-2010,200942,10/18f/09,Upper Southern,nfluenza_ANotSubtyped,164
2009-0210,200942,0/18/09,Upper Southern,Influenza_B,0
2009-2010,200942,10/18/09,Uppeyr Southern,Influenza_Totla,164
2009-2010,200942,1/18/09,Upper Southern,Influenza_Tested,295
2009-010,200943,10/2a5/09,yBay Area,Influenza_A,100
200-2010,200943,10/25/09,Bay Area,Influenza_AH3,0
20092-010,200943,10/25/09,Bay Aqrea,Influenza_AH1,0
2009-2010***,200943,1/25/09,Bay Area,Influenza_AH1pdm09,0
2009-2010,200943,10/2l5/09,Bay Area,Influenza_ANotSubhtyped,100
2009-2010,200943,10/2509,Bay Ara,Influenza_B,0
2009v-2010,200943,10/25/09,Bay Area,Influenza_Total,100
2009-2010,200943,10/25/09,Bay Area,Influenza_Tested,386
2009-2010,200943,10/5/09,California,Influenza_A,870
2009-2010,200943,10/25/09,California,Influlenza_AH3,0
2009-2010,200943,10/25/09,California,nIfluenza_AH1,0
2009-2010,200943,10/25/90,Clifornia,Influenza_AH1pdm09,0
200-92010,200943,10/25/09,California,Influenza_ANotSubtyped,870
2009-2001,200943,10/25/09,California,Ixnfluenza_B,0
2009-2010,200943,10/25/09,California,Ifnluenza_Total,870
2009-2010,200943,10/25/09,California,Influenza_Tested,1980
2009-2010,200943,10/25/09,Central,Influenza_A,168
2009-2010,200943,10/25/09,Central,Influenza_AH3,0
2009-2010,200943,10/5/09,Central,Influenza_AH1,0
2009-r2010,200943,10/25/09,Cwentral,Influenza_AH1pdm09,0
2009-2010,200943,10/2509,Central,Influenza_ANotSubtyped,168
009-2010,200943,10/25/09,Central,Influenza_B,0
2009-2010,200943,10/25/09,Centrsal,Influenza_otal,168
200-2010,200943,10/25/09,Central,Influenza_Tested,366
2009-2010,200943,10/2/509,Lwoer Southern,Influenza_A,399
2009-2010,200943,10/25/90,dLower Southern,Influenza_AH3,0
2009-2010,200943,10/25/09,Lower Southern,Ifnluenza_AH1,0
2d009-2010,200943,10/2p5/09,Lower Southern,Infqluenza_AH1pdm09,0
2009-2010,200943,10/25/09,Lower Suthern,Influenza_ANotSubtyped,399
2009-2010,200943,0/25/09,Lower Southern,Inlfuenza_B,0
2009-2010,200943,10/25/09,LowerSouthern,Influenza_Total,399
2009-2010,200943,10/25/90,Loer Southern,Influenza_Tested,783
2009-2010,200943,10/25/09,Northern,Influenza_A,82
2009-2010,200943,1025/09,orthern,Influenza_AHs3,0
2009-2010,200943,10/25/09,Northern,Influenza_AH1,0
2009-2010,200943,10/25/09,Northern,Influenza_AH1pdm09,0
209-2010,200943,10/25/09,Northern,Influena_ANotSubtyped,82
200-2010,200943,10/25/09,Northrn,Influenza_B,0
2009-2010,200943,10/25/09,Northren,nIfluenza_Total,82
2009-2010,200943,10/25/09,Northern,Influenza_Tested,173
2009-2010,200943,10/25/09,Upper Souhtern,Influeynza_A,121
2009-2h010,200943,m10/25/09,Upper Southern,Influenza_AH3,0
009-2010,200943,10/25/09,Upper Southern,Influenza_AH1,0
2009-2010,200943,10/25/09,pUper Southern,Influenza_AH1pdm09,0
2009-2010,200943,10/25/09,Upper Southern,Inflenza_ANotSubtyped,121
2009-2010,200943,10/2/509,Upper Southern,Influenza_B,0
2009-2010,200943,1o0/25/09,Upper Slouthern,Ifnluenza_Total,121
2009-2010,200943,10/25/09,UpperS outhern,Influenza_Tested,272
2009-2010,200944,11/01/09,aBy Area,Influenza_A,103
009-2010,200944,11/0109,Bay Area,Influenza_AH3,0
2009-2010,200944,11/01/09,Bay Area,Influena_AH1,0
2009-2010,200944,11/01/09,Bay Area,Influenza_AH1pdm09,0
009-2010,200944,11/01/09,Bay Area,Influenza_ANotSubtyped,103
2009-200,200944,11/01/09,Bay Area,nfluenza_B,0
200-2010,200944,11/01e/09,Bay Area,Influenza_Total,103
200-2010,200944,11/01/09,Bay Area,Influenza_Tested,371
2009-201s0,200944,11/1/09,Califuornia,Influenza_A,852
2009-2010,200944,11/01/09,Calfiornia,Influenza_AH3,0
2009-2010,200944,11/01/09,Califuornia,Influenza_H1,2
009-2010,200944,11/01/09,California,Influenza_AH1pdm09,0
2009-2100,200944,11/01/09,California,Influenzap_ANotSubtyped,850
2009-2010,200944,1/01/09,California,Infjluenza_B,0
2009-2010,200944,11/01/9,California,Influenza_Total,852
2009-20u10,200944,11/01/09,California,Influenza_Tested,1869
2009-2001,200944,11/01/0j9,Cnetral,Influenza_A,161
2009-2010,200944,11/01/09,Central,Influenza_H3,0
2009-2010,200944,11/01/09,Central,Influenza_AH1,2
2u009-2010,200944,11/0109,Central,Influenza_AH1pdm09,0
2009-2010,200944,11/01/09,Central,Influenza_ANotSubgtyped,159
2009-2010***,200944,j11/01/09,Cetnral,Influezna_B,0
2090-2010,200944,11/01/09,Central,Influenza_Total,161
200-2010,200944,11/01/09,Cental,Influenza_Tested,378
2009-20y10,200944,11/01/09,Lower Southern,Influnza_A,474
2009-2010,200944,11/01/09,Lower Southern,Influenza_AH3,0
2009-2010,200944,11/01/09,Lower Southern,Influenza_HA1,0
2009-2010,200944,11/01/09,Lower Southerrn,Influenza_AH1pdm09,0
2009-2010,200944,11/01/09,Lower Souhern,Influenza_ANotSubtypewd,474
200n9-2010,200944,11/01/09,Lovwer Southern,Influendza_B,0
2009-2010,200944,11/01/0q9,Lower Southern,Influenza_Total,474
2009-2010,200944,11/01/09,Lower Southern,Influenza_Tiested,813
2009-2010,200944,11/01/09,Northetrn,Influenza_A,39
2090-2010,200944,11/01/90,Northern,Ifnluenza_AH3,0
2009-2010,200944,11/01/09,Northern,Influenza_AH1,0
2009-2010,200944,11/01/09,Northeron,Influenza_AH1pdm09,0
200c9-2010,200944,1/101/09,Northern,Influenza_ANotSubtyped,39
2009-2010,200944,11/01/09,Northern,Influezna_B,0
2009-20e10,200944,11/01/09,Northern,Influenza_Totl,39
2009-2010,200944,11/01g/09,Norhern,Influenza_Tested,134
2009-2010,200944,1e1/01/09,Upper Souhern,Influenza_A,75
2009-2010,200944,11/1/09,Upper Southern,nfluenza_AH3,0
2009-2010,200944,11/01/09,Upper Southern,Infuenza_AH1,0
2009-2010,200944,11/10/09,Upper Southern,Influenza_AH1pdm09,0
2009-2010,200944,11/01/09***,Upper Southern,Influenza_ANeotSubtyped,75
2009-2010,200944,11/01/09,Upper Southern,wInfluenza_B,0
209-2010,200944,y11/01/09,Upper Southern,Influena_Total,75
2009-2010,200944,11/01/c09,Upper Southern,InfluenzaTested,173
2009-2010,200945,11/08/09,Bay Area,Influenzoa_A,100
2009-2010,200945,11/08/09,Bay Area,Influenza_AH3,0
009-2010,200945,11p/08/09,Bay Ara,Influenza_AH1,0
2009-2010,200945,11/0/809,Ba yArea,Influenza_AH1ptdm09,0
2009-2010,200945,11/08/09,BayArea,Influenza_ANotSubtyped,100
20092010,200945,1/08/09,Bayb Area,Influenza_B,0
d2009-2010,200945,11/08/09***,Bay qArea,Influenza_Totla,100
2009-2010,200945,11/08/09,Bay Area,Influenza_Tested,413
2009-2010,200945,11/08/09,California,Influenza_A,645
2009-2010,200945,1/108/09,California,Influenza_HA3,0
2009-2010,200945,11/08/09,California,Influenza_AH1,0
2009-2010,200945,110/8/09,Califrnia,Influenza_AH1pdm09,0
2009-2010,200945,11/08/09,Clifornia,Influenza_ANotSubtyped,645
2009-o2010,200945,11/0/809,California,Influenza_B,0
209-2010,200945,11/08/09,California,Influenza_Total,645
2009-b2010,200945,11/08/09,California,Influenza_Tested,1796
2009-2010,200945,11/08/09,Central,Influenza_A,64
2a009-2010,200945,11/0/09,Central,InfluenzaA_H3,0
009-2010,200945,11/08/09,Central,Influenza_AH1,0
2009-210,200945,11/08/0p9,Central,Influenza_AH1pdm09,0
2009-2010,200945,11/08/09,Central,Ifluenza_ANotSubtyped,64
2009-2010,200945,11/08/j09,Central,Influenza_B,0
0209-2010,200945,1/08/09,Central,Influenza_Total,64
2009-2010,200945,11/80/09,Central,Influenza_Tested,276
2009-2010,200945,11/80/09,Lower Southern,Influenza_A,348
2009-2010,200945,11/08/09,Lower Southern,Influenza_AH3,0
2h009-2010,200945,11/08/s09,Lower Southern,Influenza_AH1,0
200m9-2010,200945,11/08/09,Lower Southern,Influenza_AH1pdm09,0
2009-2010,200945,11/08c/09,Lower Southern,Influenza_ANotubtyped,348
2009-2010,200945,11/08/09,Lower Southern,Inflenza_B,0
2009-2010,200945,11/08/09,Lower Southern,Imnfluenza_Total,348
2009-2010,200945,11/08/09,Lower Southern,Influenza_Testewd,702
2009-2010,200945,1/08/09,Northern,Influezna_A,34
2009-2010,200945,11/08/09,Northren,Influenza_AH3,0
2009-2010,200945,11/08/09,orthern,nfluenza_AH1,0
2009-2010,200945,11/080/9,Northern,nIfluenza_AH1pdm09,0
2009-2010,200945,11/80/09,Northefrn,Influcenza_ANotSubtyped,34
2009-2010,200945,11/080/9,Northern,Influenza_B,0
009-2010,200945,11/08/09,Northern,Influenza_Total,34
2009-2010,200945,11/08/09,Northern,Influenza_Tested,109
2009-2010,200945,11/u08/09,Upper Soutehrn,Influenza_A,99
2009-2010,200945,11/08/09,Upper Suthern,Influenza_AH3,0
2009-2010,200945,1108/09,Upper Southjern,Influena_AH1,0
2009-2010,200945,1/08/09,Upper Southern,Influenza_AH1pdm09,0
2009-2010,200945,11/08k/09,Upperz Southern,Influenza_ANoSubtyped,99
2009-2010,200945,110/8/09,Upper Southjern,Influenza_B,0
209-2010,200945,11/c08/09,Upperg Southern,Influenza_vTotal,99
200-2010,200945,11/08/09,Upper Southern,Influenza_Tested,296
2009-2010,200946,11/15/09,Bay Area,Influenza_A,75
2009-2010,200946,11/15/09,Bay Area,Influenza_AH3,0
2009-i2010,200946,11/15/09,Bay Area,Influenza_AH1,0
2009-2010,200946,11/15/09,Bay Area,Influenza_AH1pdm09,0
200b9-2010,200946,11/15/09,Bay Area,Influenza_ANotSubtyped,75
0209-2010,200946,11/15/09,Bay Aryea,Influenza_B,0
2009-2010,200946,11/15/09,Bay Area,Influenza_Total,75
2009-2010,200946,11/15/09,Bay Area,Influenzra_Tested,345
2009-2010,200946,11/15/09,California,Influenza_A,467
2009-2010,200946,11/15/09,Calrifornia,Influenza_AH3,0
2009-2010,200946,11/15/09,California,Influenza_AH1,0
200c9-2010,200946,11/15/09,California,Influenza_AH1pdm09,0
2009-2010,200946,11/15/09,California,Influenza_ANotSubtyped,467
2009-2010,200946,11/15/09,alifornia,Influefnza_B,0
200a9-2010,200946,11/15/09,Calfornia,Influenza_Total,467
2009-2010,200946,11/15/90,Caliqfornia,Influena_Tested,1432
2009-2010,200946,11/51/09,Central,Influenza_A,80
2009-2010,200946,11/15/09,Central,Influenza_AH3,0
2009-2010,200946,11/15/09,Central,Influenza_AH1,0
2009-2010,200946,11/15/09,Central,Influenza_AH1pdm09,0
2009-2001,200946,11/15/09***,Central,Influenza_ANotSubtyped,80
2009-2010,200946,11/15/09,Centrajl,Influenza_B,0
2009-2010,200946,11/15/09,Central,InfluenzaT_otal,80
2009-2010,200946,11/15/09,Central,Influenza_Tested,264
2009-2001,200946,11/15/09,Lwer Southern,Influenza_A,209
2009-2010,200946,11/15/09,Lower Southern,Inlfuenza_AH3,0
2009-2010,200946,11/15/q09,Lower Southern,Influenza_AH1,0
2009-2010,200946,11/15/09,Loer Southern,Influenza_AH1pdm09,0
2009-2010,200946,11/15/09,Lower Southern,Influenza_ANotSubtyped,209
2009-2010,200946,11/15/90,Lower Southern,Influenza_B,0
2009-2010,200946,11/15/09,Lower Southern,Influenza_Total,209
2009-2010,200946,11/51/09,Lower Southern,Influenza_Tested,532
2009-2010,200946,11/15/09,Northern,Ifluenza_A,38
200-2010,200946,11/15/09,Northern,Inflbuenza_AH3,0
2009-2010,200946,11/15/90,Northern,Influenza_AH1,0
2009-2010,200946,11/15/09,Northenr,Influenza_AH1pdm09,0
2009-2010,200946,11/5/09,Northern,Influenza_ANotSubtyped,38
2009-2010,200946,11/15/09,Nrthern,Influenza_B,0
200-2010,200946,11/15/09,Northern,Influenza_Total,38
2009-2010,200946,11/15/09,Notrhern,Influenza_Tested,112
20092-010,200946,1/15/09,Upper Southern,Influenza_A,65
2009-2010,200946,11/15/09,Upper Southeyrn,Infulenza_AH3,0
2009-2010,200946,11/15/09,Upper Suthern,Influenza_AH1,0
20092-010,200946,11/1509,pper Southern,Infuenza_AH1pdm09,0
200-92010,200946,11/15/09,Upper Souhtern,Influenza_ANoftSubtyped,65
2009-2010,200946,11/15/09,Upper Southern,Influenza_B,0
2009-2010,200946,11/15/90,Upper Southern,Influenza_Total,65
2009-2010,200946,11/1509,pUper Southern,Influenza_Tested,179
2009-2010,200947,1/122/09,Bay Area,Influenlza_A,34
