65.category,Parent Educatin,Parent Education
28.type,aMle,Male
13.type,Asia/nOther,Asian/Other
68.category,Physical Actviity,Physical Activity
8.category,Gendr by Age- Female,Gender by Age- Female
62.agegroup,Child (6-1f1),Child (6-11)
31.category,Aeg,Age
26.agegroup,Adxolescent (12-17),Adolescent (12-17)
67.category,Physical Activtiy,Physical Activity
16.agegroup,Adolescent 12-17),Adolescent (12-17)
32.type,35 -5 0,35 - 50
49.category,Physical Atcivity,Physical Activity
56.category,Geznder,Gender
3.agegroup,Adolesent (12-17),Adolescent (12-17)
57.type,oFemale,Female
35.agegroup,Adlult (18+),Adult (18+)
38.type,sian/Other,Asian/Other
20.category,Physical Actiity,Physical Activity
4.category,Gender oby Age- Male,Gender by Age- Male
24.type,articipant,Participant
17.agegroup,Adxolescent (12-17),Adolescent (12-17)
42.type,Collge Graduate,College Graduate
16.category,lIncome,Income
7.type,1l2-13,12-13
64.type,Less than High Scahool,Less than High School
44.category,Inmcome,Income
58.type,-8,6-8
35.type,Whiet,White
60.agegroup,Child (6-11)***,Child (6-11)
4.type,h12-13,12-13
10.type,hite,White
68.type,< 60 minrutes,< 60 minutes
18.category,Icome,Income
31.type,52 - 34,25 - 34
61.type,African Ameican,African American
66.agegroup,Chlid (6-11),Child (6-11)
65.type,High School rGaduate,High School Graduate
53.type,"Likely Eligigble, ≤ 130%","Likely Eligible, ≤ 130%"
39.type,Less than High Shcool,Less than High School
45.type,"$25,000 - 34,a999","$25,000 - 34,999"
52.agegroup,Adul t(18+),Adult (18+)
19.category,Inucome,Income
27.type,Tkotal,Total
21.agegroup,Adolescent (12-71),Adolescent (12-17)
11.category,Rac/eEthnicity,Race/Ethnicity
33.agegroup,Admult (18+),Adult (18+)
30.agegroup,Adul (18+),Adult (18+)
63.category,Race/Ehtnicity,Race/Ethnicity
3.type,Femkale,Female
41.type,Some Collgee,Some College
14.type,"aLess than $15,000","Less than $15,000"
55.type,Toal,Total
6.category,Gender by Age- Mael,Gender by Age- Male
6.agegroup,dAolescent (12-17),Adolescent (12-17)
12.category,Racoe/Ethnicity,Race/Ethnicity
34.type,6+5,65+
6.type,16-1n7,16-17
57.category,ender,Gender
69.category,OverweightS tatus,Overweight Status
35.category,Race/Ethniicty,Race/Ethnicity
53.agegroup,dAult (18+),Adult (18+)
57.agegroup,Child (6y-11),Child (6-11)
44.agegroup,Adult(18+),Adult (18+)
22.category,Overewight Status,Overweight Status
60.category,Race/Etkhnicity,Race/Ethnicity
15.category,Icome,Income
32.category,Ae,Age
20.type,Regluar,Regular
70.type,Overrweight/Obese,Overweight/Obese
9.type,1-617,16-17
3.category,ender,Gender
48.category,Physical Acivity,Physical Activity
50.agegroup,Adult (8+),Adult (18+)
49.agegroup,Adult(18+),Adult (18+)
16.type,"$25,000 - 34,999***","$25,000 - 34,999"
26.type,"Not Elgiible, > 185% ","Not Eligible, > 185% "
