54.notes,Fre-eStanding rehabilitation hospital,Free-Standing rehabilitation hospital
13.hai,Methicipllin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI)
58.county,Hufmboldt,Humboldt
61.statevalue,Clifornia,California
26.county,Sorlano,Solano
13.county,Santa Cara,Santa Clara
46.statevalue,Califrnia,California
3.notes,Free-Standing rehabilitatioon hospital,Free-Standing rehabilitation hospital
30.notes,Free-Standign rehabilitation hospital,Free-Standing rehabilitation hospital
35.comparison,nNo Difference,No Difference
38.hai,Methicillin-Resistant Staphyolcoccus aureus Bloodstream Infection (MRSA BSI),Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI)
12.comparison,No Diffeence,No Difference
43.hai,Methicillin-Resistant Staphylocccus aureus Bloodstream Infection (MRSA BSI),Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI)
33.statevalue,alifornia,California
3.hai,Methicillin-Resistant Staphylococcus aureus Bloodstrearm Infection (MRSA BSI),Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI)
35.facilitynameone,Mercy General Hokspital,Mercy General Hospital
18.hai,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BS)I,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI)
43.comparison,No Diffeence,No Difference
35.notes,Free-Standing rehabilitation hopspital,Free-Standing rehabilitation hospital
10.county,iRverside,Riverside
40.hai,Methicillin-Resistant Staphylooccus aureus Bloodstream Infection (MRSA BSI),Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI)
6.county,Los Angxeles,Los Angeles
32.facilitynameone,Lng Beach Memorial Medical Center,Long Beach Memorial Medical Center
31.facilitynameone,Loma Linda Universtiy Medical Center,Loma Linda University Medical Center
19.yearvalue,1335,2015
45.county,San Farncisco,San Francisco
38.facilitynameone,Natiidad Medical Center,Natividad Medical Center
36.comparison,No Difhference,No Difference
59.yearvalue,1242,2015
25.hai,MethicillinR-esistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI)
31.county,San Beranrdino,San Bernardino
26.comparison,No Difwference,No Difference
25.notes,Free-Standinkg rehabilitation hospital,Free-Standing rehabilitation hospital
59.statevalue,aCalifornia,California
60.comparison,No aDifference,No Difference
39.notes,Free-Standing rehabilitation ehospital,Free-Standing rehabilitation hospital
29.notes,Free-Standing rehabilitation hospiktal,Free-Standing rehabilitation hospital
61.notes,Free-Standing rehabilitation hospitla,Free-Standing rehabilitation hospital
8.notes,Free-Standing rehabijlitation hospital,Free-Standing rehabilitation hospital
59.hai,Methicillin-Resistant Staphylococcus arueus Bloodstream Infection (MRSA BSI),Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI)
37.facilitynameone,Mission Hopsital Regional Medical Center,Mission Hospital Regional Medical Center
62.yearvalue,1446,2015
30.hai,Methicillin-Resstant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI)
32.comparison,o Difference,No Difference
62.county,LosA ngeles,Los Angeles
60.facilitynameone,University of California Davis uMedical Center,University of California Davis Medical Center
52.notes,Free-Standing rehabilitation hospitla,Free-Standing rehabilitation hospital
7.statevalue,Calixfornia,California
2.statevalue,Caglifornia,California
5.notes,Free-Stading rehabilitation hospital,Free-Standing rehabilitation hospital
50.notes,Free-Standing rehabilitation hospitmal,Free-Standing rehabilitation hospital
53.county,Venmtura,Ventura
39.statevalue,alifornia,California
27.statevalue,Calfiornia,California
58.notes,Frdee-Standing rehabilitation hospital,Free-Standing rehabilitation hospital
14.yearvalue,1512,2015
