yearvalue(long),statevalue,hai,facilityidone(long),facilitynameone,county,hospitalonsetcases(long),patientdays(long),hospitalonsetrate(double precision),cininefivelowerlimit(double precision),cininefiveupperlimit(double precision),comparison,notes
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),140000425,Alta Bates Summit Medical Center,Alameda,0,16011,0.0,0.0,1.87,No Difference,Free-Standing rehabilitation hospital
2015,Caglifornia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),90000013,Alvarado Hospital Medical Center,San Diego,0,1963,0.0,0.0,15.26,No Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstrearm Infection (MRSA BSI),240001218,Ballard Rehabilitation Hospital,San Bernardino,0,16173,0.0,0.0,1.85,No Difference,Free-Standing rehabilitatioon hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),220000023,California Pacific Medical Center - Davies Campus Hospital,San Francisco,0,9882,0.0,0.0,3.03,No Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),930000020,Casa Colina Hospital and Centers for Healthcare,Los Angeles,0,22045,0.0,0.0,1.36,No Difference,Free-Stading rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),930000004,Cedars-Sinai Medical Center,Los Angxeles,0,9139,0.0,0.0,3.28,No Difference,Free-Standing rehabilitation hospital
2015,Calixfornia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),930000070,Citrus Valley Medical Center - IC Campus,Los Angeles,0,2589,0.0,0.0,11.57,No Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),70000137,Community Hospital of The Monterey Peninsula,Monterey,0,2993,0.0,0.0,10.01,No Difference,Free-Standing rehabijlitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),40000101,Community Regional Medical Center,Fresno,0,9152,0.0,0.0,3.27,No Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),250000008,Desert Regional Medical Center,iRverside,0,11273,0.0,0.0,2.66,No Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),70000139,Dominican Hospital,Santa Cruz,0,5761,0.0,0.0,5.2,No Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),250000011,Eisenhower Medical Center,Riverside,0,4645,0.0,0.0,6.45,No Diffeence,Free-Standing rehabilitation hospital
2015,California,Methicipllin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),70000136,El Camino Hospital Los Gatos,Santa Cara,0,6446,0.0,0.0,4.65,No Difference,Free-Standing rehabilitation hospital
1512,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),230000405,Enloe Rehabilitation Center,Butte,0,6753,0.0,0.0,4.44,No Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),930000058,Garfield Medical Center,Los Angeles,0,6823,0.0,0.0,4.39,No Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),930000059,Glendale Adventist Medical Center,Los Angeles,0,7265,0.0,0.0,4.12,No Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),930000093,Glendale Memorial Hospital and Health Center,Los Angeles,0,3585,0.0,0.0,8.36,No Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BS)I,70000153,"Good Samaritan Hospital, San Jose",Santa Clara,0,4998,0.0,0.0,5.99,No Difference,Free-Standing rehabilitation hospital
1335,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),80000045,Grossmont Hospital,San Diego,0,7351,0.0,0.0,4.08,No Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),120000555,Healthsouth Bakersfield Rehabilitation Hospital,Kern,0,20981,0.0,0.0,1.43,No Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),60001097,Healthsouth Tustin Rehabilitation Hospital,Orange,0,14481,0.0,0.0,2.07,No Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),140000034,Highland Hospital,Alameda,0,1660,0.0,0.0,18.05,No Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),930000065,Hollywood Presbyterian Medical Center,Los Angeles,0,4489,0.0,0.0,6.67,No Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),930000026,Huntington Memorial Hospital,Los Angeles,0,2373,0.0,0.0,12.62,No Difference,Free-Standing rehabilitation hospital
2015,California,MethicillinR-esistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),140000187,John Muir Medical Center - Walnut Creek Campus,Contra Costa,0,8207,0.0,0.0,3.65,No Difference,Free-Standinkg rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),110000011,"Kaiser Foundation Hospital and Rehab Center, Vallejo",Sorlano,0,16685,0.0,0.0,1.8,No Difwference,Free-Standing rehabilitation hospital
2015,Calfiornia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),120001444,Kaweah Delta Medical Center,Tulare,0,7542,0.0,0.0,3.97,No Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),930000912,Keck Hospital of USC,Los Angeles,0,3812,0.0,0.0,7.86,No Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),220000012,Laguna Honda Hospital & Rehabilitation Center,San Francisco,0,431,0.0,0.0,69.51,No Difference,Free-Standing rehabilitation hospiktal
2015,California,Methicillin-Resstant Staphylococcus aureus Bloodstream Infection (MRSA BSI),30000139,Lodi Memorial Hospital,San Joaquin,0,2260,0.0,0.0,13.26,No Difference,Free-Standign rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),240000027,Loma Linda Universtiy Medical Center,San Beranrdino,2,17881,1.12,0.14,4.04,Higher,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),930000095,Lng Beach Memorial Medical Center,Los Angeles,0,6888,0.0,0.0,4.35,o Difference,Free-Standing rehabilitation hospital
2015,alifornia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),50000553,Los Robles Hospital & Medical Center - East Campus,Ventura,0,6252,0.0,0.0,4.79,No Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),50000009,"Marian Regional Medical Center, Arroyo Grande",San Luis Obispo,0,5457,0.0,0.0,5.49,No Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),30000124,Mercy General Hokspital,Sacramento,0,6602,0.0,0.0,4.54,nNo Difference,Free-Standing rehabilitation hopspital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),930000096,Methodist Hospital of Southern California,Los Angeles,0,6795,0.0,0.0,4.41,No Difhference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),60000060,Mission Hopsital Regional Medical Center,Orange,0,4930,0.0,0.0,6.08,No Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphyolcoccus aureus Bloodstream Infection (MRSA BSI),70000145,Natiidad Medical Center,Monterey,1,6869,1.46,0.04,8.11,No Difference,Free-Standing rehabilitation hospital
2015,alifornia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),930000111,Northridge Hospital Medical Center,Los Angeles,0,4183,0.0,0.0,7.16,No Difference,Free-Standing rehabilitation ehospital
2015,California,Methicillin-Resistant Staphylooccus aureus Bloodstream Infection (MRSA BSI),80000142,Palomar Health Downtown Campus,San Diego,0,7669,0.0,0.0,3.91,No Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),90000145,Paradise Valley Hospital,San Diego,0,2343,0.0,0.0,12.79,No Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),930000066,Providence Holy Cross Medical Center,Los Angeles,0,2875,0.0,0.0,10.42,No Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylocccus aureus Bloodstream Infection (MRSA BSI),930000157,Providence Little Company of Mary Medical Center San Pedro,Los Angeles,0,4946,0.0,0.0,6.06,No Diffeence,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),110000041,Queen of the Valley Medical Center,Napa,0,2908,0.0,0.0,10.3,No Difference,Free-Standing rehabilitation hospital
