7149.servicetype,Bunlded,Bundled
8478.statevalue,MvO,MO
19011.ownership,Cooeprative,Cooperative
13550.servicetype,Bumndled,Bundled
16886.ownership,Coopreative,Cooperative
1247.utilityname,Benton Rural Eletcric Assn,Benton Rural Electric Assn
10148.utilityname,Lake Region Electric aCooperative - (MN),Lake Region Electric Cooperative - (MN)
14758.ownership,Coopeartive,Cooperative
16417.ownership,Cooperaltive,Cooperative
18830.statevalue,A,WA
17983.servicetype,Budnled,Bundled
4860.statevalue,vKY,KY
5303.ownership,Coopelrative,Cooperative
21042.ownership,Cooeprative,Cooperative
24684.statevalue,C,NC
10141.servicetype,uBndled,Bundled
6401.utilityname,Excelsior Elcetric Member Corp,Excelsior Electric Member Corp
18678.utilityname,Three Rivers Electric oop,Three Rivers Electric Coop
15427.utilityname,Oklgahoma Electric Coop Inc,Oklahoma Electric Coop Inc
26518.utilityname,Taylor Electric Coop Inc -(TX),Taylor Electric Coop Inc - (TX)
2397.ownership,Coopuerative,Cooperative
22779.servicetype,Bunled,Bundled
22995.servicetype,Bundeld,Bundled
18746.ownership,ooperative,Cooperative
13703.statevalue,NoD,ND
17873.ownership,Plitical Subdivision,Political Subdivision
11281.servicetype,Bundld,Bundled
5002.utilityname,Cuivre River Electric Coopi Inc,Cuivre River Electric Coop Inc
3078.ownership,Cooperativpe,Cooperative
14542.ownership,Cooerative,Cooperative
12870.ownership,Muicipal,Municipal
13650.servicetype,Bunidled,Bundled
10223.ownership,Coopreative,Cooperative
10764.ownership,Cooperatiev,Cooperative
17084.statevalue,IW,WI
10146.utilityname,Lake Region Electrick Cooperative - (MN),Lake Region Electric Cooperative - (MN)
26638.utilityname,Great Lakes Energy Coop***,Great Lakes Energy Coop
11577.statevalue,D,ND
26382.servicetype,Bumndled,Bundled
15989.statevalue,hTX,TX
26567.statevalue,L,FL
27092.utilityname,Valley Rural lEectric Coop Inc,Valley Rural Electric Coop Inc
9801.statevalue,K,OK
21342.statevalue,LA,AL
19823.utilityname,outheastern Electric Coop Inc - (OK),Southeastern Electric Coop Inc - (OK)
23782.statevalue,X,TX
17365.servicetype,Budnled,Bundled
4299.statevalue,XT,TX
3410.utilityname,"Claiborne Electric Coop,w Inc","Claiborne Electric Coop, Inc"
1048.utilityname,Beauregard Electric Coop Inc,"Beauregard Electric Coop, Inc"
20324.ownership,Coopenrative,Cooperative
26221.statevalue,SM,MS
10902.statevalue,YN,NY
2178.utilityname,CMS Electric Cop Inc,CMS Electric Coop Inc
18285.statevalue,X,TX
3688.servicetype,Bundlde,Bundled
5623.ownership,Politiacl Subdivision,Political Subdivision
15353.servicetype,Bunled,Bundled
23761.statevalue,X,TX
22468.utilityname,Tennessee Valley Authoirty,Tennessee Valley Authority
24724.ownership,ooperative,Cooperative
12028.utilityname,"McLean Electric Coo, Inc","McLean Electric Coop, Inc"
13192.servicetype,Bundld,Bundled
25282.ownership,Muniicpal,Municipal
15571.ownership,Cooperatiev,Cooperative
891.servicetype,Bndled,Bundled
3164.statevalue,K,OK
19810.servicetype,uBndled,Bundled
24529.servicetype,iBundled,Bundled
27299.ownership,oCoperative,Cooperative
9983.servicetype,Buandled,Bundled
8601.servicetype,undled,Bundled
6398.servicetype,Bnudled,Bundled
12585.servicetype,Bundlfed,Bundled
23563.servicetype,Beundled,Bundled
425.servicetype,Budndled,Bundled
6144.ownership,ooperative,Cooperative
14286.ownership,Cooperatxive,Cooperative
17556.statevalue,CN,NC
25079.statevalue,O,MO
26411.servicetype,Bcundled,Bundled
18857.statevalue,qTN,TN
25363.statevalue,OM,MO
27930.ownership,Cooperaitve,Cooperative
22850.servicetype,Bundgled,Bundled
853.ownership,Cooprative,Cooperative
6195.utilityname,Eastern Iwoa Light & Power Coop,Eastern Iowa Light & Power Coop
55.utilityname,A & N Electirc Coop,A & N Electric Coop
25489.statevalue,IW,WI
4015.servicetype,Bundld,Bundled
8235.statevalue,AW,WA
22714.statevalue,fTN,TN
19592.statevalue,Y,KY
17116.ownership,Cooperatve,Cooperative
20431.ownership,Cooperatiev,Cooperative
12197.statevalue,X,TX
10255.statevalue,TzX,TX
12330.ownership,Cooperatiev,Cooperative
27492.ownership,ooperative,Cooperative
27744.ownership,Cooperatie,Cooperative
27442.statevalue,AP,PA
15930.servicetype,undled,Bundled
3430.statevalue,A,LA
16030.statevalue,N,MN
20775.statevalue,AM,MA
6246.ownership,Cooerative,Cooperative
27015.ownership,Cooperatvie,Cooperative
22794.utilityname,Tennessee Valley Authoriwty,Tennessee Valley Authority
5253.ownership,Coopreative,Cooperative
27884.statevalue,DN,ND
2704.ownership,Cooperativee,Cooperative
27654.ownership,Cooqperative,Cooperative
6115.servicetype,Bunled,Bundled
1064.ownership,ooperative,Cooperative
20685.ownership,Coopezrative,Cooperative
12024.utilityname,"McLean Elenctric Coop, Inc","McLean Electric Coop, Inc"
25748.servicetype,uBndled,Bundled
3567.servicetype,Bundlead,Bundled
8894.utilityname,Irwin Elerctric Membership Corp,Irwin Electric Membership Corp
27145.utilityname,Valley Rural Electrixc Coop Inc,Valley Rural Electric Coop Inc
23359.servicetype,Bundlmed,Bundled
21377.utilityname,Tennessee alley Authority,Tennessee Valley Authority
14775.servicetype,Bundeld,Bundled
13339.servicetype,Byundled,Bundled
1917.utilityname,"Broad RiverElectric Coop, Inc","Broad River Electric Coop, Inc"
20537.utilityname,City Utilities of Sprinmgfield - (MO),City Utilities of Springfield - (MO)
13078.utilityname,Maquoketa Valley Rrl Elec oop,Maquoketa Valley Rrl Elec Coop
7604.servicetype,Bundeld,Bundled
19192.statevalue,AI,IA
7654.utilityname,Gradn Valley Power,Grand Valley Power
359.utilityname,Alger-Delta Coop Elcetric Assn,Alger-Delta Coop Electric Assn
2077.utilityname,Cit of Burbank Water and Power,City of Burbank Water and Power
26364.statevalue,DN,ND
3926.statevalue,OC,CO
20639.ownership,Coopeative,Cooperative
11601.utilityname,Lower Vallbey Energy Inc,Lower Valley Energy Inc
18076.ownership,Poliical Subdivision,Political Subdivision
11335.statevalue,AC,CA
19383.servicetype,Bundlde,Bundled
26554.statevalue,XT,TX
16151.utilityname,"Paulding-PutmanElec Coop, Inc","Paulding-Putman Elec Coop, Inc"
12260.statevalue,TtN,TN
9005.utilityname,JacksonCounty Rural E M C - (IN),Jackson County Rural E M C - (IN)
5353.statevalue,XT,TX
19269.statevalue,D,SD
550.utilityname,Connexsu Energy,Connexus Energy
15222.ownership,Coopertaive,Cooperative
20432.statevalue,MN,NM
16464.statevalue,CN,NC
24036.utilityname,Union Electric Membership Coorp - (NC),Union Electric Membership Corp - (NC)
20713.ownership,Cooperative***,Cooperative
22109.servicetype,Bundeld,Bundled
7170.utilityname,French Brkoad Elec Member Corp,French Broad Elec Member Corp
14613.ownership,Cooperatiev,Cooperative
24857.servicetype,Bunlded,Bundled
14560.ownership,Coperative,Cooperative
12177.utilityname,Mecklenburg Electric Cooperatvie,Mecklenburg Electric Cooperative
23544.statevalue,YK,KY
7933.utilityname,Hancock-Womod Electric Coop Inc,Hancock-Wood Electric Coop Inc
9101.statevalue,AG,GA
9042.servicetype,Bundlde,Bundled
16518.statevalue,KyY,KY
14389.servicetype,aDelivery,Delivery
515.ownership,Municiapl,Municipal
8114.statevalue,IfN,IN
27904.servicetype,Bunled,Bundled
9750.statevalue,IW,WI
20769.statevalue,HO,OH
7826.utilityname,Guernsey-Muskingumu El Coop Inc,Guernsey-Muskingum El Coop Inc
12379.utilityname,odak Electric Coop Inc,Nodak Electric Coop Inc
7223.servicetype,Buundled,Bundled
5169.utilityname,Davises Martin County R E M C,Daviess Martin County R E M C
13330.servicetype,Bjundled,Bundled
9702.servicetype,Bunlded,Bundled
27213.statevalue,A,PA
27200.statevalue,AP,PA
20813.utilityname,TallapoosaR iver Elec Coop Inc,Tallapoosa River Elec Coop Inc
23328.servicetype,Bundwled,Bundled
15994.ownership,Municipl,Municipal
25875.statevalue,AV,VA
4097.ownership,Cooeperative,Cooperative
3478.servicetype,undled,Bundled
21819.ownership,eFderal,Federal
5888.utilityname,East Mississipi Elec Pwr Assn,East Mississippi Elec Pwr Assn
