79.fax,(918) 772-276,(918) 772-2766
377.mailingaddress,"200 South Pettit Avenue
Hominy, O 74035
(36.41436251500045, -96.39133464999969)","200 South Pettit Avenue
Hominy, OK 74035
(36.41436251500045, -96.39133464999969)"
20.websiteurl,http://www.beaver.k12.ok.su/,http://www.beaver.k12.ok.us/
461.districtname,STROTER,STROTHER
133.districtname,WEATEHRFORD,WEATHERFORD
425.superintendent,Mathew Riggs,Matthew Riggs
69.boardpresident,Kent Dnoica,Kent Donica
180.districtname,POND CREKE-HUNTER,POND CREEK-HUNTER
103.mailingaddress,"400 S Tiger Blvd
Sterling, OfK 73567
(34.750174065000465, -98.17082953399967)","400 S Tiger Blvd
Sterling, OK 73567
(34.750174065000465, -98.17082953399967)"
128.mailingaddress,"144 S. Elm
Kellyville, OK 74039
(35.942395339000484, r-96.2133756349997)","144 S. Elm
Kellyville, OK 74039
(35.942395339000484, -96.2133756349997)"
467.websiteurl,http://www.moffett.k12.ok.us***,http://www.moffett.k12.ok.us
36.boardpresident,Mary Jo Joies,Mary Jo Joines
384.code,5I023,58I023
170.code,2I001,26I001
125.code,1I018,19I018
17.superintendent,Dwayne Nole,Dwayne Noble
515.code,73I091,73I019
19.boardpresident,Manyd Lawson,Mandy Lawson
73.code,11026,11C026
233.districtname,PANLOA,PANOLA
108.districtname,CHATTAONOGA,CHATTANOOGA
172.countyname,RADY,GRADY
441.boardpresident,Chad Sith,Chad Smith
69.phone,(580) 223-957,(580) 223-9557
510.countyname,ULSA,TULSA
60.mailingaddress,"110 N. Freehome
Calumte, OK 73014
(35.60116541600047, -98.12108824099965)","110 N. Freehome
Calumet, OK 73014
(35.60116541600047, -98.12108824099965)"
94.phone,(405)527-7236,(405) 527-7236
51.code,0C029,09C029
475.superintendent,Gavry Wade,Gary Wade
88.mailingaddress,"101 South Lincoln
Felt, OK 73937
(36.56193707900047, -102.79427602919968)","101 South Lincoln
Felt, OK 73937
(36.56193707900047, -102.79427602199968)"
403.districtname,eHAILEYVILLE,HAILEYVILLE
326.fax,(18) 255-6230,(918) 255-6230
454.countyname,EMINOLE,SEMINOLE
385.code,v58I026,58I026
409.superintendent,xChad Graham,Chad Graham
21.superintendent,Larry Millms,Larry Mills
269.boardpresident,Scott Rzobinson,Scott Robinson
310.fax,(918) 447-3744,(918) 474-3744
455.websiteurl,http://www.wps.k12o.k.us,http://www.wps.k12.ok.us
28.phone,580) 822-3268,(580) 822-3268
105.countyname,COMANCHsE,COMANCHE
509.superintendent,Mik eCampbell,Mike Campbell
64.phone,(580) 223t-6319,(580) 223-6319
164.mailingaddress,"301 North Chickasaw
Pauls Valley, OK 73075
(34.741869102000464, -97.2211556879997)","301 North Chickasaw
Pauls Valley, OK 73075
(34.741869102000464, -97.22115568799967)"
297.websiteurl,http://www.eagletownisdo.rg/index.htm,http://www.eagletownisd.org/index.htm
310.mailingaddress,"115 E. Walnut
Wainwright, OK 74468
(35.6124819800047, -95.5648442319997)","115 E. Walnut
Wainwright, OK 74468
(35.61248198800047, -95.5648442319997)"
235.code,40C11,40C011
27.countyname,BEKHAM,BECKHAM
445.websiteurl,http://www.claremore.k21.ok.us,http://www.claremore.k12.ok.us
430.countyname,POTTWATOMIE,POTTAWATOMIE
346.fax,(405) 787-g4870,(405) 787-4870
68.superintendent,Bret Phelps,Brent Phelps
198.districtname,DKE,DUKE
355.mailingaddress,"7217 Se 15Th Street
Myidwest City, OK 73110
(35.44971032100045, -97.39831003099965)","7217 Se 15Th Street
Midwest City, OK 73110
(35.44971032100045, -97.39831003099965)"
293.mailingaddress,"401 Holly Creek Roada
Broken Bow, OK 74728
(33.98269802600049, -94.8193208189997)","401 Holly Creek Road
Broken Bow, OK 74728
(33.98269802600049, -94.8193208189997)"
295.code,48Ip006,48I006
118.fax,(918) 324-5030,(918) 324-5003
453.websiteurl,http://www.justce.k12.ok.us,http://www.justice.k12.ok.us
249.fax,(918) 658-2233***,(918) 658-2233
434.superintendent,Charles Cagughern Jr.,Charles Caughern Jr.
234.websiteurl,http//www.spk12.org,http://www.spk12.org
394.mailingaddress,"1401 North Little Street
Cushing, O 74023
(35.99329072500046, -96.76769482699967)","1401 North Little Street
Cushing, OK 74023
(35.99329072500046, -96.76769482699967)"
416.superintendent,Kevin lowers,Kevin Flowers
221.districtname,oLOMEGA,LOMEGA
173.countyname,GRDY,GRADY
313.fax,(918) 464-231v3,(918) 464-2313
55.boardpresident,Karen Grehen,Karen Green
350.districtname,HARlRAH,HARRAH
436.countyname,PSHMATAHA,PUSHMATAHA
280.websiteurl,http://vwww.lg.k12.ok.us,http://www.lg.k12.ok.us
258.code,1I105,41I105
413.countyname,PONOTOC,PONTOTOC
482.mailingaddress,"1205 South Brooks Road
Marlow, OK 73055
(34.63412m4916000474, -97.81770641299966)","1205 South Brooks Road
Marlow, OK 73055
(34.634124916000474, -97.81770641299966)"
424.websiteurl,http://ebthel.k12.ok.us,http://bethel.k12.ok.us
273.code,45In003,45I003
399.countyname,PITTBURG,PITTSBURG
433.boardpresident,Lucretima Mcgee,Lucretia Mcgee
170.mailingaddress,"900 West Choctaw Avenue
Chickasha, OK 73018
(35.052409759000454, -97.94422564959967)","900 West Choctaw Avenue
Chickasha, OK 73018
(35.052409759000454, -97.94422564599967)"
194.districtname,HOLDEVILLE,HOLDENVILLE
238.districtname,sSPIRO,SPIRO
238.mailingaddress,"600 Wst Broadway Street
Spiro, OK 74959
(35.24102031400048, -94.62900706599964)","600 West Broadway Street
Spiro, OK 74959
(35.24102031400048, -94.62900706599964)"
195.websiteurl,http://wwuw.calvin.k12.ok.us,http://www.calvin.k12.ok.us
495.fax,(580) 479-381,(580) 479-3381
405.phone,(918) 469-100,(918) 469-3100
452.websiteurl,http://www.vps.k12ok.us,http://www.vps.k12.ok.us
259.boardpresident,Jeo Selcer,Joe Selcer
272.districtname,MADILL***,MADILL
314.countyname,MUKSOGEE,MUSKOGEE
477.code,9I002,69I002
476.countyname,STeEPHENS,STEPHENS
468.websiteurl,http://www.salliaswps.org,http://www.sallisawps.org
319.mailingaddress,"4Th &amp; Osage
Porum, OK 74455
(53.37148378200044, -95.23371878599966)","4Th &amp; Osage
Porum, OK 74455
(35.37148378200044, -95.23371878599966)"
522.districtname,BURNSF LAT-DILL CITY,BURNS FLAT-DILL CITY
311.phone,918) 482-5221,(918) 482-5221
384.districtname,MIAaMI,MIAMI
30.phone,(405) 884-2998,(405) 884-2989
170.superintendent,Ji Glaze,Jim Glaze
468.phone,(918) 7755-544,(918) 775-5544
412.websiteurl,thtp://www.vanoss.k12.ok.us,http://www.vanoss.k12.ok.us
79.phone,(918) 772-2g501,(918) 772-2501
61.code,10C07d2,10C072
435.districtname,RATAN,RATTAN
166.boardpresident,Tony Djavis,Tony Davis
126.fax,(918) h862-3955,(918) 862-3955
311.fax,918) 482-3346,(918) 482-3346
174.districtname,RUSH SRINGS,RUSH SPRINGS
475.fax,(580) 439-559,(580) 439-5589
188.code,t31I013,31I013
404.code,6I1014,61I014
140.superintendent,Sandy Jo Caly,Sandy Jo Coaly
516.websiteurl,http://wwfw.porter.k12.ok.us,http://www.porter.k12.ok.us
469.districtname,eVIAN,VIAN
197.superintendent,icki Nance,Vicki Nance
327.fax,918) 623-0156,(918) 623-0156
245.boardpresident,Ron Hjall,Ron Hall
