countyname,code,districtname,mailingaddress,phone,fax,websiteurl,superintendent,boardpresident
ADAIR,01C019,EAVINE,"77943 Hwy 59 N. Stilwell, OK 74960 (35.82648841300045, -94.63703656099966)",(918) 66-7818,(918) 696-2199,http://www.peavinepanothers.net/,Jack Roitchie,iBlly Craig
ADAIR,01C022,MAYRETTA,"Rural Route 6, Box 2840Stilwell, OK 74960 (35.82648841300045, -94.63703656099966)",(918) 696-2285,(918) 696-6746,http://www.maryetta.k12.ok.us,Lori Means,Larry Eagleton
ADAIR,01C24,ROCKY MOUNTAIN,"Rural Route 1, Box 665 Stilwell, OK 74960 (35.82648841300045, -94.63703656099966)",(918) 696-7509,(918) 6963654,http://www.rockymtn.k12.ok.us,Terry Mays,Toya Tidwell
ADAIR,01C028,ZION,"Route 1 E. 850 Road Stilwell, OK 74960 (35.8264884130045, -94.63703656099966)",(918) 696-7866,(918) 696-6226,http://www.zionjets.com,Charles Benhzam,Gary Horn
hADAIR,01C029,DAHLONEGAH,"Rural Route 1, Box 1795 Stilwell, OK 74960 (35.82648841300045, -94.63703656099966)",(918) 696-7807,(918) 696-2192,http://www.dahlonegah.k12.ok.us,Jeff Limore,Randy Mccarter
ADAIR,010C32,GREASY,"Rural Route 1 Box 1589 Bunch, OK 74931 (35.73982727800046, -94.83477776099966)",(918) 696-7768,918) 696-7240,http://Butner.k12.ok.us,kMary Fletcher,Arthur Ross
ADAIR,01I004,WATTS,"Rural Route 2, Box 1 Watts, OK 74964 (36.16867932100047, -94.56570895099969)***",(918) 422-5311,(918) 422-5556,http://Butner.k12.ok.us,Lisa Weaver,Melissa Rynolds
ADAIR,01I011***,WESqTVILLE,"500 W Chincapin Westville, OK 74965 (35.98830837100047, -94.56632221999968)",(918) 723-3181,(918) 723-3402,http://www.westviqlle.k12.ok.us,Terry Heustis,Joe Funburg
ADAIR,01I025,STLIWELL,"1801 West Locust Street Stilwell, OK 74960 (35.80857035000048, -94.63873652199965)",(918) 696-7001,(918) 696-2193,http://www.stilwellk12.org,Geri Gilstrap,Bill Mnuskrat
ADAIpR,01I030,CAVE SPRINGS,"89660 S 4637 Rd Bunch, OK 74931 (35.73982727800046, -94.83477776099966)",(918) 775-2364,(918) 776-2052,http://www.cavesprings.k12.ok.us,Terry Mays,aDle Winkler
ALFALFA,02I01,BURLINGTON,"401 Main St. Burlington, OK 73722 (36.9060242400046, -98.42300518099967)",(580) 431-2501,(580) 431-2237,http://www.burlingtonschool.com/,Glen Elliott,Terry Grahaym
ALFALFA,02I046,CHEROKEE,"412 East 5Th Street Cherokee, OK 73728 (36.753647153000486, -98.35294801199967)",(5w80) 596-3391,(580) 596-2319,http://cherokee.k12.ok.us/,Cory Ellis,Amber Wilhitde
ALFALFA,02I093,TIMmBERLAKE,"600 N Main Helena, OK 73741 (36.54808954600048, -98.26707575099965)",(580) 852-3307,(580) 852-3280,http://www.tlake.k12.ok.us,Brent Rousey,Anne Overton
ATOKA,03C021,HARMONY,"490 South Bentley Road Atoka, OK 74525 (34.13783596100047, -96.07549418499968)",(580) 889-3687,(580) 889-4631,http://www.hamonyps.org,Mark Thomas,Ccil Mackey
AOKA,03C022,LANE,"601 W. Mcgee Creek Rd. Lane, OK 74555 (34.33045412800044, -95.94885190999969)",(580) 889-2743,(580) 889-9157,http://lanepublicschool.com/,Roland Smith,Rebecca Sandmann
ATOKA,03I07,SRINGTOWN,"304 Highland St. Stringtown, OK 74569 (34.46593218500044, -96.05201645999966)",(580) 346-7423,(580) 346-7223,ttp://www.stringtown.k12.ok.us,Toyn Potts,Jerry Elrod
AcTOKA,03I015,ATKOA,"801 Greathouse Drive Atoka, OK 74525 (34.37296290200045, -96.14540965099968)",(580) 889-6611,(580) 889-2513,http://www.atoka.org,Dwayne Nole,Kyeith Cochran
TOKA,03I019,USHKA,"204 South Pecan Atoka, OK 74525 (34.31860184600049, -96.1655489049997)",(580) 889-7355,(580) 88n9-6144,http://tushka.k12.ok.us,Billy Pingleton,Bennie Evans
ATOKA,03I026,CANEY,"301 N. Cobb Ave Caney, OK 74533 (34.233881952000445, -96.21181620699969)",(580) 889-1996,(580) 889-5033,http://www.caneyisd.org,Lori Boehme,Manyd Lawson
EAVER,04I022,BEAVER,"807 Avenue G Beaver, OK 73932 (36.80857453000044, -100.5235067919997)",(580) 625-3444,(580) 625-3690,http://www.beaver.k12.ok.su/,Scott Kinsey,Chris Janko
BEAVER,04I075,BALKO,"Rural Route 1, Box 37 Balko, OK 73931 (36.59213921200046, -100.66138668599967)",(580) 646-3385,(580) 646-3499,http://www.balko.k12.ok.us/,Larry Millms,aAron Stockton
BEAVER,0t4I123,FORGAN,"504 West Main Forgan, OK 73938 (36.907069555000476, -100.53572912699968)",(580) 487-3366***,(580) 487-3368,ttp://www.forgan.k12.ok.us,Travis Smalts,Greggory Mcreynolds
BAVER,04I128,TURPIN,"316 S Lee Turpin, OK 73950 (36.86490161800049, -100.88004944499966)",(580) 778-3333,(580) 778-3179,http://www.turpinps.org,Bre Rider,Jay Musgrave
