1733.codistcode,7I2011,72I011
556.countyname,GRAYD,GRADY
1002.schoolsite,LUTHE HS,LUTHER HS
1030.mailingaddress,19 oNrth Blvd,19 North Blvd
1714.principal,EllenCrager,Ellen Crager
1115.mailingcity,Oklahomaw City,Oklahoma City
788.mailingstate,KO,OK
1399.mailingaddress,304 N.d 1St St.,304 N. 1St St.
1303.gradeslowhigh,PK-8,PK-08
1423.mailingaddress,2000 South Chreokee St ,2000 South Cherokee St 
186.districtname,WILOSN,WILSON
662.mailingaddress,PO Bodx 195,PO Box 195
1584.mailingcity,ulsa,Tulsa
42.schoolsite,TUPIN HS,TURPIN HS
477.mailingstate,KO,OK
524.codistcode,25I02,25I072
1642.schoolsite,TULS ASCHL OF ARTS/SCIENCES,TULSA SCHL OF ARTS/SCIENCES
19.mailingstate,OcK,OK
689.principal,Gary Ly,Gary Lay
1471.mailingstate,K,OK
1342.mailingaddress,603 Wes t33Rd St ,603 West 33Rd St 
579.districtname,IKNTA,KINTA
1021.schoolsite,CLARA REYNOjLDS ES,CLARA REYNOLDS ES
791.principal,Brian Brster,Brian Brister
1592.mailingstate,sOK,OK
295.schoolsite,KATHERINE . DAILY ES,KATHERINE I. DAILY ES
1322.telephone,(98) 432-5513,(918) 432-5513
207.districtname,HUBLERT,HULBERT
236.mailingaddress,PO uBox 47,PO Box 47
1266.mailingstate,K,OK
354.principal,Beverly Mattiingly,Beverly Mattingly
1795.principal,Baan Bogdahn,Bana Bogdahn
867.gradeslowhigh,PK-80,PK-08
1488.districtname,GNAS,GANS
1381.mailingaddress,800 North Loluisa St ,800 North Louisa St 
183.districtname,LOEN GROVE,LONE GROVE
633.mailingaddress,PO Box4 29,PO Box 429
1207.codistcode,56I00v4,56I004
400.codistcode,9I005,19I005
1153.gradeslowhigh,8-Jful,8-Jul
1401.principal,illiam Neyman,William Neyman
801.codistcode,46I02,46I002
1283.districtname,STILqLWATER,STILLWATER
1207.principal,KennyHurst,Kenny Hurst
1431.countyname,ROERS,ROGERS
1598.mailingcity,Tula,Tulsa
656.schoolsite,TONKAyWA HS,TONKAWA HS
1447.mailingaddress,36507Ew 1310,36507 Ew 1310
203.mailingstate,KO,OK
1087.mailingaddress,1450 S. Esatern Ave,1450 S. Eastern Ave
1364.countyname,POTTAWATOIE,POTTAWATOMIE
683.schoolsite,MOUNTAIN IEW-GOTEBO HS,MOUNTAIN VIEW-GOTEBO HS
1756.principal,Latrry Milligan,Larry Milligan
888.countyname,MUSKOGEjE,MUSKOGEE
1239.mailingaddress,POB ox 130,PO Box 130
966.schoolsite,DOVEi SCIENCE ACADEMY ES (OKC),DOVE SCIENCE ACADEMY ES (OKC)
1003.mailingcity,hCoctaw,Choctaw
349.countyname,COMNCHE,COMANCHE
120.mailingcity,Bingr,Binger
1276.mailingstate,kOK,OK
1527.districtname,GUYMN,GUYMON
595.schoolsite,CALVNI HS,CALVIN HS
1391.mailingcity,Muad,Maud
803.gradeslowhigh,1-2Sep,12-Sep
1383.telephone,(405) 723-1519,(405) 273-1519
849.gradeslowhigh,12-ct,12-Oct
40.mailingcity,Fjorgan,Forgan
883.mailingaddress,1021 West Ninth Sbt ,1021 West Ninth St 
429.mailingstate,KO,OK
1524.schoolsite,STRAIGTH PUBLIC SCHOOL,STRAIGHT PUBLIC SCHOOL
937.countyname,NOsWATA,NOWATA
1406.mailingstate,KO,OK
1591.telephone,(918) 833-940,(918) 833-9480
671.mailingaddress,707 East Okrlahoma St ,707 East Oklahoma St 
1507.schoolsite,COMANCE MS,COMANCHE MS
1576.mailingstate,KO,OK
1243.schoolsite,TURKEY FORD PUBLIC SHOOL,TURKEY FORD PUBLIC SCHOOL
980.countyname,sOKLAHOMA,OKLAHOMA
928.principal,Dog Sinor,Doug Sinor
416.countyname,CREhEK,CREEK
1082.gradeslowhigh,8J-un,8-Jun
382.schoolsite,BLUEJACKE THS,BLUEJACKET HS
860.mailingcity,Wrigh tCity,Wright City
1126.countyname,KLAHOMA,OKLAHOMA
420.schoolsite,SPAULPA HS,SAPULPA HS
1264.mailingcity,Fairalnd,Fairland
1669.countyname,ULSA,TULSA
113.principal,Marcy Derrybery,Marcy Derryberry
64.telephone,(450) 884-2362,(405) 884-2362
1741.telephone,918) 366-8784,(918) 366-8784
1181.mailingcity,Oklhaoma City,Oklahoma City
843.principal,Nacy Copeland,Nancy Copeland
1124.schoolsite,MRAK TWAIN ES,MARK TWAIN ES
949.mailingcity,eleetka,Weleetka
13.gradeslowhigh,8-Mway,8-May
1245.gradeslowhigh,8-Jnu,8-Jun
1186.schoolsite,EPIC ONE fON ONE CHARTER HS,EPIC ONE ON ONE CHARTER HS
272.codistcode,41I029,14I029
1486.countyname,EQUOYAH,SEQUOYAH
1069.countyname,OvKLAHOMA,OKLAHOMA
469.mailingcity,Gge,Gage
749.mailingcity,fMeeker,Meeker
609.mailingaddress,1600 Suoth Park Lane,1600 South Park Lane
1376.gradeslowhigh,8-Jnu,8-Jun
904.telephone,(918) 6843840,(918) 684-3840
391.mailingaddress,420 N. Mani,420 N. Main
1160.districtname,OKLAHOMxA CITY,OKLAHOMA CITY
601.schoolsite,DKUE ES,DUKE ES
930.mailingstate,K,OK
1208.codistcode,560I04,56I004
424.districtname,ARAPpAHO-BUTLER,ARAPAHO-BUTLER
1536.codistcode,70015,70I015
817.countyname,MCxCLAIN,MCCLAIN
1588.countyname,TUzLSA,TULSA
213.districtname,TAHLEQAH,TAHLEQUAH
214.gradeslowhigh,12-kSep,12-Sep
492.telephone,(5d80) 366-7350,(580) 366-7350
399.gradeslowhigh,PiK-08,PK-08
1398.gradeslowhigh,PK0-8,PK-08
552.countyname,GADY,GRADY
1634.countyname,TULScA,TULSA
1485.mailingaddress,PO Box6 60,PO Box 660
241.principal,Vternona Decarlo,Vernona Decarlo
631.countyname,JOHNSOTN,JOHNSTON
1707.districtname,UNON,UNION
1154.districtname,OKLAHOMACITY,OKLAHOMA CITY
1714.countyname,vTULSA,TULSA
724.telephone,(f918) 567-2259,(918) 567-2259
1122.schoolsite,LEEES,LEE ES
874.codistcode,49I19,49I019
570.codistcode,29I066***,29I066
1317.mailingcity,Indianoal,Indianola
491.principal,Lyntel Murpphy,Lyntel Murphy
1071.principal,Miqke Stiglets,Mike Stiglets
495.gradeslowhigh,PKk-05,PK-05
1060.mailingaddress,1700S. Council,1700 S. Council
764.countyname,LqOGAN,LOGAN
346.mailingcity,Latwon,Lawton
347.telephone,(580) 355-6917,(580) 355-6197
1380.districtname,SHAWNEE***,SHAWNEE
897.telephone,(198) 682-5665,(918) 682-5665
1265.mailingstate,KO,OK
104.districtname,OONE-APACHE,BOONE-APACHE
80.codistcode,07Ix040,07I040
1081.countyname,OKLAHOcMA,OKLAHOMA
