123.district,sD,D
50.district,D,ND
79.statevalue,E,DE
60.companyname,ION Media Netwokrs Inc.,ION Media Networks Inc.
83.statevalue,L,FL
73.district,D,SD
117.district,D,ED
42.statevalue,X,TX
7.district,DN,ND
106.district,qS,S
92.statevalue,AL,LA
31.companyname,"Circuit Ctiy Stores, Inc.","Circuit City Stores, Inc."
29.district,D,SD
45.statevalue,YN,NY
24.statevalue,A,GA
8.district,DN,ND
8.statevalue,A,GA
40.companyname,Equity Media Holdinugs Corporation,Equity Media Holdings Corporation
26.statevalue,Y,NY
36.companyname,NC Multimedia Corporation,DNC Multimedia Corporation
2.district,***,D
40.statevalue,KA,AK
16.statevalue,ED,DE
104.companyname,"Storm aCt Energy Corporation, et al.","Storm Cat Energy Corporation, et al."
21.district,D,SD
94.companyname,"SENDTEC, In.","SENDTEC, Inc."
56.companyname,"ILqX Resorts, Inc.","ILX Resorts, Inc."
80.statevalue,uAK,AK
2.statevalue,ED,DE
4.companyname,Accredited Home Lenders olding Co.,Accredited Home Lenders Holding Co.
83.companyname,Peagus ireless Corporation,Peagus Wireless Corporation
96.companyname,Six FlagsI nc.,Six Flags Inc.
29.companyname,"Chryser, LLC., et al.","Chrysler, LLC., et al."
128.statevalue,DcE,DE
106.companyname,Taragon Corvporation,Taragon Corporation
87.district,***,D
92.district,D,WD
64.district,DE,ED
55.district,DN,ND
50.companyname,"Guaranyt Financial Group, Inc. et al.","Guaranty Financial Group, Inc. et al."
109.statevalue,LF,FL
109.companyname,"Teleplus World, Cotrp.","Teleplus World, Corp."
120.district,D,SD
95.district,D,SD
124.statevalue,A,CA
13.companyname,BankUnited Financial Croporation,BankUnited Financial Corporation
43.district,D,CD
47.statevalue,yDE,DE
25.district,D,ND
75.statevalue,A,CA
113.companyname,Trviple Crown Media Inc.,Triple Crown Media Inc.
72.district,D,SD
127.statevalue,ED,DE
108.companyname,Telemetix Inc. et al.,Telemetrix Inc. et al.
129.district,D,ND
45.district,dSD,SD
110.district,DM,MD
97.district,***,D
116.district,lND,ND
20.statevalue,qDE,DE
19.statevalue,E,DE
10.companyname,Ausam Energy orp. et al.,Ausam Energy Corp. et al.
28.statevalue,VeA,VA
81.district,EaD,ED
93.statevalue,DlE,DE
77.statevalue,E,DE
67.district,D,MD
49.statevalue,LF,FL
2.companyname,Abitibbowater Inc.,Abitibibowater Inc.
54.companyname,Hydrogen LC,Hydrogen LLC
124.district,D,CD
51.district,DN,ND
32.statevalue,CmA,CA
102.companyname,"Station Casinos, nc.","Station Casinos, Inc."
76.statevalue,MnI,MI
18.companyname,Brooke Corgporation,Brooke Corporation
84.statevalue,NM,MN
26.district,D,SD
60.district,D,SD
34.statevalue,XT,TX
115.companyname,TVIq Corporation,TVI Corporation
67.statevalue,jFL,FL
95.statevalue,YN,NY
110.statevalue,cAL,AL
103.statevalue,D,ID
36.district,SjD,SD
93.companyname,"Semgrou, LP","Semgroup, LP"
125.companyname,"Vubotics, Inoc.","Vubotics, Inc."
21.companyname,"Capclo Energy, Inc. et al.","Capco Energy, Inc. et al."
57.statevalue,E,DE
4.statevalue,E,DE
108.statevalue,O,CO
77.companyname,"NortelNetworks, Inc.","Nortel Networks, Inc."
47.district,,D
63.district,DN,ND
90.companyname,"Proliance Internatironal, Inc.","Proliance International, Inc."
115.district,fD,D
47.companyname,GjigaBeam Corp.,GigaBeam Corp.
96.statevalue,kDE,DE
72.companyname,"MicroIselt, Inc.","MicroIslet, Inc."
123.statevalue,ED,DE
123.companyname,Versun Energy Cxorp.,Versun Energy Corp.
32.district,DN,ND
10.district,SpD,SD
100.statevalue,DsE,DE
9.statevalue,IM,MI
121.district,rD,D
53.district,***,D
121.companyname,Velocity Exprss Corp.,Velocity Express Corp.
1.statevalue,LF,FL
98.district,NfD,ND
66.statevalue,dNY,NY
89.district,***,D
84.district,***,D
125.statevalue,A,GA
79.district,oD,D
55.companyname,"Ideac, Inc.","Idearc, Inc."
5.statevalue,YN,NY
53.statevalue,NpV,NV
13.statevalue,bFL,FL
64.statevalue,VeA,VA
76.district,DE,ED
