564.statevalue,OC,CO
928.statevalue,O,CO
1214.namevalue,ahlone Peak,Pahlone Peak
31.namevalue,Amherst W,Amherst SW
1485.namevalue,Snowmass oMuntain,Snowmass Mountain
1564.namevalue,Sunndyale,Sunnydale
289.statevalue,O,CO
986.mrc,40105-Ct5,40105-C5
1200.mrc,40120-A7,40102-A7
744.namevalue,High Pakr,High Park
635.statevalue,O,CO
1601.namevalue,Thompon Arroyo,Thompson Arroyo
953.statevalue,O,CO
837.namevalue,Joe Davis ill,Joe Davis Hill
1024.namevalue,Mathheson,Matheson
1504.mrc,3710-6B4,37106-B4
1583.namevalue,Trecio,Tercio
1090.namevalue,Monument iHll,Monument Hill
1479.mrc,37c107-H2,37107-H2
1020.namevalue,Maroon Bfells,Maroon Bells
594.namevalue,Fulfodr,Fulford
969.namevalue,LivermoreM ountain,Livermore Mountain
1621.mrc,4106-A7,40106-A7
1044.mrc,3803-G4,38103-G4
793.mrc,40103A-6,40103-A6
598.namevalue,alatea,Galatea
787.namevalue,owardsville,Howardsville
557.statevalue,OC,CO
576.namevalue,Forxt Logan,Fort Logan
667.mrc,40180-E6,40108-E6
140.statevalue,O,CO
1550.statevalue,iCO,CO
1167.mrc,37m102-G3,37102-G3
400.mrc,8107-D4,38107-D4
634.statevalue,wCO,CO
1241.statevalue,CeO,CO
1389.statevalue,tCO,CO
381.namevalue,Crazy Mountin,Crazy Mountain
1260.mrc,40150-E5,40105-E5
702.statevalue,OC,CO
1215.namevalue,Paintedl Canyon,Painted Canyon
1733.mrc,4l0106-H7,40106-H7
1160.namevalue,Notrh Avondale NE,North Avondale NE
730.statevalue,O,CO
1526.namevalue,Sterlign North,Sterling North
232.namevalue,Byer Peak,Byers Peak
1368.statevalue,OC,CO
655.namevalue,Gray jHead,Gray Head
1757.namevalue,iWllard,Willard
210.statevalue,OC,CO
633.statevalue,OC,CO
621.mrc,381g08-H6,38108-H6
161.statevalue,O,CO
198.statevalue,O,CO
459.mrc,38108-3G,38108-G3
1336.mrc,39160-D7,39106-D7
255.namevalue,Cpulin,Capulin
76.namevalue,ailey,Bailey
89.statevalue,lCO,CO
299.namevalue,Cherokee Parrk,Cherokee Park
341.mrc,3e8103-E8,38103-E8
637.namevalue,Government Springns,Government Springs
359.statevalue,O,CO
262.mrc,40104-8G,40104-G8
495.statevalue,O,CO
941.mrc,3104-H1,39104-H1
315.mrc,3802-D5,38102-D5
1401.statevalue,OC,CO
978.mrc,3102-C8,37102-C8
337.namevalue,Coalemont,Coalmont
1350.mrc,40104G4,40104-G4
1067.namevalue,Miller Rnch,Miller Ranch
134.statevalue,OC,CO
710.mrc,3v7102-F6,37102-F6
1116.mrc,3916-B4,39106-B4
1055.statevalue,CcO,CO
1696.mrc,04103-H7,40103-H7
1332.statevalue,OC,CO
166.mrc,3708-E4,37108-E4
675.namevalue,wGrover NE,Grover NE
1632.statevalue,O,CO
1618.statevalue,OC,CO
1396.mrc,38104-1,38104-G1
747.mrc,381r04-D2,38104-D2
762.namevalue,Holyoke NmW,Holyoke NW
1484.namevalue,Snowdon Peaek,Snowdon Peak
1377.namevalue,Roggne,Roggen
1807.namevalue,Durkeey Creek NE,Durkee Creek NE
1708.statevalue,uCO,CO
906.statevalue,CxO,CO
996.statevalue,OC,CO
1066.statevalue,OC,CO
1606.statevalue,O,CO
1013.statevalue,T,UT
1075.mrc,38q107-G4,38107-G4
624.mrc,39105g-A5,39105-A5
263.mrc,40104-tH8,40104-H8
374.namevalue,Cove rMountain,Cover Mountain
1788.namevalue,oYder,Yoder
206.statevalue,O,CO
1182.namevalue,ObservatoryRock,Observatory Rock
1076.mrc,3906-E4,39106-E4
235.mrc,3904-D5,39104-D5
1462.mrc,38102-jD3,38102-D3
1294.mrc,40108-3H,40108-H3
1135.namevalue,MuldoonHill,Muldoon Hill
1230.mrc,4006-A2,40106-A2
1111.statevalue,O,CO
900.mrc,3710-8D1,37108-D1
1203.statevalue,bCO,CO
1475.mrc,37150-A6,37105-A6
504.mrc,39160-F5,39106-F5
1041.statevalue,O,CO
1172.namevalue,oNrthgate,Northgate
640.mrc,38o102-B3,38102-B3
349.mrc,7107-E5,37107-E5
1079.statevalue,O,CO
697.namevalue,anover,Hanover
866.namevalue,Kestone,Keystone
1181.namevalue,Oackbrush Ridge,Oakbrush Ridge
1151.namevalue,Ninemil eGap,Ninemile Gap
71.statevalue,OC,CO
295.namevalue,Chambers Lke,Chambers Lake
1410.mrc,38015-E8,38105-E8
839.namevalue,JoesSW,Joes SW
8.mrc,39130-D8,39103-D8
1021.namevalue,Msaonville,Masonville
859.statevalue,O,CO
1342.mrc,8107-E7,38107-E7
1446.statevalue,OC,CO
507.statevalue,OC,CO
1785.namevalue,Yaqnkee Gulch,Yankee Gulch
1542.namevalue,Strasbrg SE,Strasburg SE
1261.namevalue,Pinkerton Meas,Pinkerton Mesa
1336.namevalue,RedCreek,Red Creek
1743.mrc,38106-1,38106-C1
681.namevalue,Gnnison,Gunnison
1426.mrc,31807-D3,38107-D3
1296.namevalue,Powderhormn Lakes,Powderhorn Lakes
1797.mrc,41002-E1,40102-E1
1416.mrc,7106-H8,37106-H8
15.statevalue,O,CO
36.statevalue,bCO,CO
1112.statevalue,yCO,CO
30.mrc,m40102-F2,40102-F2
460.mrc,37103D7,37103-D7
1124.statevalue,aCO,CO
1496.mrc,37z104-F4,37104-F4
791.namevalue,Hudon,Hudson
655.mrc,73107-H8,37107-H8
1220.statevalue,OC,CO
1314.mrc,4013-A4,40103-A4
640.statevalue,O,CO
1773.mrc,39103-5G,39103-G5
1432.namevalue,Scharmm,Schramm
112.statevalue,zCO,CO
1216.namevalue,Pailsade,Palisade
298.namevalue,Csheraw,Cheraw
844.statevalue,TU,UT
284.mrc,39107-4D,39107-D4
1428.statevalue,OC,CO
1581.statevalue,ClO,CO
1496.namevalue,South Rattlesnake Byutte,South Rattlesnake Butte
592.namevalue,Fruitma,Fruita
1559.namevalue,Summit oPint,Summit Point
316.statevalue,O,CO
138.mrc,7102-E6,37102-E6
809.namevalue,Igacio,Ignacio
126.namevalue,BeverlyGrove,Beverly Grove
681.mrc,3810v6-E8,38106-E8
1044.namevalue,McKenzie Drwa,McKenzie Draw
354.namevalue,Cooper Mountani,Cooper Mountain
143.statevalue,CjO,CO
1739.namevalue,Wetherillg Mesa,Wetherill Mesa
1051.namevalue,Merediht,Meredith
703.namevalue,Hardiun,Hardin
790.namevalue,Huubbard Lake,Hubbard Lake
1137.mrc,3718-F5,37108-F5
1356.statevalue,O,CO
1665.statevalue,CwO,CO
570.statevalue,yCO,CO
237.statevalue,OC,CO
1391.statevalue,OC,CO
1048.statevalue,OC,CO
1264.statevalue,O,CO
1097.mrc,37108A5,37108-A5
1788.mrc,3810-G2,38104-G2
648.mrc,38014-D1,38104-D1
73.namevalue,Axiasl,Axial
1659.namevalue,Two Buttes Rseervoir,Two Buttes Reservoir
203.mrc,8107-C6,38107-C6
1503.namevalue,Spakrs,Sparks
65.mrc,3915-G1,39105-G1
1381.namevalue,Roubideasu,Roubideau
182.statevalue,OC,CO
141.statevalue,O,CO
450.namevalue,Doe aCnyon,Doe Canyon
1715.mrc,38c107-C5,38107-C5
721.statevalue,tCO,CO
739.mrc,d37108-C1,37108-C1
1620.mrc,39105-5,39105-C5
1730.namevalue,West Beckwih Mountain,West Beckwith Mountain
39.mrc,s40104-F6,40104-F6
96.statevalue,OC,CO
701.mrc,31702-D7,37102-D7
890.mrc,38130-H7,38103-H7
312.statevalue,CvO,CO
1447.mrc,37106-Fx2,37106-F2
350.mrc,401a05-E6,40105-E6
1438.statevalue,qCO,CO
260.mrc,k38107-D2,38107-D2
1152.statevalue,O,CO
1536.namevalue,Stoington,Stonington
1591.namevalue,The Niple,The Nipple
1578.namevalue,Traryall,Tarryall
816.statevalue,O,CO
1375.statevalue,O,CO
279.mrc,39104-1D,39104-D1
1020.statevalue,O,CO
462.statevalue,oCO,CO
1409.statevalue,CqO,CO
522.namevalue,ElkP ark,Elk Park
1491.statevalue,O,CO
524.statevalue,O,CO
162.statevalue,CuO,CO
1023.mrc,3810l6-G6,38106-G6
933.statevalue,OC,CO
470.mrc,3102-G7,37102-G7
1269.namevalue,Piutoe Knoll,Piute Knoll
766.namevalue,Hooer East,Hooper East
1465.namevalue,Shield Moutnain,Shield Mountain
924.statevalue,zCO,CO
1745.namevalue,hWite River City,White River City
1471.statevalue,O,CO
666.statevalue,CaO,CO
965.mrc,j38107-E3,38107-E3
1561.namevalue,Sun Valleyx Ranch,Sun Valley Ranch
1078.namevalue,Mocasin Mesa,Moccasin Mesa
715.mrc,8102-D8,38102-D8
1235.namevalue,Peacec Valley School,Peace Valley School
622.namevalue,Glen aven,Glen Haven
636.statevalue,O,CO
1579.statevalue,O,CO
807.mrc,3912-E3,39102-E3
1312.statevalue,O,CO
907.mrc,41006-C5,40106-C5
1253.mrc,3710-3A6,37103-A6
141.namevalue,Bigd Springs Ranch,Big Springs Ranch
1605.statevalue,qCO,CO
59.mrc,39103C-3,39103-C3
1616.namevalue,Toner Reserovir,Toner Reservoir
411.mrc,3108-H6,37108-H6
685.mrc,38108-6,38108-A6
263.namevalue,Cajrr West,Carr West
962.statevalue,OC,CO
14.statevalue,O,CO
444.mrc,3815-G6,38105-G6
36.mrc,93103-G3,39103-G3
769.statevalue,O,CO
484.statevalue,OC,CO
1516.namevalue,quirrel Creek,Squirrel Creek
37.mrc,3910-3H4,39103-H4
1088.namevalue,onument,Monument
