zonenameeightthree,fipszoneeightthree,zone,statezo,abbrev,datum
HI_1,5101,5876.0,"Hawaiian Islands, Zone 1",HI_1,NAD83
HI_2,5102,5901.0,"Hawaiian Islands, Zone 2",HI_2,NAD83
HI_3,5103,5926.0,"Hawaiian Islands, Zone 3",HI_3,NAD83
HI_4,5104,5951.0,"Hawaiian Islands, Zone 4",HI_4,NAD83
HI_5,5105,5976.0,"Hawaiian Islands, Zone 5",HI_5,NAD83
AK_6,5006,6226.0,"Alaska, Zone 6",AK_6,NAD83
AK_7,5007,6251.0,"Alaska, Zone 7",AK_7,NAD83
AK_9,5009,6301.0,"Alaska, Zone 9",AK_9,NAD83
AK_10,5010,6326.0,"Alaska, Zone 10",AK_10,NAD83
AK_1,5001,6101.0,"Alaska, Zone 1",AK_1,NAD83
AK_4,5004,6176.0,"Alaska, Zone 4",AK_4,NAD83
AK_3,5003,6151.0,"Alaska, Zone 3",AK_3,NAD83
AK_2,5002,6126.0,"Alaska, Zone 2",AK_2,NAD83
AK_5,5005,6201.0,"Alaska, Zone 5",AK_5,NAD83
AK_8,5008,6276.0,"Alaska, Zone 8",AK_8,NAD83
IN_E,1301,3826.0,"Indiana, East",IN_E,NAD83
IN_W,1302,3851.0,"Indiana, West",IN_W,NAD83
IA_N,1401,3876.0,"Iowa, North",IA_N,NAD83
IA_S,1402,3901.0,"Iowa, South",IA_S,NAD83
KS_N,1501,3926.0,"Kansas, North",KS_N,NAD83
AZ_E,201,3151.0,"Arizona, East",AZ_E,NAD83
KS_S,1502,3951.0,"Kansas, South",KS_S,NAD83
AZ_C,202,3176.0,"Arizona, Central",AZ_C,NAD83
KY_N,1601,3976.0,"Kentucky, North",KY_N,NAD83
AZ_W,203,3201.0,"Arizona, West",AZ_W,NAD83
KY_S,1602,4001.0,"Kentucky, South",KY_S,NAD83
AR_N,301,3226.0,"Arkansas, North",AR_N,NAD83
LA_N,1701,4026.0,"Louisiana, North",LA_N,NAD83
AR_S,302,3251.0,"Arkansas, South",AR_S,NAD83
LA_S,1702,4051.0,"Louisiana, South",LA_S,NAD83
CA_1,401,3276.0,"California, Zone I",CA_I,NAD83
CA_2,402,3301.0,"California, Zone II",CA_II,NAD83
ME_E,1801,4076.0,"Maine, East",ME_E,NAD83
CA_3,403,3326.0,"California, Zone III",CA_III,NAD83
ME_W,1802,4101.0,"Maine, West",ME_W,NAD83
CA_4,404,3351.0,"California, Zone IV",CA_IV,NAD83
MD,1900,4126.0,Maryland,MD,NAD83
CA_5,405,3376.0,"California, Zone V",CA_V,NAD83
CA_6,406,3401.0,"California, Zone VI",CA_VI,NAD83
MA_I,2002,4176.0,"Massachusetts, Island",MA_I,NAD83
CO_N,501,3451.0,"Colorado, North",CO_N,NAD83
CO_C,502,3476.0,"Colorado, Central",CO_C,NAD83
CO_S,503,3501.0,"Colorado, South",CO_S,NAD83
MI_N,2111,6351.0,"Michigan, North",MI_N,New
CT,600,3526.0,Connecticut,CT,NAD83
MI_C,2112,6376.0,"Michigan, Central",MI_C,New
DE,700,3551.0,Delaware,DE,NAD83
MI_S,2113,6401.0,"Michigan, South",MI_S,New
FL_N,903,3576.0,"Florida, North",FL_N,NAD83
MN_N,2201,4276.0,"Minnesota, North",MN_N,NAD83
FL_E,901,3601.0,"Florida, East",FL_E,NAD83
MN_C,2202,4301.0,"Minnesota, Central",MN_C,NAD83
FL_W,902,3626.0,"Florida, West",FL_W,NAD83
MN_S,2203,4326.0,"Minnesota, South",MN_S,NAD83
GA_E,1001,3651.0,"Georgia, East",GA_E,NAD83
MS_E,2301,4351.0,"Mississippi, East",MS_E,NAD83
GA_W,1002,3676.0,"Georgia, West",GA_W,NAD83
MS_W,2302,4376.0,"Mississippi, West",MS_W,NAD83
MO_E,2401,4401.0,"Missouri, East",MO_E,NAD83
MO_C,2402,4426.0,"Missouri, Central",MO_C,NAD83
MO_W,2403,4451.0,"Missouri, West",MO_W,NAD83
SD_N,4001,5251.0,"South Dakota, North",SD_N,NAD83
SD_S,4002,5276.0,"South Dakota, South",SD_S,NAD83
TN,4100,5301.0,Tennessee,TN,NAD83
MT,2500,3101.0,Montana,MT,NAD83
TX_N,4201,5326.0,"Texas, North",TX_N,NAD83
TX_NC,4202,5351.0,"Texas, North Central",TX_NC,NAD83
TX_C,4203,5376.0,"Texas, Central",TX_C,NAD83
NE,2600,3101.0,Nebraska,NE,NAD83
TX_SC,4204,5401.0,"Texas, South Central",TX_SC,NAD83
NV_E,2701,4601.0,"Nevada, East",NV_E,NAD83
TX_S,4205,5426.0,"Texas, South",TX_S,NAD83
NV_C,2702,4626.0,"Nevada, Central",NV_C,NAD83
UT_N,4301,5451.0,"Utah, North",UT_N,NAD83
NV_W,2703,4651.0,"Nevada, West",NV_W,NAD83
UT_C,4302,5476.0,"Utah, Central",UT_C,NAD83
NH,2800,4676.0,New Hampshire,NH,NAD83
UT_S,4303,5501.0,"Utah, South",UT_S,NAD83
NJ,2900,4701.0,New Jersey,NJ,NAD83
VT,4400,5526.0,Vermont,VT,NAD83
NM_E,3001,4726.0,"New Mexico, East",NM_E,NAD83
VA_N,4501,5551.0,"Virginia, North",VA_N,NAD83
