8.statevalue,Cailfornia,California
48.facilityname,Sonoma Decvelopmental Center,Sonoma Developmental Center
33.notes,No surgeries in the 28 surgical procesdure categories were performed in 2016.,No surgeries in the 28 surgical procedure categories were performed in 2016.
10.statevalue,Callifornia,California
8.county,Oorange,Orange
49.hai,"Healthcare Associated Infection, Surgical Sie Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
3.county,Los Agneles,Los Angeles
15.yearvalue,1580,2017
39.statevalue,Califorina,California
9.hai,"Healthcare Associated Infection, Surgical Site nfections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
3.facilityname,Barlow Respiratory Hosppital,Barlow Respiratory Hospital
13.facilityname,Fairmont Hsopital,Fairmont Hospital
33.hai,"Healthcare Assciated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
18.hai,"Healthcare Associated Infection, Surgical Site Infectaions (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
54.county,Los Anigeles,Los Angeles
45.facilityname,San Joaquin Valley Rehrabilitation Hospital,San Joaquin Valley Rehabilitation Hospital
29.facilityname,"Kindred Hospitmal, Riverside","Kindred Hospital, Riverside"
57.yearvalue,2621,2017
55.facilityname,Vxibra Hospital of Northern California,Vibra Hospital of Northern California
24.yearvalue,1645,2017
46.county,Santa tBarbara,Santa Barbara
41.statevalue,Claifornia,California
36.facilityname,Laguna Honda Hospital & Rehabilitaion Center,Laguna Honda Hospital & Rehabilitation Center
28.facilityname,"Kinrded Hospital, Ontario","Kindred Hospital, Ontario"
34.yearvalue,1062,2017
21.yearvalue,2954,2017
23.hai,"Healthcare Associated Infection,Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
39.yearvalue,2432,2017
19.yearvalue,2229,2017
10.facilityname,College Hosptial Costa Mesa,College Hospital Costa Mesa
22.facilityname,Kentfield ospital,Kentfield Hospital
40.hai,"Healthcare Associated Infection, Surgincal Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
28.county,San eBernardino,San Bernardino
19.notes,No surgeries in the 28 surgical procedure categories were perormed in 2016.,No surgeries in the 28 surgical procedure categories were performed in 2016.
2.statevalue,Califorina,California
40.statevalue,Californai,California
55.yearvalue,1571,2017
5.yearvalue,1157,2017
15.facilityname,Glenn Mediacl Center,Glenn Medical Center
11.yearvalue,2719,2017
20.hai,"Healthcare Associated Infection, Surgical Site Infejctions (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
23.notes,No surgeries in the 28 surgical procedure cateories were performed in 2016.,No surgeries in the 28 surgical procedure categories were performed in 2016.
46.hai,"Healthcare ssociated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
13.notes,No surgeries in the 82 surgical procedure categories were performed in 2016.,No surgeries in the 28 surgical procedure categories were performed in 2016.
51.hai,"Healthcare Associated Infection, Surgical Site Infectins (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
16.county,Oranige,Orange
21.statevalue,Califorhnia,California
7.yearvalue,2780,2017
21.hai,"Healthcare Associated Infection, Surgical Site Infectinos (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
7.county,Stanislauis,Stanislaus
8.yearvalue,1728,2017
31.statevalue,jCalifornia,California
47.notes,No surgeries in the 28 surgicalprocedure categories were performed in 2016.,No surgeries in the 28 surgical procedure categories were performed in 2016.
50.hai,"Healthcare Associaed Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
43.yearvalue,2635,2017
50.county,Modouc,Modoc
48.notes,No surgeries in the 28 surgical proceure categories were performed in 2016.,No surgeries in the 28 surgical procedure categories were performed in 2016.
26.county,Los Angneles,Los Angeles
9.yearvalue,2597,2017
29.yearvalue,1026,2017
43.statevalue,Caliornia,California
2.yearvalue,1599,2017
52.facilityname,Totally Kids RehabilitationH ospital,Totally Kids Rehabilitation Hospital
44.hai,"Healthcarce Associated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
42.statevalue,Califogrnia,California
21.facilityname,John C. Fremon Healthcare District,John C. Fremont Healthcare District
13.hai,"Healthcare Asociated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
12.hai,"Healthcae Associated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
20.facilityname,Jerold Phelps Community Hosital,Jerold Phelps Community Hospital
25.county,range,Orange
6.hai,"Healthcare Associated Infection, SurgicalSite Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
31.county,Alakmeda,Alameda
23.statevalue,Caliyfornia,California
13.yearvalue,2020,2017
18.county,Stnaislaus,Stanislaus
25.notes,No surgeries in kthe 28 surgical procedure categories were performed in 2016.,No surgeries in the 28 surgical procedure categories were performed in 2016.
1.notes,No surgeries in the 28 surgical procedrue categories were performed in 2016.,No surgeries in the 28 surgical procedure categories were performed in 2016.
53.county,Trinihty,Trinity
21.county,Maripoas,Mariposa
37.county,Ventugra,Ventura
49.yearvalue,1912,2017
10.county,rOange,Orange
33.statevalue,Californida,California
51.statevalue,Californpia,California
16.notes,No surgeries in the 28 surgcal procedure categories were performed in 2016.,No surgeries in the 28 surgical procedure categories were performed in 2016.
36.county,San Fracnisco,San Francisco
54.facilityname,USC Kenneth orris Jr. Cancer Hospital,USC Kenneth Norris Jr. Cancer Hospital
