320.raceethnicity,"Amermican Indian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
317.characteristic,"American Indian/Alaska Native, onn-Hispanic","American Indian/Alaska Native, non-Hispanic"
162.note,Reportng standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
26.characteristic,Ttoal - Male,Total - Male
158.characteristic,"Black, nno-Hispanic","Black, non-Hispanic"
136.sex,emale,Female
78.raceethnicity,oHispanic,Hispanic
319.raceethnicity,"American Indian/Alask Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
79.note,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of vairation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
9.characteristic,Ttal,Total
227.sex,Malde,Male
32.characteristic,Total-  Female,Total - Female
15.note,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or grerater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
232.characteristic,"wo or more races, non-Hispanic","Two or more races, non-Hispanic"
187.raceethnicity,"Asiaen, non-Hispanic","Asian, non-Hispanic"
237.note,Reporting standards not emt. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
14.characteristic,Totla,Total
80.note,Reporting standards not met. Either there are toho few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
5.note,Reporting standards not met. Either there are too few cases for a reliable esitmate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
268.note,Reporting standards not met. Eiter there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
61.raceethnicity,Black non-Hispanic,"Black, non-Hispanic"
212.note,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percen or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
290.characteristic,"Asian, non-fHispanic","Asian, non-Hispanic"
172.sex,Mael,Male
55.characteristic,"Total - White,r non-Hispanic","Total - White, non-Hispanic"
36.characteristic,Total  Female,Total - Female
38.raceethnicity,"qAmerican Indian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
183.characteristic,"Asbian, non-Hispanic","Asian, non-Hispanic"
104.raceethnicity,"Pacific Islander, non-Hspanic","Pacific Islander, non-Hispanic"
198.note,Reporting standards not met. Either there are too few cases for a reliable estimte or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
306.raceethnicity,"Pacific Isalnder, non-Hispanic","Pacific Islander, non-Hispanic"
310.note,Rporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
71.note,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or geater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
166.note,Reporting standards not met. Either there are too few cases for a reliable estimat eor the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
223.sex,Mael,Male
208.raceethnicity,"Pacific Islander,d non-Hispanic","Pacific Islander, non-Hispanic"
324.note,Reporting standards not met. Either there are too few cases for a reliale estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
323.sex,Feale,Female
265.sex,Fmeale,Female
314.note,Reporting standards not met. Either there are too few cases foor a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
54.note,Reportinig standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
194.note,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation j(CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
225.characteristic,"Two or more races, no-Hispanic","Two or more races, non-Hispanic"
72.raceethnicity,Hispnic,Hispanic
81.note,Reporting standards not met. Eilther there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
299.characteristic,"Pacific Islanedr, non-Hispanic","Pacific Islander, non-Hispanic"
305.raceethnicity,"Pacific Islandr, non-Hispanic","Pacific Islander, non-Hispanic"
1.characteristic,Tostal,Total
205.note,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of veariation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
284.note,Reporting standards fnot met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
6.raceethnicity,"American Indian/Alsaka Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
265.note,Reporting standards not met. Either thereb are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
266.characteristic,"Black, dnon-Hispanic","Black, non-Hispanic"
209.note,Reporting standards not met. Eiwther there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
142.characteristic,"Whxite, non-Hispanic","White, non-Hispanic"
296.raceethnicity,"Pacnific Islander, non-Hispanic","Pacific Islander, non-Hispanic"
274.note,Reporting standards not met. Either there are too few cases for a reliable estimatej or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
119.raceethnicity,"Akmerican Indian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
