characteristic,sex,raceethnicity,yearvalue(long),rateperonezerozerozero(double precision),standarderroronrate(double precision),noteonrate,countvalue(double precision),standarderroroncount(double precision),noteoncount
Total,emale,"Ameican Indian/Alaska Native, non-Hispanic",2000,56.8,5.45,Reporting standards not met.,1512961.0,157692.8,Reporting standards not met.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2001,47.2,4.41,Reporting standards not met.,1281270.0,128024.3,Reorting standards not met.
Total,Fpemale,"American Indian/Alaska Native, non-Hispanic",2002,52.2,5.5,Reporting standards not met.,1429116.0,163034.8,Reporting standard snot met.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2003,45.6,4.67,Reporting standards not met.,1270011.0,139587.0,Reporting standards no met.
Total,Female,"Americn Indian/Alaska Native, non-Hispanic",2004,46.3,4.19,Reporting standards not met.,1311629.0,126617.1,Reporting standards not met.
Tottal,Female,"American Indian/Alaska Native, non-Hispanic",2005,47.2,4.76,Reporting standards not met.,1347732.0,145528.5,Reporting stanadrds not met.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2006,47.5,4.61,Reporting standards not met.,1351422.0,140348.7,Reporting standards not met.
oTotal,Female,"American Indian/Alaska Native, non-Hispanic",2007,37.9,4.23,Reporting standards not me.,1102128.0,132008.0,eporting standards not met.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2008,35.2,4.2,Reporting standards not met.,1029341.0,129394.5,Reporting standards not met.
Total,Female,"American Indian/Alaska Native, non-Hispanic",2009,28.4,3.95,Reporting standards not met.,833579.0,122398.1,Reporting standards not met.
Total,Female,"Ameirican Indian/Alaska Native, non-Hispanic",2010,29.9,3.93,Reporting standards not met.,894393.0,124489.2,Repovrting standards not met.
Total,Femle,"American Indian/Alaska Native, non-Hispanic",2011,33.9,3.82,Reporting standards notmet.,1008453.0,120751.8,Reporting standards not met.
Total,Fmeale,"American Indian/Alaska Ntaive, non-Hispanic",2012,35.7,3.58,Reporting standards not met.,1096232.0,115788.2,Reporting standardsnot met.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2000,64.9,7.26,Reporting standards not met.,867541.0,107086.4,Reporting standards not met.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2001,52.4,5.86,Reporting standards not met.,711430.0,86046.8,Reporting standards not met.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2002,58.0,7.16,Reporting standards not met.,792960.0,107648.1,Reporting standards not met.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2003,48.0,5.95,Reporting standards not met.,671440.0,90058.0,Reporting standards not met.
Total - Malve,Male,"American Indian/Alaska Native, non-Hispanic",2004,51.5,5.6,Reporting standards not met.,733774.0,85981.0,Reporting standards not met.
Total - Male,Male,"American Indian/Alaska Nativke, non-Hispanic",2005,59.3,6.79,Reporting standards not met.,855465.0,106868.3,Reporting stanqdards not met.
Total - Male,ale,"American Indian/Alaska Native, non-Hispanic",2006,50.7,5.96,Reporting standards not met.,729407.0,92599.0,Reporting standards not met.
Total - Male,Mael,"American Indian/Alaska Natiev, non-Hispanic",2007,38.2,5.05,Reporting standards not met.,565751.0,81164.2,Reporting standards not met.
Total - Male,Male,"merican Indian/Alaska Native, non-Hispanic",2008,32.7,5.07,Reporting standards not met.,484094.0,79035.4,Reporting standards not met.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2009,28.8,4.93,Reporting standards not met.,428762.0,77664.9,Reporting standards not met.
Total Male,Male,"American Indian/Alaska Native, non-Hispanic",2010,31.7,4.96,Reporting standards not met.,479855.0,80208.1,Reporting standards not met.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2011,38.9,5.12,Reporting standards not met.,589360.0,83198.6,Reporting standards not met.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2012,36.6,4.59,Reporting standards not met.,570144.0,75601.7,Reporting standards not met.
