267.noteonpercentage,Inteorpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
67.characteristic,"Total - Black, ndon-Hispanic","Total - Black, non-Hispanic"
4.characteristic,Ttoal,Total
192.percentage,52%,5.2%
17.percentage,g13.8%,13.8%
318.raceethnicity,"American Indian/Alaska Ntive, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
316.noteonpercentage,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 ajnd 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
177.characteristic,Hilspanic,Hispanic
284.sex,Fdemale,Female
101.raceethnicity,"Pacific Islander, nonHispanic","Pacific Islander, non-Hispanic"
126.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient ofn variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
109.percentage,222%,22.2%
128.percentage,109%,10.9%
162.noteoncount,Reporting standards not met. Either there are too few cases for qa reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
160.characteristic,"Black, nonH-ispanic","Black, non-Hispanic"
205.percentage,19.%,19.5%
258.characteristic,"Black, nonHispanic","Black, non-Hispanic"
64.percentage,22.%,22.8%
267.raceethnicity,Hispainc,Hispanic
191.characteristic,"Asian, non-Hsipanic","Asian, non-Hispanic"
136.raceethnicity,"Two or more races, non-Hispanoic","Two or more races, non-Hispanic"
233.noteoncount,Reporting standards noct met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
9.raceethnicity,"American Indian/Alaska Natve, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
296.noteoncount,Dtaa not available.,Data not available.
33.percentage,1%,18%
246.noteonpercentage,Interpret data with caution. The coefficient of variation (CV) for thise stimate is between 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
72.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or gvreater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
74.characteristic,Totial - Hispanic,Total - Hispanic
327.noteonpercentage,Interprte data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
91.percentage,1.8%,11.8%
110.percentage,13.%2,13.2%
319.noteonpercentage,Interpret data with caution. Trhe coefficient of variation (CV) for this estimate is between 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
278.sex,emale,Female
57.noteonpercentage,Interpret data with caution. The scoefficient of variation (CV) for this estimate is between 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
293.characteristic,"Asan, non-Hispanic","Asian, non-Hispanic"
233.characteristic,"Two ro more races, non-Hispanic","Two or more races, non-Hispanic"
267.sex,eFmale,Female
152.sex,Mae,Male
65.noteoncount,Reyporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
61.raceethnicity,"Back, non-Hispanic","Black, non-Hispanic"
61.characteristic,"Total - Black, non-iHspanic","Total - Black, non-Hispanic"
