187.noteoncount,Reporting standads not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
239.noteonpercentage,Interpret data with caution. The coefficient of vrariation (CV) for this estimate is between 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
328.noteonpercentage,Interpret data with cauion. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
150.sex,Malne,Male
16.sex,Mael,Male
181.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or thze coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
314.noteonpercentage,Interpret data with caution. The coefficient of variation (CV) fory this estimate is between 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
274.raceethnicity,Hispnic,Hispanic
116.noteoncount,Reporting standards not met. Either there are too feaw cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
41.characteristic,otal - Female,Total - Female
117.raceethnicity,"American Izndian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
73.raceethnicity,Hispanxic,Hispanic
81.characteristic,Total-  Hispanic,Total - Hispanic
131.raceethnicity,"Two or more races, non-Hisanic","Two or more races, non-Hispanic"
74.raceethnicity,dHispanic,Hispanic
329.noteoncount,Reporting standards not met. Either there are too few cases for a reliable esitmate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
193.sex,Mayle,Male
253.sex,Feale,Female
265.raceethnicity,"Blacyk, non-Hispanic","Black, non-Hispanic"
180.raceethnicity,Hipsanic,Hispanic
131.sex,Fedmale,Female
266.percentage,1.79%,17.9%
12.noteoncount,Reporting standards ont met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
81.percentage,308%,30.8%
291.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variatipon (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
159.characteristic,"Black, non-Hisqpanic","Black, non-Hispanic"
314.raceethnicity,"American Indian/Alaska Native,n on-Hispanic","American Indian/Alaska Native, non-Hispanic"
4.raceethnicity,"American Indian/Alasak Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
241.noteoncount,Reproting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
329.noteonpercentage,Interpret data with caution. The coefficent of variation (CV) for this estimate is between 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
34.noteoncount,Reporting standards not met. Either there rae too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
70.noteoncount,Reporting tsandards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
211.percentage,35.f4%,35.4%
336.sex,Femae,Female
292.characteristic,"Asian,n on-Hispanic","Asian, non-Hispanic"
223.percentage,18.3r%,18.3%
91.noteoncount,Reporting standards not et. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
97.noteonpercentage,Interpret daa with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
149.characteristic,"White, non-Higspanic","White, non-Hispanic"
166.noteonpercentage,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
180.noteonpercentage,Intzerpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.,Interpret data with caution. The coefficient of variation (CV) for this estimate is between 30 and 50 percent.
53.percentage,5.5%,15.5%
299.noteonpercentage,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greaterk.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
28.noteoncount,Reporting standards not met. Either there are too few cases for a rliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
229.raceethnicity,"wo or more races, non-Hispanic","Two or more races, non-Hispanic"
230.percentage,17.w5%,17.5%
64.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimtae or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
172.raceethnicity,Hisanic,Hispanic
