zipcode,totalpopulation,medianage,totalmales,totalfemales,totalhouseholds,averagehouseholdsize
91371.0,1,73.5,0,1,1,1.0
90001.0,57110,26.6,28468,28642,12971,4.4
90002.0,51223,25.5,24876,26347,11731,4.36
90003.0,66266,26.3,32631,33635,15642,4.22
90004.0,62180,34.8,31302,30878,22547,2.73
90005.0,37681,33.9,19299,18382,15044,2.5
90006.0,59185,32.4,30254,28931,18617,3.13
90007.0,40920,24.0,20915,20005,11944,3.0
90008.0,32327,39.7,14477,17850,13841,2.33
90010.0,3800,37.8,1874,1926,2014,1.87
90011.0,103892,26.2,52794,51098,22168,4.67
90012.0,31103,36.3,19493,11610,10327,2.12
90013.0,11772,44.6,7629,4143,6416,1.26
90014.0,7005,44.8,4471,2534,4109,1.34
90015.0,18986,31.3,9833,9153,7420,2.45
90016.0,47596,33.9,22778,24818,16145,2.93
90017.0,23768,29.4,12818,10950,9338,2.53
90018.0,49310,33.2,23770,25540,15493,3.12
90019.0,64458,35.8,31442,33016,23344,2.7
90020.0,38967,34.6,19381,19586,16514,2.35
90021.0,3951,44.3,2790,1161,1561,1.57
90022.0,67179,29.8,33216,33963,17023,3.94
90023.0,45903,28.4,23037,22866,10727,4.26
90024.0,47452,23.6,22248,25204,17903,2.03
90025.0,42147,34.7,20859,21288,21228,1.97
90026.0,67869,34.0,34515,33354,24956,2.68
90027.0,45151,38.3,22362,22789,21929,1.99
90028.0,28714,34.0,16056,12658,14964,1.78
90029.0,38617,34.6,19575,19042,13883,2.7
90031.0,39316,33.5,19546,19770,11156,3.49
90032.0,45786,32.4,22564,23222,12765,3.52
90033.0,48852,29.2,24425,24427,12924,3.66
90034.0,57964,32.8,28828,29136,25592,2.23
90035.0,28418,37.5,13326,15092,12814,2.19
90036.0,36865,33.9,17914,18951,18646,1.96
90037.0,62276,28.8,31187,31089,15869,3.85
90038.0,28917,33.1,15383,13534,11928,2.41
90039.0,28514,38.8,14383,14131,11436,2.47
90040.0,12520,31.2,6129,6391,3317,3.75
