246.satwritingavgscore,148,418
223.satmathavgscore,38x2,382
151.satcriticalreadingavgscore,cs,s
291.satcriticalreadingavgscore,r430,430
212.dbn,11X257,11X275
409.satcriticalreadingavgscore,432,423
39.dbn,01M450,02M427
51.satcriticalreadingavgscore,70,370
66.dbn,02M294,02M580
378.satcriticalreadingavgscore,i317,317
315.numofsattesttakers,35,53
469.satmathavgscore,fs,s
172.numofsattesttakers,3w2,32
425.satcriticalreadingavgscore,425,452
77.dbn,02M408,03M307
475.numofsattesttakers,ss,s
82.schoolname,THE HIGH SCHOOL OF FASHION INDUSTRIES,FRANK MCCOURT HIGH SCHOOL
170.schoolname,ACADEMY FOR LAtNGUAGE AND TECHNOLOGY,ACADEMY FOR LANGUAGE AND TECHNOLOGY
59.dbn,01M450,02M545
71.satcriticalreadingavgscore,70,370
466.numofsattesttakers,9,39
10.satcriticalreadingavgscore,935,395
178.satcriticalreadingavgscore,348,384
29.satwritingavgscore,23,523
311.satcriticalreadingavgscore,u385,385
51.dbn,01M450,02M500
111.numofsattesttakers,7n0,70
81.numofsattesttakers,2,32
181.schoolname,BRONX ENGINEERING AND TECHNOLOGY CADEMY,BRONX ENGINEERING AND TECHNOLOGY ACADEMY
5.satwritingavgscore,38s4,384
56.dbn,02M399,02M542
465.schoolname,ACADEMY OF URBN PLANNING,ACADEMY OF URBAN PLANNING
103.numofsattesttakers,n56,56
156.schoolname,HIGH SCHOOL X560 s BRONX ACADEMY HIGH SCHOOL***,HIGH SCHOOL X560 s BRONX ACADEMY HIGH SCHOOL
108.satwritingavgscore,88,588
382.numofsattesttakers,2c41,241
273.satwritingavgscore,308,380
7.dbn,01M448,01M539
189.satmathavgscore,048,408
270.dbn,14K748,14K478
312.satcriticalreadingavgscore,327,372
204.satcriticalreadingavgscore,c372,372
429.numofsattesttakers,4,74
21.satmathavgscore,e391,391
37.dbn,01M650,02M420
295.satmathavgscore,72,372
9.numofsattesttakers,c130,130
332.satwritingavgscore,,s
31.dbn,02M296,02M412
448.dbn,0Q575,30Q575
454.satwritingavgscore,47,417
477.schoolname,GEDv PLUS s CITYWIDE,GED PLUS s CITYWIDE
23.schoolname,ESSEX STREET ACADEMY,MANHATTAN BUSINESS ACADEMY
36.numofsattesttakers,26,62
79.dbn,02M308,03M403
132.schoolname,UfRBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS
81.dbn,02M294,03M415
14.satwritingavgscore,423,432
62.dbn,02M308,02M560
329.numofsattesttakers,04,40
385.satmathavgscore,043,403
113.satmathavgscore,57,357
248.satmathavgscore,55,355
20.satmathavgscore,h370,370
16.satmathavgscore,38,358
231.dbn,12Xi267,12X267
37.satwritingavgscore,28,428
252.dbn,31K483,13K483
38.satcriticalreadingavgscore,16,416
191.satwritingavgscore,3s30,330
404.numofsattesttakers,780,708
184.satwritingavgscore,30,370
238.satcriticalreadingavgscore,,s
451.numofsattesttakers,y61,61
473.dbn,7f5R025,75R025
61.satmathavgscore,243,423
226.dbn,11X545***,11X545
429.dbn,8Q690,28Q690
285.numofsattesttakers,77***,77
237.dbn,12X487,12X478
90.numofsattesttakers,ls,s
43.numofsattesttakers,59,95
32.dbn,02M305,02M413
397.numofsattesttakers,2d78,278
359.numofsattesttakers,04,40
372.satcriticalreadingavgscore,w311,311
224.dbn,11X5m42,11X542
70.satwritingavgscore,39n0,390
406.schoolname,FREDERICK DOUGkLASS ACADEMY VI HIGH SCHOOL,FREDERICK DOUGLASS ACADEMY VI HIGH SCHOOL
439.schoolname,"BUSINESS, COMPUTER APPLICATzIONS & ENTREPRENEURSHIP HIGH SCHOOL","BUSINESS, COMPUTER APPLICATIONS & ENTREPRENEURSHIP HIGH SCHOOL"
264.satwritingavgscore,ws,s
422.dbn,28Q44a0,28Q440
26.satwritingavgscore,ks,s
395.satcriticalreadingavgscore,339,393
274.dbn,4K586,14K586
289.satwritingavgscore,11,411
365.satwritingavgscore,39,439
63.schoolname,MILLENNIUM HIGH SCHOOL,URBAN ACADEMY LABORATORY HIGH SCHOOL
152.dbn,085X19,08X519
292.satwritingavgscore,58,358
325.numofsattesttakers,3k3,33
50.satmathavgscore,49,489
80.schoolname,BARD HIGH SCHOOL EARLY COLLEGE,INNOVATION DIPLOMA PLUS
447.satcriticalreadingavgscore,3o23,323
271.schoolname,BROOKLYN PRPARATORY HIGH SCHOOL,BROOKLYN PREPARATORY HIGH SCHOOL
44.dbn,02M298,02M440
69.dbn,02M393,02M605
290.dbn,5K667,15K667
309.satwritingavgscore,14,414
157.satcriticalreadingavgscore,377***,377
335.dbn,9K504,19K504
158.satmathavgscore,736,376
146.schoolname,BRON COMMUNITY HIGH SCHOOL,BRONX COMMUNITY HIGH SCHOOL
86.satwritingavgscore,420,402
295.schoolname,GOTHAM PROFESSIONALA RTS ACADEMY,GOTHAM PROFESSIONAL ARTS ACADEMY
308.satcriticalreadingavgscore,86,386
215.satcriticalreadingavgscore,37,387
119.satmathavgscore,49,349
294.satcriticalreadingavgscore,a362,362
192.dbn,10lX433,10X433
61.dbn,02M300,02M551
445.numofsattesttakers,74,174
161.satmathavgscore,46v4,464
43.dbn,02M288,02M439
52.numofsattesttakers,x81,81
76.schoolname,CASCADES HIGH SCHOOL,"HIGH SCHOOL FOR ARTS, IMAGINATION AND INQUIRY"
430.schoolname,"YOUG WOMEN'S LEADERSHIP SCHOOL, QUEENS","YOUNG WOMEN'S LEADERSHIP SCHOOL, QUEENS"
136.satwritingavgscore,346,364
389.numofsattesttakers,***,s
121.satmathavgscore,64,364
66.numofsattesttakers,48,84
30.dbn,02M407,02M411
306.satmathavgscore,35,375
67.satwritingavgscore,r429,429
83.numofsattesttakers,31,131
60.schoolname,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS
393.dbn,25Q2v85,25Q285
352.satmathavgscore,u427,427
140.dbn,08X95,08X295
305.satmathavgscore,49,349
366.satmathavgscore,c392,392
314.satmathavgscore,13,413
310.satwritingavgscore,73,373
72.schoolname,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",HIGH SCHOOL OF GRAPHIC COMMUNICATION ARTS
405.numofsattesttakers,15,175
319.satcriticalreadingavgscore,338,383
128.schoolname,HOSTOSsLINCOLN ACADEMY OFSCIENCE,HOSTOSsLINCOLN ACADEMY OF SCIENCE
386.satwritingavgscore,440***,440
222.satwritingavgscore,336,363
81.schoolname,FOOD AND FINANCE HIGH SCHOOL,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS
364.schoolname,MIWDOOD HIGH SCHOOL,MIDWOOD HIGH SCHOOL
30.satwritingavgscore,r518,518
52.dbn,01M450,02M519
138.satcriticalreadingavgscore,470,407
295.satcriticalreadingavgscore,70,370
104.satcriticalreadingavgscore,35k4,354
213.schoolname,COLLEGIATEINSTITUTE FOR MATH AND SCIENCE,COLLEGIATE INSTITUTE FOR MATH AND SCIENCE
61.satcriticalreadingavgscore,05,405
361.schoolname,WILLIAM E. GRADY CAREER AND TECHNIACL EDUCATION HIGH SCHOOL,WILLIAM E. GRADY CAREER AND TECHNICAL EDUCATION HIGH SCHOOL
268.satmathavgscore,k379,379
8.satwritingavgscore,41,411
281.schoolname,SECONDARY SCHOOL FOR dLAW,SECONDARY SCHOOL FOR LAW
411.satwritingavgscore,4b96,496
300.dbn,17K48g9,17K489
267.satmathavgscore,836,386
284.dbn,1K497,15K497
422.satwritingavgscore,544,454
21.schoolname,REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,GRAMERCY ARTS HIGH SCHOOL
328.dbn,8K637,18K637
140.satcriticalreadingavgscore,146,416
136.satcriticalreadingavgscore,36p3,363
402.dbn,26Q30,26Q430
49.dbn,02M296,02M475
51.satmathavgscore,34c9,349
71.dbn,01M650,02M620
349.satwritingavgscore,***,s
181.dbn,0X213,10X213
186.satcriticalreadingavgscore,420,402
448.satmathavgscore,429,492
36.dbn,01M515,02M419
415.dbn,7Q480,27Q480
475.dbn,75X574,75X754
90.schoolname,YOUNG ADULT BOROUGH CENTE AT LOUIS D. BRANDEIS HS,YOUNG ADULT BOROUGH CENTER AT LOUIS D. BRANDEIS HS
82.dbn,01M292,03M417
174.dbn,09X41e3,09X413
430.satmathavgscore,45,445
317.numofsattesttakers,65,56
117.numofsattesttakers,2q4,24
422.satcriticalreadingavgscore,465,456
48.dbn,02M418,02M473
126.satcriticalreadingavgscore,51,351
78.schoolname,MILLENNIUM HIGH SCHOOL,THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS
282.numofsattesttakers,m58,58
280.satcriticalreadingavgscore,93,393
275.satwritingavgscore,3p50,350
179.satmathavgscore,15,315
395.numofsattesttakers,34o7,347
225.schoolname,HIGH SCHOOL FOR CONTEMPORAY ARTS,HIGH SCHOOL FOR CONTEMPORARY ARTS
49.satcriticalreadingavgscore,697,679
4.schoolname,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,FORSYTH SATELLITE ACADEMY
102.satcriticalreadingavgscore,3e54,354
27.dbn,02M298,02M400
440.satmathavgscore,v381,381
463.numofsattesttakers,8,88
341.satcriticalreadingavgscore,t360,360
325.dbn,18K6t29,18K629
350.numofsattesttakers,8,18
231.numofsattesttakers,z36,36
433.schoolname,EXCELSImOR PREPARATORY HIGH SCHOOL,EXCELSIOR PREPARATORY HIGH SCHOOL
297.satwritingavgscore,b369,369
395.schoolname,FLUSHING HIGH SCOOL,FLUSHING HIGH SCHOOL
416.dbn,27Q605,27Q650
374.satmathavgscore,46,416
78.dbn,02M288,03M402
53.dbn,01M292,02M520
115.dbn,064M63,06M463
338.schoolname,MULTICULTURAL HIGH SCHOLO,MULTICULTURAL HIGH SCHOOL
23.dbn,02M418,02M392
58.dbn,01M650,02M544
64.schoolname,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVICES,SATELLITE ACADEMY HIGH SCHOOL
75.dbn,02M294,03M283
40.dbn,02M399,02M429
197.satwritingavgscore,401,410
74.dbn,01M515,02M655
200.numofsattesttakers,09,109
288.satwritingavgscore,36u8,368
478.numofsattesttakers,t9,9
131.satmathavgscore,56,356
120.numofsattesttakers,6v5,65
201.satwritingavgscore,144,414
109.dbn,6M293,06M293
404.satmathavgscore,532,523
20.dbn,02M300,02M316
208.satwritingavgscore,82,382
361.numofsattesttakers,59,95
67.satcriticalreadingavgscore,58,458
329.satcriticalreadingavgscore,76,376
437.satcriticalreadingavgscore,00,400
140.schoolname,GATEWAY SCHOOL FOR NVIRONMENTAL RESEARCH AND TECHNOLOGY,GATEWAY SCHOOL FOR ENVIRONMENTAL RESEARCH AND TECHNOLOGY
254.numofsattesttakers,k29,29
258.satwritingavgscore,41,431
72.dbn,02M294,02M625
468.schoolname,BUSHWICK COMMUNITY HIGH SCOHOL,BUSHWICK COMMUNITY HIGH SCHOOL
389.satcriticalreadingavgscore,zs,s
215.satmathavgscore,39k1,391
375.schoolname,ACADEMY OF FINANCE AND ENTREPRISE,ACADEMY OF FINANCE AND ENTERPRISE
358.dbn,21Kd540,21K540
174.satwritingavgscore,40p2,402
51.schoolname,LOWER MANHATTAN ARTS ACADEMY,UNITY CENTER FOR URBAN TECHNOLOGIES
60.satcriticalreadingavgscore,3b68,368
52.satmathavgscore,742,472
431.satwritingavgscore,39,359
460.dbn,13R605,31R605
156.numofsattesttakers,b9,9
379.numofsattesttakers,515,155
455.satwritingavgscore,49,429
113.schoolname,GEORGE WASIHNGTON YABC,GEORGE WASHINGTON YABC
149.satmathavgscore,,s
245.satcriticalreadingavgscore,325,352
49.numofsattesttakers,823,832
455.numofsattesttakers,35,375
13.numofsattesttakers,8,58
68.dbn,01M650,02M600
340.numofsattesttakers,6e0,60
223.satcriticalreadingavgscore,72,372
78.satwritingavgscore,,s
50.dbn,01M650,02M489
172.dbn,09Xp404,09X404
377.dbn,242Q93,24Q293
393.satwritingavgscore,418,481
322.dbn,18K5d78,18K578
163.dbn,9X252,09X252
175.numofsattesttakers,5,35
42.dbn,02M294,02M438
424.satmathavgscore,143,413
411.schoolname,SCHOLARS' ACADjEMY,SCHOLARS' ACADEMY
263.numofsattesttakers,1b02,102
478.satmathavgscore,307,370
270.satwritingavgscore,369,396
227.satmathavgscore,434,344
55.dbn,01M448,02M531
44.numofsattesttakers,95,59
326.numofsattesttakers,5,75
64.satwritingavgscore,435,345
88.satcriticalreadingavgscore,40r1,401
316.satwritingavgscore,ys,s
33.dbn,02M300,02M414
328.numofsattesttakers,5,35
205.numofsattesttakers,n73,73
472.numofsattesttakers,23,32
267.satcriticalreadingavgscore,470,407
171.satcriticalreadingavgscore,3d14,314
258.numofsattesttakers,t89,89
116.dbn,0M6467,06M467
188.numofsattesttakers,s49,49
184.satmathavgscore,06,406
46.dbn,02M416,02M459
50.numofsattesttakers,617,167
104.dbn,05469,05M469
139.satmathavgscore,35,385
275.schoolname,AUTMOOTIVE HIGH SCHOOL,AUTOMOTIVE HIGH SCHOOL
278.schoolname,AUTOMOTIVE HIGH SCHOL YABC,AUTOMOTIVE HIGH SCHOOL YABC
382.schoolname,GROVER CLEVELAND IHGH SCHOOL,GROVER CLEVELAND HIGH SCHOOL
194.satwritingavgscore,72,372
148.numofsattesttakers,,6
269.satcriticalreadingavgscore,13,413
142.numofsattesttakers,6c7,67
65.dbn,01M515,02M575
133.schoolname,BRONX ACADEMY OF LETqTERS,BRONX ACADEMY OF LETTERS
325.satmathavgscore,95,395
40.schoolname,INTERNATIONAL HIGH SCHOOL AT UNION SQUARE,LEGACY SCHOOL FOR INTEGRATED STUDIES
440.dbn,29Q948,29Q498
203.numofsattesttakers,8,68
165.satwritingavgscore,56,356
462.numofsattesttakers,05,50
222.dbn,1k1X514,11X514
432.satcriticalreadingavgscore,o401,401
27.satmathavgscore,93,493
54.dbn,01M292,02M529
418.satmathavgscore,454,445
319.satwritingavgscore,3w77,377
5.dbn,01M450,01M509
216.dbn,11X4r15,11X415
197.numofsattesttakers,434,443
38.dbn,02M407,02M425
301.numofsattesttakers,1,71
22.dbn,02M298,02M376
221.satmathavgscore,38j1,381
403.satmathavgscore,379,397
432.satwritingavgscore,35,375
210.numofsattesttakers,18,81
342.satwritingavgscore,3j68,368
143.numofsattesttakers,y39,39
60.dbn,02M298,02M550
57.satwritingavgscore,328,382
231.satcriticalreadingavgscore,4n08,408
125.satwritingavgscore,3s57,357
138.dbn,08X82,08X282
138.schoolname,WOMEN'S ACADEMY O EXCELLENCE,WOMEN'S ACADEMY OF EXCELLENCE
117.schoolname,HIGH SCHOOL FOR HEALTH CAREERS AND SCIExNCES,HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES
204.numofsattesttakers,5,55
22.numofsattesttakers,l92,92
449.satcriticalreadingavgscore,24,524
10.dbn,01M650,02M047
301.schoolname,INTERNATIONAL HIGH SCHOOL AT PuROSPECT HEIGHTS,INTERNATIONAL HIGH SCHOOL AT PROSPECT HEIGHTS
408.satwritingavgscore,l364,364
209.satwritingavgscore,930,390
321.dbn,p18K576,18K576
270.satmathavgscore,412,421
301.satwritingavgscore,91,291
300.satmathavgscore,3q64,364
207.satmathavgscore,64c8,648
149.dbn,08X43i2,08X432
47.dbn,02M296,02M460
191.schoolname,ENGLISH LANGUAGE LEARNRS AND INTERNATIONAL SUPPORT PREPARATORY ACADEMY (ELLIS),ENGLISH LANGUAGE LEARNERS AND INTERNATIONAL SUPPORT PREPARATORY ACADEMY (ELLIS)
234.dbn,1h2X388,12X388
76.dbn,01M515,03M299
166.satwritingavgscore,67,367
101.satwritingavgscore,***,s
343.satcriticalreadingavgscore,70,370
80.dbn,02M298,03M404
412.dbn,2Q400,27Q400
91.satcriticalreadingavgscore,365,356
57.dbn,01M450,02M543
89.schoolname,MANHATTAN / HUNTER SCqIENCE HIGH SCHOOL,MANHATTAN / HUNTER SCIENCE HIGH SCHOOL
53.satmathavgscore,404,440
50.satcriticalreadingavgscore,44f3,443
299.satcriticalreadingavgscore,zs,s
344.numofsattesttakers,8,38
111.schoolname,WASHINGTON HEIGHTS EXPEDITINARY LEARNING SCHOOL,WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL
33.schoolname,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,N.Y.C. MUSEUM SCHOOL
272.dbn,14K585,14K558
297.dbn,17K3f82,17K382
363.satcriticalreadingavgscore,11,411
409.dbn,27Q38,27Q308
444.satwritingavgscore,35,395
236.dbn,12X464,12X446
105.numofsattesttakers,124,214
64.dbn,02M288,02M570
352.dbn,21K34j4,21K344
410.schoolname,ACADEMY OF MEDICAL TECHNsOLOGY: A COLLEGE BOARD SCHOOL,ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD SCHOOL
321.schoolname,VICTORY COLLEGIATE HIGH SHOOL,VICTORY COLLEGIATE HIGH SCHOOL
402.satmathavgscore,r539,539
21.dbn,01M515,02M374
413.numofsattesttakers,8,78
424.dbn,28Q550,28Q505
147.satcriticalreadingavgscore,12,412
369.satmathavgscore,490,409
309.satmathavgscore,r441,441
73.dbn,02M393,02M630
388.satmathavgscore,4r96,496
178.dbn,0X525,09X525
4.dbn,01M292,01M458
363.satmathavgscore,39,369
392.satwritingavgscore,39e2,392
450.dbn,31R074,31R047
236.satcriticalreadingavgscore,30,380
94.satmathavgscore,397,379
53.schoolname,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS
463.dbn,32K554,32K545
98.dbn,04M60,04M680
440.numofsattesttakers,i62,62
372.schoolname,ASPIRTIONS DIPLOMA PLUS HIGH SCHOOL,ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL
432.numofsattesttakers,6,46
256.satwritingavgscore,3c79,379
32.satwritingavgscore,155,515
319.schoolname,BROOKLYN THEATRE ARTS HIGH SCeHOOL,BROOKLYN THEATRE ARTS HIGH SCHOOL
445.satmathavgscore,946,496
319.satmathavgscore,38,358
400.satwritingavgscore,377***,377
63.dbn,01M448,02M565
70.dbn,02M294,02M615
61.satwritingavgscore,834,384
359.satwritingavgscore,356,365
207.satcriticalreadingavgscore,66,636
132.dbn,07X458,07X548
79.schoolname,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,THE GLOBAL LEARNING COLLABORATIVE
41.dbn,02M418,02M437
413.satcriticalreadingavgscore,h384,384
109.satmathavgscore,a446,446
264.satmathavgscore,ts,s
244.satwritingavgscore,394,349
413.dbn,27Q401,27Q410
67.dbn,02M288,02M586
16.dbn,02M288,02M303
383.dbn,24520,24Q520
366.numofsattesttakers,36,236
267.numofsattesttakers,e41,41
314.numofsattesttakers,295,259
198.numofsattesttakers,2,52
256.numofsattesttakers,i8,8
42.satmathavgscore,,s
39.schoolname,HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES,MANHATTAN ACADEMY FOR ARTS & LANGUAGE
320.satcriticalreadingavgscore,386,368
228.dbn,12248,12X248
333.satmathavgscore,***,s
365.schoolname,JAMES MADISON HIGH SCrHOOL,JAMES MADISON HIGH SCHOOL
25.dbn,01M448,02M394
342.schoolname,CYPRESS HLLS COLLEGIATE PREPARATORY SCHOOL,CYPRESS HILLS COLLEGIATE PREPARATORY SCHOOL
472.satmathavgscore,44w4,444
65.satwritingavgscore,34j3,343
118.satmathavgscore,56,456
362.satcriticalreadingavgscore,492,429
45.dbn,02M296,02M449
368.satwritingavgscore,f440,440
1.satcriticalreadingavgscore,355***,355
307.satmathavgscore,426,462
69.schoolname,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,HUMANITIES PREPARATORY ACADEMY
458.dbn,1R470,31R470
347.schoolname,FORTk HAMILTON HIGH SCHOOL,FORT HAMILTON HIGH SCHOOL
131.schoolname,NEW EXPLnORERS HIGH SCHOOL,NEW EXPLORERS HIGH SCHOOL
371.satcriticalreadingavgscore,3c49,349
46.satcriticalreadingavgscore,76,376
410.numofsattesttakers,6,36
38.schoolname,MARTA VALLE HIGH SCHOOL,LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL
283.satmathavgscore,b416,416
158.numofsattesttakers,93,39
317.dbn,8K563,18K563
167.satmathavgscore,38i6,386
345.satcriticalreadingavgscore,420,402
393.numofsattesttakers,36,63
370.satwritingavgscore,395,359
380.satwritingavgscore,308,380
202.satcriticalreadingavgscore,***,s
247.satwritingavgscore,56,356
171.satmathavgscore,321,312
273.satcriticalreadingavgscore,379,397
86.dbn,03M429,03M492
366.schoolname,SHEsEPSHEAD BAY HIGH SCHOOL,SHEEPSHEAD BAY HIGH SCHOOL
321.satmathavgscore,77,377
122.dbn,07X343,07X334
401.numofsattesttakers,888***,888
453.numofsattesttakers,x391,391
313.satcriticalreadingavgscore,o476,476
437.satmathavgscore,p426,426
414.satwritingavgscore,386,368
467.satcriticalreadingavgscore,3a47,347
317.schoolname,IT TAKES A VILLAG ACADEMY,IT TAKES A VILLAGE ACADEMY
456.schoolname,TOTTNEVILLE HIGH SCHOOL,TOTTENVILLE HIGH SCHOOL
190.satcriticalreadingavgscore,92,392
327.dbn,18K65,18K635
74.schoolname,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVICES,LIFE SCIENCES SECONDARY SCHOOL
184.satcriticalreadingavgscore,832,382
19.dbn,02M288,02M313
73.satwritingavgscore,340,430
188.satwritingavgscore,v301,301
218.satcriticalreadingavgscore,4n19,419
259.dbn,31K605,13K605
85.satwritingavgscore,5d77,577
9.dbn,01M448,01M696
262.numofsattesttakers,2f0,20
400.dbn,25Q7j92,25Q792
149.satcriticalreadingavgscore,***,s
