psapid,psapname,county,city,statevalue,typeofchangefulltext,datelastmodified,geocodecitylevel
5093.0,Hamburg Public Safety,Erie,Erie,NY,No Changes have been made.,03/04/2004,"Erie, NY"
445.0,Hopi Police Department,Navajo,Houston,AZ,No Changes have been made.,03/04/2004,"AZ (34.869712, -111.760902)"
2619.0,Miami County E9-1-1,Miami,Peru,IN,No Changes have been made.,03/04/2004,"Peru, IN (40.753762, -86.069115)"
2321.0,Markham,Cook,Markham,IL,No Changes have been made.,03/04/2004,"Markham, IL (41.593513, -87.694621)"
2984.0,Martin County 9-1-1,Martin,Inez,KY,No Changes have been made.,03/04/2004,"Inez, KY (37.866646, -82.539105)"
2266.0,Hometown Etsb,Cook,Hometown,IL,No Changes have been made.,03/04/2004,"Hometown, IL (41.73199, -87.73231)"
2140.0,Burnham Police,Cook,Burnham,IL,No Changes have been made.,03/04/2004,"Burnham, IL (41.641544, -87.541402)"
5215.0,Tioga County 9-1-1,Tioga,Owego,NY,No Changes have been made.,03/04/2004,"Owego, NY (42.103237, -76.263163)"
4972.0,State Police-gallup,Mckinley,Gallup,NM,No Changes have been made.,03/04/2004,"Gallup, NM (35.519123, -108.739769)"
5475.0,Parma Police,Ashtabula,Parma,OH,No Changes have been made.,03/04/2004,"Parma, OH (41.384498, -81.734664)"
7620.0,Cheyenne City Police,Laramie,Cheyenne,WY,No Changes have been made.,03/04/2004,"Cheyenne, WY (41.14024, -104.818802)"
7531.0,Waupaca County Sheriff,Waupaca,Waupaca,WI,No Changes have been made.,03/04/2004,"Waupaca, WI (44.358804, -89.084882)"
7344.0,Sauk-suiattle Tribal Police Department,Snohomish,Darrington,WA,No Changes have been made.,03/04/2004,"Darrington, WA (48.255271, -121.604924)"
7618.0,Casper Police Department,Natrona,Casper,WY,No Changes have been made.,03/04/2004,"Casper, WY (42.850087, -106.325203)"
7346.0,Seattle Police Department,King,Seattle,WA,No Changes have been made.,03/04/2004,"Seattle, WA (47.603229, -122.33028)"
5137.0,New York City Police Department -brooklyn,New York,Brooklyn,NY,No Changes have been made.,03/04/2004,"Brooklyn, NY (40.692529, -73.990996)"
6534.0,Del Rio Police Department,Val Verde,Del Rio,TX,No Changes have been made.,03/04/2004,"Del Rio, TX (29.365723, -100.897922)"
7656.0,Torrington Police Department,Goshen,Torrington,WY,No Changes have been made.,03/04/2004,"Torrington, WY (42.067992, -104.182981)"
8131.0,E-com Dispatch Center,Cook,Homewood,IL,PSAP was added since the original posting of the FCC Registry.,12/30/2005,"Homewood, IL (41.563348, -87.668329)"
6574.0,Everman Police Department,Tarrant,Everman,TX,No Changes have been made.,03/04/2004,"Everman, TX (32.632014, -97.287121)"
7516.0,Taylor County,Taylor,Medford,WI,No Changes have been made.,03/04/2004,"Medford, WI (45.14287, -90.342964)"
5211.0,Suffolk County Police Department,Suffolk,Yaphank,NY,No Changes have been made.,03/04/2004,"Yaphank, NY (40.837128, -72.912138)"
3354.0,Clare County Central Dispatch,Clare,Harrison,MI,No Changes have been made.,03/04/2004,"Harrison, MI (42.58763, -82.81854)"
4125.0,Daniels County Sheriffs Office,Daniels,Scobey,MT,No Changes have been made.,03/04/2004,"Scobey, MT (48.79142, -105.420396)"
1564.0,Largo Police Department,Pinellas,Largo,FL,No Changes have been made.,03/04/2004,"Largo, FL (27.91829, -82.774936)"
7403.0,Caledonia Police,Racine,Caledonia,WI,No Changes have been made.,03/04/2004,"Caledonia, WI (42.814847, -87.914135)"
2210.0,Edwards County Sheriffs Department,Edwards,Albion,IL,No Changes have been made.,03/04/2004,"Albion, IL (38.377003, -88.056281)"
3126.0,St James Parish 9-1-1,St. James,Convent,LA,No Changes have been made.,03/04/2004,"Convent, LA (30.020897, -90.830036)"
5688.0,Noble County Sheriff,Noble,Perry,OK,No Changes have been made.,03/04/2004,"Perry, OK (36.289708, -97.285801)"
7535.0,West Allis Police And Fire,Milwaukee,West Allis,WI,No Changes have been made.,03/04/2004,"West Allis, WI (43.016629, -88.007282)"
1299.0,Bethel Police Department,Fairfield,Bethel,CT,No Changes have been made.,03/04/2004,"Bethel, CT (41.371727, -73.407448)"
3138.0,Vermilion Parish Communications District,Vermilion,Abbeville,LA,No Changes have been made.,03/04/2004,"Abbeville, LA (29.973848, -92.134547)"
2417.0,Rosemont Public Safety Department,Cook,Rosemont,IL,No Changes have been made.,03/04/2004,"Rosemont, IL (41.991886, -87.863316)"
3591.0,Woodhaven Police Department,Wayne,Woodhaven,MI,No Changes have been made.,03/04/2004,"Woodhaven, MI (42.138557, -83.244281)"
6031.0,Charleston Afb Fire Department,Charleston,Charleston,SC,No Changes have been made.,03/04/2004,"Charleston, SC (32.77647, -79.931027)"
8269.0,Calloway County Fiscal Court E911,Calloway,Murray,KY,PSAP was added since the original posting of the FCC Registry.,06/10/2010,"Murray, KY (36.610582, -88.315258)"
5174.0,Peekskill City Police Department,Westchester,Peekskill,NY,No Changes have been made.,03/04/2004,"Peekskill, NY (41.290357, -73.921894)"
3120.0,Slidell Police Department,St. Tammany,Slidell,LA,No Changes have been made.,03/04/2004,"Slidell, LA (30.278641, -89.779372)"
