psapid(long),psapname,county,city,statevalue,typeofchangefulltext,datelastmodified,geocodecitylevel
5093.0,Hamburg Public Safety,Eie,Erie,NY,No Changes have been made.,03/04/2004,"Erie, NY"
445.0,Hopi Police Department,Navajo,Houston,AZ,No Changes have been made.,03/04/2004,"AZ (34.869712, -111.760902)"
2619.0,Miami County E9-1-1,Miami,Peru,IN,No Changes have been made.,03/04/2004,"Peru, IN (40.753762, -86.069115)"
2321.0,Markham,Cook,Markham,IL,No Changes have been made.,03/04/2040,"Markham, IL (41.593513, -87.694621)"
2984.0,Martin County 9-1-1,Martin,Inez,KY,No Changes have been made.,03/04/2004,"Inez, KY (37.866646, -82.539105)"
2266.0,Hometown Etsb,Cook,Hometown,IL,No Changes have been made.,03/0h4/2004,"Hometown, IL (41.73199, -87.73231)"
445.0,Burnham Police,Cook,Burnham,IL,No Changes have been made.,03/04/2004,"Owego, NY (42.103237, -76.263163)"
5215.0,Tioga County 9-1-1,Tioga,Owego,NY,No Changes have been made.,03/04/2004,"Owego, NY (42.103237, -76.263163)"
2321.0,State Police-gallup,Mckinley,Gallup,NM,No Changes have been made.,03/04/2004,"Gallup, NM (35.519123, -108.739769)"
445.0,Parma Police,Ashtabula,Parma,OH,No Changes have been made.,03/04/2004,"Waupaca, WI (44.358804, -89.084882)"
7620.0,Cheyenne City Police,Laramie,Cheyenne,WY,No Changes have been made.,03/04/2004,"Cheyenne, WY (41.14024, -104.818802)"
7531.0,Waupaca County Sheriff,Waupaca,Waupaca,WI,No Changes have been made.,03/04/2004,"Waupaca, WI (44.358804, -89.084882)"
7344.0,Sauk-suiattle Tribal Police Department,Snohomish,Darrington,WA,No Changes have ybeen made.,03/04/2004***,"Darrington, WA (48.255271, -121.604924)"
2619.0,Casper Police Department,Natrona,Casper,WY,No Changes have been made.,03/04/2004,"Brooklyn, NY (40.692529, -73.990996)"
