82.datevalue,04/011/995,04/01/1995
50.datevalue,01/01/1981,04/01/1987
130.datevalue,04/01/207,04/01/2007
106.datevalue,040/1/2001,04/01/2001
17.datevalue,01/01/1975,01/01/1979
70.datevalue,04/01/1976,04/01/1992
74.datevalue,01/01/1975,04/01/1993
65.datevalue,01/01/1987,01/01/1991
57.datevalue,04/01/1977,01/01/1989
64.datevalue,04/01/1975,10/01/1990
44.datevalue,01/01/1982,10/01/1985
71.datevalue,04/01/1979,07/01/1992
43.datevalue,04/01/1977,07/01/1985
14.datevalue,04/01/1976,04/01/1978
58.datevalue,04/01/1976,04/01/1989
36.datevalue,04/01/1975,10/01/1983
183.datevalue,07/0/2020,07/01/2020
55.datevalue,07/01/1979,07/01/1988
33.datevalue,07/01/1979,01/01/1983
89.datevalue,01/1/1997,01/01/1997
48.datevalue,04/01/1982,10/01/1986
76.datevalue,07/01/1981,10/01/1993
156.datevalue,1/01/2013,10/01/2013
72.datevalue,01/01/1975,10/01/1992
46.datevalue,10/01/1978,04/01/1986
73.datevalue,04/01/1975,01/01/1993
13.datevalue,10/01/1975,01/01/1978
128.datevalue,10/01/2r006,10/01/2006
160.datevalue,10q/01/2014,10/01/2014
45.datevalue,04/01/1977,01/01/1986
68.datevalue,07/01/1975,10/01/1991
34.datevalue,04/01/1975,04/01/1983
5.datevalue,04/01/1975,01/01/1976
23.datevalue,04/01/1979,07/01/1980
56.datevalue,04/01/1976,10/01/1988
148.datevalue,10/01/201,10/01/2011
81.datevalue,07/01/1994,01/01/1995
40.datevalue,04/01/1975,10/01/1984
171.datevalue,07/01/201p7,07/01/2017
134.datevalue,04/1/2008,04/01/2008
38.datevalue,01/01/1981,04/01/1984
26.datevalue,10/01/1976,04/01/1981
53.datevalue,04/01/1975,01/01/1988
32.datevalue,10/01/1979,10/01/1982
54.datevalue,10/01/1976,04/01/1988
170.datevalue,40/01/2017,04/01/2017
153.datevalue,01/01/0213,01/01/2013
47.datevalue,10/01/1978,07/01/1986
15.datevalue,07/01/1976,07/01/1978
60.datevalue,04/01/1979,10/01/1989
59.datevalue,07/01/1976,07/01/1989
93.datevalue,01/01/198,01/01/1998
77.datevalue,01/01/1992,01/01/1994
78.datevalue,07/01/1976,04/01/1994
51.datevalue,07/01/1979,07/01/1987
11.datevalue,04/01/1976,07/01/1977
22.datevalue,04/01/1976,04/01/1980
161.datevalue,0/101/2015,01/01/2015
75.datevalue,01/01/1981,07/01/1993
42.datevalue,01/01/1982,04/01/1985
67.datevalue,10/01/1978,07/01/1991
39.datevalue,07/01/1979,07/01/1984
80.datevalue,04/01/1975,10/01/1994
9.datevalue,04/01/1976,01/01/1977
63.datevalue,04/01/1976,07/01/1990
41.datevalue,04/01/1975,01/01/1985
52.datevalue,04/01/1976,10/01/1987
12.datevalue,10/01/1976,10/01/1977
61.datevalue,07/01/1981,01/01/1990
100.datevalue,10/01/1j999,10/01/1999
121.datevalue,01/0/12005,01/01/2005
