id(long),trafficvolumecountlocationaddress,street,dateofcount,totalpassingvehiclevolume(long),vehiclevolumebyeachdirectionoftraffic,latitude(double precision),longitude(double precision),locationvalue
414.0,5838 West,Lake St,11/14/2006,7100,East Bound: 3600 / West Bound: 3500,41.887904,-87.771064,"(41.887904, -87.771064)"
176.0,320 East,76th St,03/28/2006,8600,East Bound: 3800 / West Bound: 4800,41.756542,-87.617335,"(41.756542, -87.617335)"
1367.0,1730 East,57th Dr,08/24/e2006,53500,East Bound: 27800 / West Bound: 25700,41.792663,-87.582231,"(41.792663, -87.582231)"
1328.0,125 East,24th St,03/30/2006,700,East Bound: 400 / West Bound: 300,41.849302,-87.622658,"(41.849302, -87.622658)"
1328.0,2924E ast,130th St,08/29/2006,4200,East Bound: 2300 / West Bound: 1900,41.659177,-87.552112,"(41.659177, -87.552112)"
176.0,1931West,Lake St,10/19/2006,6900,East Bound: 3400 / West Bound: 3500,41.885023,-87.675556,"(41.885023, -87.675556)"
1328.0,6067 Norht,Kimball Ave,08/15/2u006,15600,North Bound: 7500 / South Bound: 8100,41.992042,-87.714036,"(41.992042, -87.714036)"
960.0,5116 North,Ashland Ave,08/22/2006,26700,North Bound: 13100 / South Bound: 13600,41.974889,-87.669587,"(41.974889, -87.669587)"
85.0,6416 South,State St,05/02/2006,19300,North Bound: 8800 / South Bound: 10500,41.777072,-87.62526,"(41.777072, -87.62526)"
176.0,435 North,La Salle St,09/21/2006,32300,East Bound: 400 / West Bound: 300,41.890186,-87.632548,"(41.890186, -87.632548)"
960.0,6891 Wesrt,Diversey Ave,08/16/2006,16600,East Bound: 8600 / West Bound: 8000,41.930851,-87.797915,"(41.930851, -87.797915)"
674.0,4034 North,Ashland Avle,08/29/2006,33400,East Bound: 8600 / West Bound: 8000,41.955361,-87.669076,"(41.849302, -87.622658)"
1328.0,626 North,Homan Ave,i09/27/2006,10700,North Bound: 5300 / South Bound: 5400,41.892668,-87.71135,"(41.892668, -87.71135)"
397.0,6559 Soth,Damen Ave,10/11/2006,21500,East Bound: 27800 / West Bound: 25700,41.773922,-87.673756,"(41.773922, -87.673756)"
176.0,9150 South,Harbor Ave,05/04/2060,2500,North Bound: 1100 / South Bound: 1400,41.729262,-87.541841,"(41.729262, -87.541841)"
1286.0,10621 gSouth,Halsted St,08/31/2006,31800,North Bound: 1100 / South Bound: 1400,41.700823,-87.642645,"(41.974889, -87.669587)"
1367.0,5834 South,Cottage Grove Ave,1011/2006,25000,East Bound: 400 / West Bound: 300,41.788454,-87.606097,"(41.788454, -87.606097)"
819.0,2641 West,Pershingf Rd,09/26/2006,11000,East Bound: 5800 / West Bound: 5200,41.822852,-87.691118,"(41.930851, -87.797915)"
176.0,6722 South,Halsted St,03/21/2006,13500,East Bound: 8600 / West Bound: 8000,41.771775,-87.644579,"(41.756542, -87.617335)"
819.0,161 East,Chicagro Ave,10/03/2006,18100,East Bound: 9700 / West Bound: 8400,41.89675,-87.623095,"(41.792663, -87.582231)"
85.0,3249 West,71st St,11/14/2006,15600,North Bound: 8800 / South Bound: 10500,41.764348,-87.70478,"(41.764348, -87.70478)"
379.0,4624 South,Woodlawn Ave,05/2/2006,3000,North Bound: 1500 / South Bound: 1500,41.810689,-87.596855,"(41.764348, -87.70478)"
1367.0,389 Wets,Washington St,09/26/2006,17000,East Bound: 3600 / West Bound: 3500,41.883192,-87.638103,"(41.777072, -87.62526)"
674.0,4550 Wet,Addison Ave,08/14/206,23600,East Bound: 11800 / West Bound: 11800,41.946193,-87.741344,"(41.885023, -87.675556)"
979.0,2034 North,Halsted St,10/61/2006,18700,North Bound: 7500 / South Bound: 8100,41.919237,-87.648548,"(41.777072, -87.62526)"
1328.0,7020 South,St Lawrence Ave,05/04/2006,5000,North Bound: 3400 / South Bound: 1600,41.766933,-87.610456,"(41.766933, -87.610456)"
397.0,4453 North,Damen Ave,08/16/2006,13000,East Bound: 3800 / West Bound: 4800,41.963061,-87.679019,"(41.963061, -87.679019)"
1111.0,223 West,Jackson Blvd,09/28/2006,11300,East Bound: 11300 / / Oneway East Bound,41.878111,-87.634405,"(41.792663, -87.582231)"
277.0,944 West,55th Street,04/27/2006,33800,East Bound: 3600 / West Bound: 3500,41.794244,-87.648908,"(41.849302, -87.622658)"
979.0,1525 West,Belmont Ave,10/16/2006,19200,North Bound: 1500 / South Bound: 1500,41.939715,-87.667324,"(41.992042, -87.714036)"
414.0,650 West,Washington St,09/27/2006,19000,East Bound: 3400 / West Bound: 3500,41.883162,-87.644644,"(41.756542, -87.617335)"
1170.0,2126 South,Central Park Ave,09/14/2006,9100,East Bound: 3800 / West Bound: 4800,41.852621,-87.715027,"(41.892668, -87.71135)"
1367.0,11 North,Lramie Ave,10/23/2006,20600,East Bound: 5800 / West Bound: 5200,41.889649,-87.755407,"(41.892668, -87.71135)"
506.0,2335 West,Madison St,10/12/2006,13200,East Bound: 5100 / West Bound: 8100,41.881177,-87.6854,"(41.849302, -87.622658)"
379.0,1623 West,43rd St,03/29/2006,6100,East Bound: 3200 / West Bound: 2900,41.815858,-87.666235,"(41.773922, -87.673756)"
176.0,8k55 West,Washington St,09/19/2006,9500,East Bound: 9500 / / Oneway East Bound,41.883107,-87.649602,"(41.659177, -87.552112)"
379.0,1708 West,71stStreet,03/09/2006,14600,East Bound: 6900 / West Bound: 7700,41.764877,-87.666635,"(41.792663, -87.582231)"
960.0,6240 Norht,icero Ave,08/08/2006,21900,North Bound: 1100 / South Bound: 1400,41.994184,-87.748337,"(41.974889, -87.669587)"
176.0,173 West,Ohio St,0n9/21/2006,37700,East Bound: 37700 / / Oneway East Bound,41.892388,-87.634088,"(41.930851, -87.797915)"
414.0,6214 South,Kedzie Ave,08/10/2006,24200,East Bound: 3800 / West Bound: 4800,41.780314,-87.703172,"(41.756542, -87.617335)"
715.0,835 North,Clark St,09/2/2006,16500,South Bound: 16500/ Oneway South Bound,41.897747,-87.631275,"(41.885023, -87.675556)"
1111.0,7500 South,Ashland Ave,03/21/006,26300,East Bound: 3800 / West Bound: 4800,41.757724,-87.663608,"(41.756542, -87.617335)"
1199.0,4281 South,Archer Ave,08/10/2006,30600,North Bound: 15800 t/ South Bound: 14800,41.815505,-87.701939,"(41.815505, -87.701939)"
414.0,206 West,Van Buren St,09/20/2006,10500,West Bound: 10500/ Oneway West Bound,41.876846,-87.633902,"(41.788454, -87.606097)"
1081.0,10535 Syouth,Wentworth Ave,11/01/2006,8300,East Bound: 5800 / West Bound: 5200,41.70242,-87.628153,"(41.764348, -87.70478)"
1297.0,2816 Eats,95th St,10/18/200g6,13700,East Bound: 3800 / West Bound: 4800,41.722709,-87.55587,"(41.792663, -87.582231)"
442.0,4856 West,Foster Ave,08/10/2006,27600,North Bound: 1500 / South Bound: 1500,41.9753,-87.750239,"(41.890186, -87.632548)"
1050.0,555 West,Adams St,09/20/2006,11700,East Bound: 27800 / West Bound: 25700,41.879284,-87.641796,"(41.974889, -87.669587)"
193.0,1165 East,83rd Street,03/28/2006,9000,East Bound: 5300 / West Bound: 3700,41.744086,-87.595315,"(41.792663, -87.582231)"
1308.0,2223West,107th St,09/06/2006,8200,East Bound: 400 / West Bound: 300,41.699096,-87.6777,"(41.890186, -87.632548)"
1367.0,4047 West,Fullerton Ave,08/16/2006,37900,East Bound: 400 / West Bound: 300,41.924462,-87.728691,"(41.792663, -87.582231)"
193.0,440 Eat,31st St,10/12/2006,16600,North Bound: 5300 / South Bound: 5400,41.838445,-87.615498,"(41.777072, -87.62526)"
1297.0,2032 North,Milwaukee Ave,10/23/2006,14600,North Bound: 7600 / South Bound: 7000,41.918295,-87.689798,"(41.792663, -87.582231)"
506.0,4042 West,Cermak Rd,11/14/2006,23200,East Bound: 3400 / West Bound: 3500,41.851522,-87.726497,"(41.930851, -87.797915)"
1081.0,300 South,Damen Ave,08/17/2006,21500,East Bound: 5100 / West Bound: 8100,41.877446,-87.676545,"(41.877446, -87.676545)"
397.0,7234 Ssouth,Western Ave,03/23/2006,40500,East Bound: 27800 / West Bound: 25700,41.761813,-87.683164,"(41.729262, -87.541841)"
414.0,645 Notrh,State St,01/09/2007,23100,North Bound: 8800 / South Bound: 10500,41.893306,-87.628117,"(41.756542, -87.617335)"
1199.0,750 North,Central Park Ave,10/12/2006,10300,East Bound: 3800 / West Bound: 4800,41.895238,-87.716306,"(41.756542, -87.617335)"
1367.0,7724 South,Racine Ave,03/28/2006,10700,North Bound: 7500 / South Bound: 8100,41.753377,-87.653813,"(41.792663, -87.582231)"
979.0,3610South,Morgan St,03/09/2006,5300,East Bound: 400 / West Bound: 300,41.828474,-87.65091,"(41.930851, -87.797915)"
414.0,6023 South,State St,10/11/2006,20400,East Bound: 27800 / West Bound: 25700,41.784837,-87.625446,"(41.930851, -87.797915)"
979.0,406 North,Clark St,09/27/2006,20700,East Bound: 9700 / West Bound: 8400,41.889469,-87.631064,"(41.766933, -87.610456)"
277.0,1519 West,Harrison St,04/26/2006,8800,North Bound: 3400 / South Bound: 1600,41.874199,-87.665037,"(41.849302, -87.622658)"
414.0,3110 Soth,California Ave,08/17/2006,30800,East Bound: 2300 / West Bound: 1900,41.836927,-87.695017,"(41.974889, -87.669587)"
1160.0,30South,Wabash Ave,09/26/2006,9200,South Bound: 9200/ Oneway South Bound,41.88133,-87.626189,"(41.88673, -87.623929)"
819.0,2050 East,71st St,03/09/2006,8600,East Bound: 3400 / West Bound: 3500,41.76626,-87.574226,"(41.659177, -87.552112)"
1328.0,22q31 North,Kimball Ave,10/09/2006,12200,North Bound: 6100 / South Bound: 6100,41.92195,-87.712021,"(41.92195, -87.712021)"
1302.0,9352 South,Dr Martin Luther King Jr Dr,08/31/2006,20000,East Bound: 27800 / West Bound: 25700,41.723931,-87.614195,"(41.788454, -87.606097)"
960.0,3845 West,Lawrence Ave,08/1/2006,23800,East Bound: 1150 / West Bound: 12300,41.968273,-87.724989,"(41.963061, -87.679019)"
1286.0,5420 South,Western Blvd,03/23/206,20100,North Bound: 8800 / South Bound: 10500,41.79459,-87.684058,"(41.930851, -87.797915)"
506.0,329 East,51st St,04/27/2006,8800,North Bound: 13100 / South Bound: 13600,41.802072,-87.618178,"(41.792663, -87.582231)"
397.0,4432 South,Ashland Ave,10/11/2006,39400,East Bound: 3600 / West Bound: 3500,41.813049,-87.665083,"(41.788454, -87.606097)"
176.0,1055 North,Central Ave,11/13/2006***,22700,North Bound: 10700 / South Bound: 12000,41.900144,-87.765583,"(41.885023, -87.675556)"
1199.0,7000S outh,Jeffery Ave,09/06/2006,24700,North Bound: 11900 / South Bound: 12800,41.767951,-87.576347,"(41.849302, -87.622658)"
819.0,3758 West,Montrose Ave,08/23/2006,22000,East Bound: 5800 / West Bound: 5200,41.961009,-87.722889,"(41.659177, -87.552112)"
674.0,3535 eWst,47th St,08/22/2006,23600,East Bofund: 12300 / West Bound: 11300,41.808006,-87.712716,"(41.892668, -87.71135)"
1297.0,243 North,Homan Ave,09/27/2006,12600,East Bound: 2300 / West Bound: 1900,41.88602,-87.711158,"(41.887904, -87.771064)"
1328.0,2857 West,Pershing Rd,09/62/2006,7800,East Bound: 4300 / West Bound: 3500,41.822739,-87.696963,"(41.822739, -87.696963)"
674.0,3242 North,Californiao Ave,10/09/2006,11900,East Bound: 3400 / West Bound: 3500,41.940634,-87.697862,"(41.792663, -87.582231)"
819.0,1015 East,Hyde Park Blvd,04/7/2006,9700,North Bound: 8800 / South Bound: 10500,41.802322,-87.600681,"(41.892668, -87.71135)"
1286.0,6656 West,Diversey Ave,08/10/2006,23900,East Bound: 12400 / West Bound: 11500,41.930915,-87.792906,"(41.930851, -87.797915)"
1328.0,1905 South,Loomis St,03/09/2006,5300,North Bound: 2300 / South Bound: 3000,41.855898,-87.661264,"(41.855898, -87.661264)"
819.0,2859 North,Central Park Ave,10/17/2006,9000,East Bound: 8600 / West Bound: 8000,41.933649,-87.717233,"(41.92195, -87.712021)"
176.0,1251 South,Michigan Ave,11g/16/2006,21600,East Bound: 27800 / West Bound: 25700,41.866034,-87.624114,"(41.885023, -87.675556)"
1328.0,309 West,DiverseyA ve,8/10/2006,17700,East Bound: 3800 / West Bound: 4800,41.931846,-87.722476,"(41.890186, -87.632548)"
960.0,8333 South,Dr Martin Luther King Jr Dr,10/18/2006,19600,North Bound: 1500 / South Bound: 1500,41.742807,-87.614706,"(41.792663, -87.582231)"
819.0,4107 South,Cottage Grove Ave,03/30/2006,10800,East Bound: 2300 / West Bound: 1900,41.820171,-87.606798,"(41.963061, -87.679019)"
674.0,1629 West,Warren Blvd,10/05/2006,4500,East Bound: 27800 / West Bound: 25700,41.882362,-87.668041,"(41.777072, -87.62526)"
506.0,5900 West,Diversey Ave,08/1x0/2006,21800,East Bound: 11300 / / Oneway East Bound,41.931174,-87.77358,"(41.992042, -87.714036)"
277.0,5741 West,Grand Ave,10/23/v2006,21700,East Bound: 2300 / West Bound: 1900,41.919484,-87.769758,"(41.764348, -87.70478)"
176.0,2950 South,Michigan Ave,03/02/2006,13200,East Bound: 11800 / West Bound: 11800,41.839562,-87.623493,"(41.992042, -87.714036)"
442.0,222 West,75th St,10/04/206,20300,North Bound: 1100 / South Bound: 1400,41.758139,-87.630684,"(41.930851, -87.797915)"
1050.0,2208 West,111th St,08/22/2006,22600,East Bound: 27800 / West Bound: 25700,41.69184,-87.676796,"(41.974889, -87.669587)"
1170.0,7845 South,Cottage Grove Ave,10/18/2006,27300,East Bound: 8600 / West Bound: 8000,41.75174,-87.605221,"(41.930851, -87.797915)"
414.0,1445 West,63rd Street,03/28/2006,10800,East Bound: 5800 / West Bound: 5200,41.779519,-87.661134,"(41.659177, -87.552112)"
379.0,210 South,Clinton St,10/02/2006,11600,East Bound: 400 / West Bound: 300,41.878904,-87.641098,"(41.792663, -87.582231)"
674.0,2856 East,79th St,10/18/2006,8600,East Bound: 5100 / West Bound: 8100,41.751887,-87.554734,"(41.930851, -87.797915)"
1050.0,3501 North,Central Ave,10/26/2006,27200,East Bound: 3400 / West Bound: 3500,41.944085,-87.766693,"(41.992042, -87.714036)"
674.0,2761 North,Narragansett Ave,10/25/2006,23700,East Bound: 2300 / West Bound: 1900,41.931002,-87.785687,"(41.788454, -87.606097)"
442.0,1325 West,Granville Ave,11/02/2006,6400,East Bound: 3300 / West Bound: 3100,41.994513,-87.663898,"(41.974889, -87.669587)"
1297.0,777 West,Chicago Ave,09/19/2006,27600,East Bound: 13000 / West Bound: 14600,41.896397,-87.647745,"(41.888062, -87.626842)"
1081.0,290 North,Wells St,09/192/006,12200,East Bound: 3800 / West Bound: 4800,41.886932,-87.633964,"(41.886932, -87.633964)"
176.0,8500 West,Forest Preserve Ave,10/25/2006,10400,North Bound: 13100 / South Bound: 13600,41.939787,-87.837966,"(41.777072, -87.62526)"
414.0,140 East,South Water Lower St,09/26/b2006,10600,East Bound: 8600 / West Bound: 8000,41.88673,-87.623929,"(41.88673, -87.623929)"
819.0,186 North,Des Plaines St,10/02/2006,7300,South Bound: 7300/ Oneway South Bound,41.885696,-87.644242,"(41.992042, -87.714036)"
960.0,1 West,Grand Ave,09/21/2006,18800,West Bound: 18800/ Oneway West Bound,41.891671,-87.628113,"(41.887904, -87.771064)"
1199.0,1350 West,Lawrence Ave,i11/07/2006,20700,North Bound: 13100 / South Bound: 13600,41.968951,-87.66443,"(41.968951, -87.66443)"
397.0,15 South,Wells St,09/19/2006,9900,East Bound: 3600 / West Bound: 3500,41.881401,-87.633811,"(41.773922, -87.673756)"
1170.0,115 South,Sacramento Ave,10/09/2006,22100,North Boyund: 11200 / South Bound: 10900,41.879204,-87.701155,"(41.974889, -87.669587)"
1050.0,1760 West,Ogdn Ave,05/09/2006,20100,East Bound: 3600 / West Bound: 3500,41.876773,-87.671635,"(41.788454, -87.606097)"
414.0,158 East,107th St,08/29/2006,8000,East Bound: 5800 / West Bound: 5200,41.69994,-87.618575,"(41.777072, -87.62526)"
1297.0,718 West,76th Stret,03/28/2006,15400,East Bond: 7800 / West Bound: 7600,41.756101,-87.642566,"(41.890186, -87.632548)"
379.0,3018 East,95th St,11/14/2006,8000,East Bound: 2300 / West Bound: 1900,41.722773,-87.550305,"(41.887904, -87.771064)"
277.0,517 North,Western Ave,08/15l/2006,33100,East Bound: 3600 / West Bound: 3500,41.972841,-87.689047,"(41.992042, -87.714036)"
193.0,5205 North,Nagle Ave,08/22/006,18300,East Bound: 400 / West Bound: 300,41.975916,-87.787866,"(41.888062, -87.626842)"
442.0,6911 West,Irving Park Rd,08/24a/2006,28600,East Bound: 13600 / West Bound: 15000,41.952742,-87.799221,"(41.885023, -87.675556)"
1328.0,1428 West,87t Street,03/28/2006,31600,Est Bound: 16000 / West Bound: 15600,41.735844,-87.659417,"(41.974889, -87.669587)"
674.0,1257 West,Roosevelt Rd,10/19/2006,26800,East Bound: 13700 / West Bonud: 13100,41.866958,-87.659,"(41.974889, -87.669587)"
414.0,3543 Wet,North Ave,10/18/2060,39500,East Bound: 3600 / West Bound: 3500,41.910014,-87.713878,"(41.886932, -87.633964)"
414.0,3755 East,112th St,10/18/2006,6300,East Bound: 3600 / West Bound: 3500,41.69183,-87.531879,"(41.69183, -87.531879)"
414.0,5051x North,Broadway,08/24/2006,25000,East Bound: 8600 / West Bound: 8000,41.974157,-87.659809,"(41.849302, -87.622658)"
674.0,948 West,95th Street,03/22/2006,29100,East Bound: 3800 / West Bound: 4800,41.721409,-87.647429,"(41.788454, -87.606097)"
979.0,843 South,Columbus Dr,09/19/2006,37000,North Bound: 18700 / South Bound: 18300,41.87138,-87.620556,"(41.756542, -87.617335)"
1367.0,425 South,Wacker Dr,09/192006,4900,East Bound: 8600 / West Bound: 8000,41.876342,-87.636323,"(41.849302, -87.622658)"
674.0,6231South,Narragansett Ave,09/12/2006,10800,North Bound: 5500 / South Bound: 5300,41.778562,-87.781296,"(41.992042, -87.714036)"
819.0,5848 South,Indiana Ave,03/02/2006,4400,East Bound: 3600 / West Bound: 3500,41.787779,-87.620665,"(41.756542, -87.617335)"
674.0,2830 West,87th St,08/17/2006,29400,East Bound: 400 / West Bound: 300,41.735341,-87.693452,"(41.888062, -87.626842)"
819.0,2235 South,Damen Avce,08/17/2006,24000,East Bound: 2300 / West Bound: 1900,41.851171,-87.675811,"(41.729262, -87.541841)"
960.0,4850 West,Peterson Ave,09/21/20u06,42800,North Bound: 8800 / South Bound: 10500,41.990126,-87.750526,"(41.890186, -87.632548)"
1302.0,1420 West,PrattB lvd,08/23/2006,7100,North Bound: 1500 / South Bound: 1500,42.00544,-87.666635,"(41.974889, -87.669587)"
1367.0,3630 South,Damen Ave,03/01/2006,7000,East Bound: 3400 / West Bound: 3500,41.827625,-87.675208,"(41.887904, -87.771064)"
979.0,335 West,59thSt,09/20/2006,16800,North Bound: 7500 / South Bound: 8100,41.787212,-87.634206,"(41.756542, -87.617335)"
379.0,125j6 West,Addison Ave,08/15/2006,19800,East Bound: 10100 / West Bound: 9700,41.947109,-87.661464,"(41.890186, -87.632548)"
1328.0,624 South,Michigan Ave,09/26/2006,33100,North Bound: 16400 / South Bound: 16700,41.873905,-87.624218,"(41.777072, -87.62526)"
379.0,575 West,26TH ST,03/28/2006,6900,East Bound: 11800 / West Bound: 11800,41.845391,-87.641581,"(41.892668, -87.71135)"
1367.0,1650 East,Midway Plaisance,03/28/2006,13400,East Bound: 7600 / West Bound: 5800,41.786166,-87.584966,"(41.849302, -87.622658)"
960.0,2010 South,Calumet Ave,10/17/2006,2400,North Bound: 1700 / South Bound: 700,41.855226,-87.619095,"(41.792663, -87.582231)"
85.0,3835 South,Damen Ave,08/17/0206,25800,North Bound: 12200 / South Bound: 13600,41.82387,-87.675108,"(41.777072, -87.62526)"
397.0,3908 West,Marquette St,08x/22/2006,18000,East Bound: 3600 / West Bound: 3500,41.771406,-87.720493,"(41.887904, -87.771064)"
960.0,7952 South,Exchange Ave,03/j07/2006,7400,East Bound: 9700 / West Bound: 8400,41.7504,-87.5528,"(41.974889, -87.669587)"
397.0,6350 South,Cornell Dr,08/24/2006,47900,East Bound: 11300 / / Oneway East Bound,41.778752,-87.585085,"(41.888062, -87.626842)"
1328.0,333 North,Wabash Ave,09/19/2006,10400,North Bound: 2500 / South Bound: 7900,41.888062,-87.626842,"(41.888062, -87.626842)"
397.0,4936 South,Damen Ave,03/09/2006,10900,East Bound: 3400 / West Bound: 3500,41.803741,-87.674569,"(41.930851, -87.797915)"
960.0,340 South,Michigan Ave,10/31/2006,33500,East Bound: 8600 / West Bound: 8000,41.876241,-87.624273,"(41.659177, -87.552112)"
414.0,249 South,Columbus Dr,11/07/2006,30100,North Bound: 13900 / South Bound: 16200,41.878842,-87.620705,"(41.849302, -87.622658)"
176.0,261 East,59th St,03/28/2006,6500,East Bound: 3400 / West Bound: 3100,41.78747,-87.619044,"(41.729262, -87.541841)"
277.0,3220 East,134th St,08/31/2006,4700,North Bound: 8800 / South Bound: 10500,41.651861,-87.54501,"(41.792663, -87.582231)"
