235.website,http://www.lccico.cmo,http://www.lccico.com
179.companyname,"1240 Performance, LLC","DC Beautification Landscape Services, LLC (BUILDNOLA)"
433.companyname,"A-1 Elevator Service, LLC","Nvisions Communications & Consulting, LLC"
590.certificationtype,SDBE,SLDBE
579.physicaladdress,"11111 Richmond Avenue, uite 280","11111 Richmond Avenue, Suite 280"
111.companyname,3B Electrical Contractor,Carriere & Dunn Tax and Accounting Services
275.mailingaddress,"3145 Maurepas St.,S uite 1400","3145 Maurepas St., Suite 1400"
190.companyname,"ALG SERVICES, LLC","Disaster Recovery Team, LLC(BUILDNOLA)"
24.certificationtype,SDLBE,SLDBE
532.certificationtype,SLBDE,SLDBE
418.fax,88-745-9412,888-745-9412
77.companyname,"4 A ERA, LLC","Borne Office Machine Repair, LLC"
606.website,http://www.waildobrothers.com,http://www.waldobrothers.com
557.physicaladdress,6072 Catier Ave,6072 Cartier Ave
277.ownerlast,Greoc,Greco
29.companyname,3B Electrical Contractor,"Alternative Insurance Solutions of Louisiana, LLC"
176.email,dorothy@deltabuilds.com,dante@danteultimatecleaningservice.com
475.companyname,"216 Resources, Inc",Q Style LLC
431.email,pbarnes@bfaenvironmental.com,norisha@nrkconstruction.com
460.email,pcazabon@briarwoodcontractors.com,mporee@porees.com
498.companyname,Skanta Fe LLC,Santa Fe LLC
317.ownerfirst,Michacel,Michael
469.mailingaddress,28 Yelowstone Drive,28 Yellowstone Drive
123.agency,NOA,NOLA
203.physicaladdress,4701 S.t Roch Avenue,4701 St. Roch Avenue
209.phone,504-858-524,504-858-5824
55.companyname,"APS ENGINEERING AND TESTING, LLC","Barnes, Ferland and Associates, Inc"
409.companyname,Aguirre Project Resources LLC,"Models for Success, LLC"
24.agency,NLA,NOLA
280.ownerlast,uTfail,Tufail
278.mailingaddress,2812 Dante Steet,2812 Dante Street
555.phone,504-473-0653,504-473-0563
522.email,byshion.stewcart@yahoo.com,byshion.stewart@yahoo.com
359.certified,0405/2019,04/05/2019
456.certificationtype,SLDBpE,SLDBE
413.certificationtype,LDBE,SLDBE
66.phone,504-4i53-7117,504-453-7117
219.ownerlast,TLBOT,TALBOT
95.companyname,"A-1 Elevator Service, LLC","C & S Consultants, Inc."
231.companyname,"Avexon, LLC",enmasseMEDIA
325.ownerlast,Turer,Turner
539.certified,1/129/2018,11/29/2018
111.dbaname,"Star lass, Inc.","Star Glass, Inc."
297.companyname,"216 Resources, Inc","Healthy Cleaning Service Solutions, LLC"
476.phone,504s-348-1960,504-348-1960
208.ownerfirst,Yu-Chioa,Yu-Chiao
346.companyname,"All-N-One Electrical, LLC","JEI Solutions, Inc."
415.companyname,"ALG SERVICES, LLC","MSMM Engineering, LLC"
289.phone,504-37-0746,504-327-0746
459.website,http:/www.p3preservation.com,http://www.p3preservation.com
197.physicaladdress,"2171 Ave Du Chateau, P.O.Box 3879","1271 Ave Du Chateau, P.O.Box 3879"
324.website,http://www.imsengineesr.com,http://www.imsengineers.com
257.companyname,"AngelFlight Marketing Services, Inc.","GAEA Consultants, LLC"
356.servicetype,Consrtuction,Construction
159.website,http:/b/www.culturetheory.co,http://www.culturetheory.co
407.companyname,"1240 Performance, LLC","Mike's Machine & Repair, LLC"
67.companyname,ACCURATE CARPET AND CLEANING SERVICE,Bit Link Solutions LLC
86.email,chefdzcafe@yahoo.com,ajtervalon@btcpas.com
525.fax,504-18-5296,504-218-5296
