sexraceethnicity,sex,raceethnicity,yearvalue(long),percentage(double precision),countvalue(long),noteonpercent,noteoncount
Total,Female,"American Indian/Alaska Native, non-Hispanic",2009,18.0,9214,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
Total,Feamale,"American Indian/Alaska Native, non-Hispanic",2010,18.7,9701,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
Total,Femae,"American Indian/Alaska Native, non-Hispanic",2011,19.9,10348,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Pacific Islander, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2009,28.5,7490,Hispanic/Latinosi can be of any race,Hispanic/Latinos can be of any race
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2010,30.5,8114,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Pacific Islander, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2011,32.7,8707,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2009,6.9,1724,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Pacific Islander, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2010,6.3,1587,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
Total - Female,Femajle,"American Indian/Alaska Native, non-Hispanic",2011,6.5,1640,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
Total,Feamle,"White, non-Hispanic",2009,5.4,1658,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
Total - Female,Female,"White, non-Hispanic",2010,6.0,1768,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2011,6.4,1860,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
Total - Female,Female,"Black, non-Hispanic",2009,74.1,5610,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2010,77.3,5840,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
Total,Fefmale,"Black, non-Hispanic",2011,81.9,6216,Hispanic/Latinos can be of any race,Hispanic/Latinos canb e of any race
Total - Female,Female,Hispanic,2009,17.0,1620,Hispanic/Latinos can be of any race,Hispanic/Latinos an be of any race
Total - Hispanic,Female,Hispanic,2010,16.3,1737,ispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
Total - Female,Female,Hispanic,2011,17.2,1872,Hispanic/Latinos can b eof any race,Hispanic/Latinos can be of any rae
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2009,4.9,101,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Asian, non-Hispanic",Femaole,"Asian, non-Hispanic",2010,4.3,105,Hispanic/Latinos can be of any race,Hispanic/Latino scan be of any race
"Total - Asian, non-Hispanic",Femle,"Asian, non-Hispanic",2011,6.1,146,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2009,13.2,11,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any rasce
Total - Hispanic,Female,"Pacific Islander, non-Hispanic",2010,15.4,16,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
Total - Male,Female,"Pacific Islander, non-Hispanic",2011,19.2,20,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Asian, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2009,5.2,25,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
Total - Male,Female,"American Indian/Alaska Native, non-Hispanic",2010,8.4,38,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
Total - Hispanic,Female,"American Indian/Alaska Native, non-Hispanic",2011,10.7,49,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Pacific Islander, non-Hispanic",Female,"Two or more races, non-Hispanic",2009,18.4,188,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
Total - Female,Female,"Two or more races, non-Hispanic",2010,15.2,197,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2011,13.6,184,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
Total,Male,"White, non-Hispanic",2009,8.9,1394,Hispanic/Latinos can be of any race,Hispanic/Latinos can be fo any race
"Total - Asian, non-Hispanic",Male,"White, non-Hispanic",2010,10.2,1529,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Two or more races, non-Hispanic",Male,"White, non-Hispanic",2011,10.8,1622,Hispanic/Latinos can be of any race,Hispanic/Laitnos can be of any race
"Total - Asian, non-Hispanic",Male,"Black, non-Hispanic",2009,115.6,4433,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
Total,Male,"Black, non-Hispanic",2010,125.9,4784,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
