datevalue,pluginhybridelectricvehiclephevcount,batteryelectricvehiclebevcount,electricvehicleevtotal
January 31 2017,7684.0,14737.0,22421.0
February 28 2017,7885.0,15205.0,23090.0
March 31 2017,8091.0,15595.0,23686.0
April 30 2017,8285.0,16103.0,24388.0
May 31 2017,8498.0,16568.0,25066.0
June 30 2017,8752.0,16985.0,25737.0
July 31 2017,8931.0,17378.0,26309.0
August 31 2017,9146.0,17677.0,26823.0
September 30 2017,9372.0,18077.0,27449.0
October 31 2017,9646.0,18523.0,28169.0
November 30 2017,9885.0,18876.0,28761.0
December 31 2017,10118.0,19184.0,29302.0
January 31 2018,10531.0,19732.0,30263.0
February 28 2018,10830.0,19975.0,30805.0
March 31 2018,11178.0,20393.0,31571.0
April 30 2018,11513.0,20924.0,32437.0
May 31 2018,11932.0,21700.0,33632.0
June 30 2018,12355.0,22433.0,34788.0
July 31 2018,12648.0,22984.0,35632.0
August 31 2018,12962.0,23577.0,36539.0
September 30 2018,13291.0,24162.0,37453.0
October 31 2018,13641.0,25519.0,39160.0
November 30 2018,14021.0,26782.0,40803.0
December 31 2018,14344.0,27724.0,42068.0
January 31 2019,14730.0,29113.0,43843.0
February 28 2019,14896.0,29690.0,44586.0
March 31 2019,15045.0,30031.0,45076.0
April 30 2019,15300.0,31053.0,46353.0
May 31 2019,15567.0,31750.0,47317.0
June 30 2019,15816.0,32581.0,48397.0
July 31 2019,16078.0,33564.0,49642.0
August 31 2019,16282.0,34313.0,50595.0
September 30 2019,16515.0,35080.0,51595.0
October 31 2019,16796.0,36653.0,53449.0
November 30 2019,16970.0,37105.0,54075.0
December 31 2019,17137.0,37757.0,54894.0
January 31 2020,17360.0,39788.0,57148.0
February 29 2020,17472.0,40270.0,57742.0
March 31 2020,17613.0,41003.0,58616.0
April 30 2020,17571.0,41350.0,58921.0
May 31 2020,17585.0,41342.0,58927.0
June 30 2020,17687.0,41605.0,59292.0
July 31 2020,17821.0,43005.0,60826.0
August 31 2020,17966.0,43604.0,61570.0
September 30 2020,18176.0,44175.0,62351.0
October 31 2020,18428.0,45195.0,63623.0
November 30 2020,18600.0,46555.0,65155.0
December 31 2020,18891.0,47355.0,66246.0
January 31 2021,19223.0,48924.0,68147.0
February 28 2021,19512.0,49791.0,69303.0
March 31 2021,19869.0,50619.0,70488.0
April 30 2021,20323.0,52484.0,72807.0
May 31 2021,20723.0,53730.0,74453.0
June 30 2021,21302.0,54848.0,76150.0
July 31 2021,21707.0,56896.0,78603.0
August 31 2021,22118.0,58420.0,80538.0
September 30 2021,22446.0,59617.0,82063.0
October 31 2021,22853.0,61343.0,84196.0
November 30 2021,23264.0,62985.0,86249.0
December 31 2021,23543.0,64488.0,88031.0
January 31 2022,23874.0,66074.0,89948.0
February 28 2022,24178.0,67678.0,91856.0
March 31 2022,24626.0,69265.0,93891.0
April 30 2022,24977.0,71666.0,96643.0
May 31 2022,25416.0,73006.0,98422.0
June 30 2022,25909.0,74593.0,100502.0
July 31 2022,26186.0,76956.0,103142.0
August 31 2022,26581.0,79120.0,105701.0
September 30 2022,26758.0,80142.0,106900.0
October 31 2022,26662.0,82819.0,109481.0
